#: table_doi: 10.17182/hepdata.74824.v1/t94
#: name: Table 94
#: description: S wave cross section for -T.

#: data_file: Table94.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.865,0.86,0.87,0.49,0.2114,-0.2114
0.875,0.87,0.88,0.4969,0.2106,-0.2106
0.885,0.88,0.89,0.503,0.2104,-0.2104
0.895,0.89,0.9,0.508,0.2109,-0.2109
0.905,0.9,0.91,0.5115,0.2123,-0.2123
0.915,0.91,0.92,0.5129,0.2148,-0.2148
0.925,0.92,0.93,0.5116,0.2189,-0.2189
0.935,0.93,0.94,0.5064,0.2248,-0.2248
0.945,0.94,0.95,0.4958,0.2334,-0.2334
0.955,0.95,0.96,0.4768,0.2456,-0.2456
0.965,0.96,0.97,0.444,0.2635,-0.2635
0.975,0.97,0.98,0.3868,0.2918,-0.2918
0.985,0.98,0.99,0.2978,0.3418,-0.3418
0.995,0.99,1.0,0.2537,0.2588,-0.2588
1.005,1.0,1.01,0.2562,0.1993,-0.1993
1.0150000000000001,1.01,1.02,0.2801,0.1868,-0.1868
1.025,1.02,1.03,0.3066,0.1873,-0.1873
1.0350000000000001,1.03,1.04,0.3339,0.1924,-0.1924
1.045,1.04,1.05,0.3613,0.1989,-0.1989
1.0550000000000002,1.05,1.06,0.3886,0.2056,-0.2056
1.065,1.06,1.07,0.4153,0.2119,-0.2119
1.0750000000000002,1.07,1.08,0.4413,0.2178,-0.2178
1.085,1.08,1.09,0.4664,0.2234,-0.2234
1.0950000000000002,1.09,1.1,0.4902,0.2286,-0.2286
1.105,1.1,1.11,0.5127,0.2335,-0.2335
1.1150000000000002,1.11,1.12,0.5335,0.2383,-0.2383
1.125,1.12,1.13,0.5525,0.2431,-0.2431
1.1349999999999998,1.13,1.14,0.5695,0.2477,-0.2477
1.145,1.14,1.15,0.5843,0.2524,-0.2524
1.1549999999999998,1.15,1.16,0.5968,0.257,-0.257
1.165,1.16,1.17,0.6068,0.2616,-0.2616
1.1749999999999998,1.17,1.18,0.6143,0.2662,-0.2662
1.185,1.18,1.19,0.6191,0.2707,-0.2707
1.1949999999999998,1.19,1.2,0.6211,0.2751,-0.2751
1.205,1.2,1.21,0.6203,0.2792,-0.2792
