#: table_doi: 10.17182/hepdata.74824.v1/t111
#: name: Table 111
#: description: P0 wave cross section for -T.

#: data_file: Table111.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
1.3650000000000002,1.36,1.37,0.3393,0.2752,-0.2752
1.375,1.37,1.38,0.327,0.2624,-0.2624
1.3849999999999998,1.38,1.39,0.316,0.2492,-0.2492
1.395,1.39,1.4,0.3068,0.2361,-0.2361

#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1208,0.0335,-0.0335
0.415,0.41,0.42,0.1305,0.0338,-0.0338
0.425,0.42,0.43,0.1402,0.034,-0.034
0.435,0.43,0.44,0.1501,0.0341,-0.0341
0.445,0.44,0.45,0.1602,0.0343,-0.0343
0.455,0.45,0.46,0.1706,0.0346,-0.0346
0.46499999999999997,0.46,0.47,0.1814,0.0351,-0.0351
0.475,0.47,0.48,0.1927,0.036,-0.036
0.485,0.48,0.49,0.2045,0.0373,-0.0373
0.495,0.49,0.5,0.2171,0.039,-0.039
0.505,0.5,0.51,0.2306,0.0413,-0.0413
0.515,0.51,0.52,0.2452,0.0443,-0.0443
0.525,0.52,0.53,0.2611,0.0478,-0.0478
0.535,0.53,0.54,0.2785,0.0519,-0.0519
0.545,0.54,0.55,0.2977,0.0567,-0.0567
0.555,0.55,0.56,0.3192,0.062,-0.062
0.565,0.56,0.57,0.3432,0.068,-0.068
