#: table_doi: 10.17182/hepdata.74824.v1/t136
#: name: Table 136
#: description: D0 wave cross section for -T.

#: data_file: Table136.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
0.855,0.85,0.86,0.1738,0.1318,-0.1318
0.865,0.86,0.87,0.1825,0.1378,-0.1378
0.875,0.87,0.88,0.1916,0.144,-0.144
0.885,0.88,0.89,0.201,0.1502,-0.1502
0.895,0.89,0.9,0.2108,0.1566,-0.1566
0.905,0.9,0.91,0.2209,0.1629,-0.1629
0.915,0.91,0.92,0.2312,0.1693,-0.1693
0.925,0.92,0.93,0.2417,0.1757,-0.1757
0.935,0.93,0.94,0.2524,0.182,-0.182
0.945,0.94,0.95,0.2631,0.1882,-0.1882
0.955,0.95,0.96,0.2739,0.1943,-0.1943
0.965,0.96,0.97,0.2846,0.2002,-0.2002
0.975,0.97,0.98,0.2951,0.2059,-0.2059
0.985,0.98,0.99,0.3054,0.2114,-0.2114
0.995,0.99,1.0,0.3155,0.2166,-0.2166
1.005,1.0,1.01,0.3251,0.2214,-0.2214
1.0150000000000001,1.01,1.02,0.3343,0.2258,-0.2258
1.025,1.02,1.03,0.3429,0.2297,-0.2297
1.0350000000000001,1.03,1.04,0.3508,0.2332,-0.2332
1.045,1.04,1.05,0.358,0.2361,-0.2361
1.0550000000000002,1.05,1.06,0.3644,0.2384,-0.2384
1.065,1.06,1.07,0.3699,0.24,-0.24
1.0750000000000002,1.07,1.08,0.3745,0.2409,-0.2409
1.085,1.08,1.09,0.3781,0.241,-0.241
1.0950000000000002,1.09,1.1,0.3806,0.2403,-0.2403
1.105,1.1,1.11,0.3822,0.2387,-0.2387
1.1150000000000002,1.11,1.12,0.3828,0.2363,-0.2363
1.125,1.12,1.13,0.3825,0.2331,-0.2331
1.1349999999999998,1.13,1.14,0.3814,0.229,-0.229
1.145,1.14,1.15,0.3798,0.2241,-0.2241
1.1549999999999998,1.15,1.16,0.3779,0.2186,-0.2186
1.165,1.16,1.17,0.3762,0.2126,-0.2126
1.1749999999999998,1.17,1.18,0.3752,0.2063,-0.2063
1.185,1.18,1.19,0.3756,0.2001,-0.2001
1.1949999999999998,1.19,1.2,0.3782,0.1943,-0.1943
1.205,1.2,1.21,0.3837,0.1893,-0.1893
1.2149999999999999,1.21,1.22,0.3931,0.1855,-0.1855
1.225,1.22,1.23,0.4071,0.1834,-0.1834
1.2349999999999999,1.23,1.24,0.4257,0.1832,-0.1832
1.245,1.24,1.25,0.4485,0.1851,-0.1851
1.255,1.25,1.26,0.4739,0.1892,-0.1892
1.2650000000000001,1.26,1.27,0.4996,0.1956,-0.1956
1.275,1.27,1.28,0.5223,0.2041,-0.2041
1.2850000000000001,1.28,1.29,0.539,0.2142,-0.2142
1.295,1.29,1.3,0.5471,0.2254,-0.2254
1.3050000000000002,1.3,1.31,0.5454,0.2365,-0.2365
1.315,1.31,1.32,0.5339,0.2467,-0.2467
1.3250000000000002,1.32,1.33,0.5137,0.2553,-0.2553
1.335,1.33,1.34,0.4864,0.2619,-0.2619
1.3450000000000002,1.34,1.35,0.4541,0.2663,-0.2663
1.355,1.35,1.36,0.4187,0.2686,-0.2686
1.3650000000000002,1.36,1.37,0.3821,0.2688,-0.2688
1.375,1.37,1.38,0.3458,0.2669,-0.2669
1.3849999999999998,1.38,1.39,0.3112,0.263,-0.263
1.395,1.39,1.4,0.2796,0.2573,-0.2573

#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0352,0.0255,-0.0255
0.415,0.41,0.42,0.0378,0.0269,-0.0269
0.425,0.42,0.43,0.041,0.0284,-0.0284
0.435,0.43,0.44,0.0447,0.03,-0.03
0.445,0.44,0.45,0.0489,0.0316,-0.0316
0.455,0.45,0.46,0.0534,0.0333,-0.0333
0.46499999999999997,0.46,0.47,0.0584,0.0351,-0.0351
0.475,0.47,0.48,0.0635,0.0369,-0.0369
0.485,0.48,0.49,0.0689,0.0388,-0.0388
0.495,0.49,0.5,0.0745,0.0407,-0.0407
0.505,0.5,0.51,0.0802,0.0427,-0.0427
0.515,0.51,0.52,0.0859,0.0447,-0.0447
0.525,0.52,0.53,0.0918,0.0467,-0.0467
0.535,0.53,0.54,0.0976,0.0487,-0.0487
0.545,0.54,0.55,0.1034,0.0508,-0.0508
0.555,0.55,0.56,0.1091,0.0528,-0.0528
0.565,0.56,0.57,0.1148,0.0547,-0.0547
0.575,0.57,0.58,0.1203,0.0566,-0.0566
0.585,0.58,0.59,0.1258,0.0585,-0.0585
0.595,0.59,0.6,0.1311,0.0603,-0.0603
0.605,0.6,0.61,0.1363,0.062,-0.062
0.615,0.61,0.62,0.1414,0.0636,-0.0636
0.625,0.62,0.63,0.1462,0.0651,-0.0651
0.635,0.63,0.64,0.1509,0.0665,-0.0665
0.645,0.64,0.65,0.1554,0.0679,-0.0679
0.655,0.65,0.66,0.1598,0.0692,-0.0692
0.665,0.66,0.67,0.1639,0.0704,-0.0704
0.675,0.67,0.68,0.1679,0.0715,-0.0715
0.685,0.68,0.69,0.1716,0.0726,-0.0726
0.695,0.69,0.7,0.1752,0.0736,-0.0736
0.705,0.7,0.71,0.1786,0.0745,-0.0745
0.715,0.71,0.72,0.1819,0.0755,-0.0755
0.725,0.72,0.73,0.185,0.0764,-0.0764
0.735,0.73,0.74,0.1879,0.0773,-0.0773
0.745,0.74,0.75,0.1907,0.0782,-0.0782
0.755,0.75,0.76,0.1933,0.0791,-0.0791
0.765,0.76,0.77,0.1958,0.0801,-0.0801
0.775,0.77,0.78,0.1982,0.081,-0.081
0.785,0.78,0.79,0.2005,0.0821,-0.0821
0.795,0.79,0.8,0.2026,0.0832,-0.0832
0.805,0.8,0.81,0.2047,0.0844,-0.0844
