#: table_doi: 10.17182/hepdata.74824.v1/t178
#: name: Table 178
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table178.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10)",error +,error -
0.865,0.86,0.87,0.0727,0.0134,-0.0134
0.875,0.87,0.88,0.0759,0.015,-0.015
0.885,0.88,0.89,0.0789,0.0166,-0.0166
0.895,0.89,0.9,0.0816,0.0183,-0.0183
0.905,0.9,0.91,0.0841,0.02,-0.02
0.915,0.91,0.92,0.0865,0.0218,-0.0218
0.925,0.92,0.93,0.0888,0.0236,-0.0236
0.935,0.93,0.94,0.0912,0.0254,-0.0254
0.945,0.94,0.95,0.0938,0.0273,-0.0273
0.955,0.95,0.96,0.0968,0.0293,-0.0293
0.965,0.96,0.97,0.1005,0.0313,-0.0313
0.975,0.97,0.98,0.1054,0.0334,-0.0334
0.985,0.98,0.99,0.1098,0.0343,-0.0343
0.995,0.99,1.0,0.0962,0.0307,-0.0307
1.005,1.0,1.01,0.1007,0.0284,-0.0284
1.0150000000000001,1.01,1.02,0.1037,0.0273,-0.0273
1.025,1.02,1.03,0.1065,0.0266,-0.0266
1.0350000000000001,1.03,1.04,0.1092,0.0262,-0.0262
1.045,1.04,1.05,0.1119,0.026,-0.026
1.0550000000000002,1.05,1.06,0.1146,0.0259,-0.0259
1.065,1.06,1.07,0.1174,0.026,-0.026
1.0750000000000002,1.07,1.08,0.1202,0.026,-0.026
1.085,1.08,1.09,0.1231,0.0261,-0.0261
1.0950000000000002,1.09,1.1,0.1261,0.0262,-0.0262
1.105,1.1,1.11,0.1291,0.0263,-0.0263
1.1150000000000002,1.11,1.12,0.1323,0.0264,-0.0264
1.125,1.12,1.13,0.1356,0.0264,-0.0264
1.1349999999999998,1.13,1.14,0.1389,0.0264,-0.0264
1.145,1.14,1.15,0.1422,0.0263,-0.0263
1.1549999999999998,1.15,1.16,0.1456,0.0261,-0.0261
1.165,1.16,1.17,0.1488,0.0259,-0.0259
1.1749999999999998,1.17,1.18,0.152,0.0256,-0.0256
1.185,1.18,1.19,0.1548,0.0252,-0.0252
1.1949999999999998,1.19,1.2,0.1572,0.0248,-0.0248
1.205,1.2,1.21,0.1589,0.0244,-0.0244
1.2149999999999999,1.21,1.22,0.16,0.0239,-0.0239
1.225,1.22,1.23,0.1602,0.0234,-0.0234
1.2349999999999999,1.23,1.24,0.1595,0.0231,-0.0231
1.245,1.24,1.25,0.158,0.0229,-0.0229
1.255,1.25,1.26,0.1559,0.0229,-0.0229
1.2650000000000001,1.26,1.27,0.1536,0.0233,-0.0233
1.275,1.27,1.28,0.1513,0.024,-0.024
1.2850000000000001,1.28,1.29,0.1496,0.025,-0.025
1.295,1.29,1.3,0.1487,0.0262,-0.0262
1.3050000000000002,1.3,1.31,0.1489,0.0274,-0.0274
1.315,1.31,1.32,0.15,0.0286,-0.0286
1.3250000000000002,1.32,1.33,0.1522,0.0297,-0.0297
1.335,1.33,1.34,0.1551,0.0306,-0.0306
1.3450000000000002,1.34,1.35,0.1585,0.0314,-0.0314
1.355,1.35,1.36,0.162,0.0319,-0.0319
1.3650000000000002,1.36,1.37,0.1652,0.0322,-0.0322
1.375,1.37,1.38,0.1678,0.0323,-0.0323
1.3849999999999998,1.38,1.39,0.1691,0.0323,-0.0323
1.395,1.39,1.4,0.1688,0.0324,-0.0324

#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
