#: table_doi: 10.17182/hepdata.74824.v1/t122
#: name: Table 122
#: description: D wave cross section for -T.

#: data_file: Table122.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
1.085,1.08,1.09,0.9395,0.2663,-0.2663
1.0950000000000002,1.09,1.1,0.9333,0.2608,-0.2608
1.105,1.1,1.11,0.9267,0.2558,-0.2558
1.1150000000000002,1.11,1.12,0.92,0.2512,-0.2512
1.125,1.12,1.13,0.9136,0.2472,-0.2472
1.1349999999999998,1.13,1.14,0.908,0.2435,-0.2435
1.145,1.14,1.15,0.904,0.2403,-0.2403
1.1549999999999998,1.15,1.16,0.9023,0.2375,-0.2375
1.165,1.16,1.17,0.9042,0.2352,-0.2352
1.1749999999999998,1.17,1.18,0.911,0.2334,-0.2334
1.185,1.18,1.19,0.9246,0.2324,-0.2324
1.1949999999999998,1.19,1.2,0.9469,0.2323,-0.2323
1.205,1.2,1.21,0.9801,0.2333,-0.2333
1.2149999999999999,1.21,1.22,1.0261,0.2358,-0.2358
1.225,1.22,1.23,1.0863,0.2401,-0.2401
1.2349999999999999,1.23,1.24,1.1608,0.2468,-0.2468
1.245,1.24,1.25,1.248,0.2564,-0.2564
1.255,1.25,1.26,1.3434,0.2694,-0.2694
1.2650000000000001,1.26,1.27,1.4405,0.2864,-0.2864
1.275,1.27,1.28,1.531,0.3072,-0.3072
1.2850000000000001,1.28,1.29,1.6066,0.3311,-0.3311
1.295,1.29,1.3,1.6611,0.3569,-0.3569
1.3050000000000002,1.3,1.31,1.6912,0.3831,-0.3831
1.315,1.31,1.32,1.6968,0.4084,-0.4084
1.3250000000000002,1.32,1.33,1.6805,0.4317,-0.4317
1.335,1.33,1.34,1.6463,0.4524,-0.4524
1.3450000000000002,1.34,1.35,1.5987,0.4703,-0.4703
1.355,1.35,1.36,1.5421,0.4855,-0.4855
1.3650000000000002,1.36,1.37,1.4801,0.498,-0.498
1.375,1.37,1.38,1.4159,0.5083,-0.5083
1.3849999999999998,1.38,1.39,1.3521,0.5166,-0.5166
1.395,1.39,1.4,1.2907,0.5231,-0.5231

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.2-3.4
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.2258,0.0902,-0.0902
0.415,0.41,0.42,0.2158,0.0849,-0.0849
0.425,0.42,0.43,0.2081,0.0809,-0.0809
0.435,0.43,0.44,0.2027,0.0779,-0.0779
0.445,0.44,0.45,0.1995,0.0756,-0.0756
0.455,0.45,0.46,0.1983,0.0739,-0.0739
0.46499999999999997,0.46,0.47,0.199,0.0725,-0.0725
0.475,0.47,0.48,0.2015,0.0715,-0.0715
0.485,0.48,0.49,0.2056,0.0707,-0.0707
0.495,0.49,0.5,0.2111,0.0702,-0.0702
0.505,0.5,0.51,0.218,0.07,-0.07
0.515,0.51,0.52,0.2261,0.0703,-0.0703
0.525,0.52,0.53,0.2354,0.0712,-0.0712
0.535,0.53,0.54,0.2456,0.0729,-0.0729
0.545,0.54,0.55,0.2566,0.0753,-0.0753
0.555,0.55,0.56,0.2684,0.0786,-0.0786
0.565,0.56,0.57,0.2807,0.0828,-0.0828
0.575,0.57,0.58,0.2936,0.0878,-0.0878
0.585,0.58,0.59,0.3069,0.0936,-0.0936
0.595,0.59,0.6,0.3205,0.1,-0.1
0.605,0.6,0.61,0.3343,0.1071,-0.1071
0.615,0.61,0.62,0.3482,0.1146,-0.1146
0.625,0.62,0.63,0.3621,0.1224,-0.1224
0.635,0.63,0.64,0.376,0.1305,-0.1305
0.645,0.64,0.65,0.3896,0.1387,-0.1387
0.655,0.65,0.66,0.4031,0.147,-0.147
0.665,0.66,0.67,0.4163,0.1552,-0.1552
0.675,0.67,0.68,0.4291,0.1633,-0.1633
0.685,0.68,0.69,0.4416,0.1712,-0.1712
0.695,0.69,0.7,0.4535,0.1789,-0.1789
0.705,0.7,0.71,0.465,0.1862,-0.1862
0.715,0.71,0.72,0.476,0.1932,-0.1932
0.725,0.72,0.73,0.4864,0.1997,-0.1997
0.735,0.73,0.74,0.4963,0.2059,-0.2059
0.745,0.74,0.75,0.5055,0.2115,-0.2115
0.755,0.75,0.76,0.5142,0.2168,-0.2168
0.765,0.76,0.77,0.5223,0.2215,-0.2215
0.775,0.77,0.78,0.5298,0.2258,-0.2258
0.785,0.78,0.79,0.5367,0.2296,-0.2296
0.795,0.79,0.8,0.5432,0.233,-0.233
0.805,0.8,0.81,0.549,0.236,-0.236
0.815,0.81,0.82,0.5544,0.2387,-0.2387
0.825,0.82,0.83,0.5594,0.241,-0.241
0.835,0.83,0.84,0.564,0.2431,-0.2431
0.845,0.84,0.85,0.5681,0.2451,-0.2451
0.855,0.85,0.86,0.572,0.2469,-0.2469
0.865,0.86,0.87,0.5757,0.2487,-0.2487
0.875,0.87,0.88,0.5792,0.2506,-0.2506
0.885,0.88,0.89,0.5825,0.2526,-0.2526
0.895,0.89,0.9,0.5858,0.2548,-0.2548
0.905,0.9,0.91,0.5891,0.2574,-0.2574
0.915,0.91,0.92,0.5926,0.2605,-0.2605
0.925,0.92,0.93,0.5962,0.264,-0.264
0.935,0.93,0.94,0.6001,0.268,-0.268
0.945,0.94,0.95,0.6044,0.2727,-0.2727
0.955,0.95,0.96,0.6092,0.278,-0.278
0.965,0.96,0.97,0.6145,0.284,-0.284
0.975,0.97,0.98,0.6205,0.2906,-0.2906
0.985,0.98,0.99,0.6273,0.298,-0.298
0.995,0.99,1.0,0.6351,0.306,-0.306
1.005,1.0,1.01,0.6439,0.3146,-0.3146
1.0150000000000001,1.01,1.02,0.6539,0.3238,-0.3238
1.025,1.02,1.03,0.6652,0.3335,-0.3335
1.0350000000000001,1.03,1.04,0.6781,0.3437,-0.3437
1.045,1.04,1.05,0.6928,0.3544,-0.3544
1.0550000000000002,1.05,1.06,0.7093,0.3654,-0.3654
1.065,1.06,1.07,0.728,0.3767,-0.3767
1.0750000000000002,1.07,1.08,0.7492,0.3883,-0.3883
1.085,1.08,1.09,0.773,0.4001,-0.4001
1.0950000000000002,1.09,1.1,0.7997,0.4122,-0.4122
1.105,1.1,1.11,0.8298,0.4244,-0.4244
1.1150000000000002,1.11,1.12,0.8636,0.4367,-0.4367
1.125,1.12,1.13,0.9013,0.4493,-0.4493
1.1349999999999998,1.13,1.14,0.9435,0.4621,-0.4621
1.145,1.14,1.15,0.9903,0.4752,-0.4752
1.1549999999999998,1.15,1.16,1.0421,0.4885,-0.4885
1.165,1.16,1.17,1.0989,0.5024,-0.5024
1.1749999999999998,1.17,1.18,1.1608,0.5168,-0.5168
1.185,1.18,1.19,1.227,0.532,-0.532
1.1949999999999998,1.19,1.2,1.2967,0.548,-0.548
1.205,1.2,1.21,1.3678,0.565,-0.565
1.2149999999999999,1.21,1.22,1.4375,0.5831,-0.5831
1.225,1.22,1.23,1.5016,0.602,-0.602
1.2349999999999999,1.23,1.24,1.5551,0.6214,-0.6214
1.245,1.24,1.25,1.5921,0.6403,-0.6403
1.255,1.25,1.26,1.6072,0.6574,-0.6574
1.2650000000000001,1.26,1.27,1.5969,0.671,-0.671
1.275,1.27,1.28,1.5607,0.6797,-0.6797
1.2850000000000001,1.28,1.29,1.5018,0.6825,-0.6825
1.295,1.29,1.3,1.4267,0.6793,-0.6793
1.3050000000000002,1.3,1.31,1.3434,0.6711,-0.6711
1.315,1.31,1.32,1.2602,0.6596,-0.6596
1.3250000000000002,1.32,1.33,1.1839,0.6466,-0.6466
1.335,1.33,1.34,1.1193,0.6341,-0.6341
1.3450000000000002,1.34,1.35,1.0692,0.6235,-0.6235
1.355,1.35,1.36,1.035,0.6161,-0.6161
1.3650000000000002,1.36,1.37,1.0171,0.6125,-0.6125
1.375,1.37,1.38,1.015,0.6131,-0.6131
1.3849999999999998,1.38,1.39,1.0283,0.618,-0.618
1.395,1.39,1.4,1.0564,0.6273,-0.6273

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.2169,0.0657,-0.0657
0.415,0.41,0.42,0.2113,0.0626,-0.0626
0.425,0.42,0.43,0.2076,0.0614,-0.0614
0.435,0.43,0.44,0.2057,0.0616,-0.0616
0.445,0.44,0.45,0.2056,0.063,-0.063
0.455,0.45,0.46,0.2071,0.0653,-0.0653
0.46499999999999997,0.46,0.47,0.2102,0.0682,-0.0682
0.475,0.47,0.48,0.2147,0.0716,-0.0716
0.485,0.48,0.49,0.2205,0.0755,-0.0755
0.495,0.49,0.5,0.2276,0.0797,-0.0797
0.505,0.5,0.51,0.2358,0.0844,-0.0844
0.515,0.51,0.52,0.2451,0.0895,-0.0895
0.525,0.52,0.53,0.2554,0.095,-0.095
0.535,0.53,0.54,0.2665,0.101,-0.101
0.545,0.54,0.55,0.2785,0.1075,-0.1075
0.555,0.55,0.56,0.2911,0.1145,-0.1145
0.565,0.56,0.57,0.3044,0.1219,-0.1219
0.575,0.57,0.58,0.3181,0.1297,-0.1297
0.585,0.58,0.59,0.3324,0.138,-0.138
0.595,0.59,0.6,0.347,0.1465,-0.1465
0.605,0.6,0.61,0.362,0.1554,-0.1554
0.615,0.61,0.62,0.3771,0.1645,-0.1645
0.625,0.62,0.63,0.3924,0.1739,-0.1739
0.635,0.63,0.64,0.4078,0.1833,-0.1833
0.645,0.64,0.65,0.4232,0.1929,-0.1929
0.655,0.65,0.66,0.4385,0.2025,-0.2025
0.665,0.66,0.67,0.4537,0.212,-0.212
0.675,0.67,0.68,0.4687,0.2215,-0.2215
0.685,0.68,0.69,0.4835,0.2309,-0.2309
0.695,0.69,0.7,0.4979,0.2401,-0.2401
0.705,0.7,0.71,0.512,0.2491,-0.2491
0.715,0.71,0.72,0.5257,0.2579,-0.2579
0.725,0.72,0.73,0.5389,0.2664,-0.2664
0.735,0.73,0.74,0.5516,0.2746,-0.2746
0.745,0.74,0.75,0.5638,0.2825,-0.2825
0.755,0.75,0.76,0.5754,0.29,-0.29
0.765,0.76,0.77,0.5864,0.2971,-0.2971
0.775,0.77,0.78,0.5968,0.3038,-0.3038
0.785,0.78,0.79,0.6065,0.3102,-0.3102
0.795,0.79,0.8,0.6155,0.316,-0.316
0.805,0.8,0.81,0.6237,0.3215,-0.3215
0.815,0.81,0.82,0.6312,0.3264,-0.3264
0.825,0.82,0.83,0.638,0.331,-0.331
0.835,0.83,0.84,0.644,0.3351,-0.3351
0.845,0.84,0.85,0.6492,0.3387,-0.3387
0.855,0.85,0.86,0.6537,0.3418,-0.3418
0.865,0.86,0.87,0.6573,0.3445,-0.3445
0.875,0.87,0.88,0.6602,0.3468,-0.3468
0.885,0.88,0.89,0.6622,0.3486,-0.3486
0.895,0.89,0.9,0.6635,0.35,-0.35
0.905,0.9,0.91,0.6641,0.351,-0.351
0.915,0.91,0.92,0.6638,0.3515,-0.3515
0.925,0.92,0.93,0.6629,0.3517,-0.3517
0.935,0.93,0.94,0.6612,0.3515,-0.3515
0.945,0.94,0.95,0.6589,0.3509,-0.3509
0.955,0.95,0.96,0.6559,0.3499,-0.3499
0.965,0.96,0.97,0.6524,0.3486,-0.3486
0.975,0.97,0.98,0.6483,0.347,-0.347
0.985,0.98,0.99,0.6438,0.3451,-0.3451
0.995,0.99,1.0,0.6389,0.3429,-0.3429
1.005,1.0,1.01,0.6338,0.3405,-0.3405
1.0150000000000001,1.01,1.02,0.6285,0.3379,-0.3379
1.025,1.02,1.03,0.6233,0.3351,-0.3351
1.0350000000000001,1.03,1.04,0.6182,0.3322,-0.3322
1.045,1.04,1.05,0.6135,0.3291,-0.3291
1.0550000000000002,1.05,1.06,0.6093,0.3261,-0.3261
1.065,1.06,1.07,0.6061,0.3231,-0.3231
1.0750000000000002,1.07,1.08,0.6041,0.3202,-0.3202
1.085,1.08,1.09,0.6036,0.3174,-0.3174
1.0950000000000002,1.09,1.1,0.6052,0.315,-0.315
1.105,1.1,1.11,0.6092,0.3129,-0.3129
1.1150000000000002,1.11,1.12,0.6164,0.3114,-0.3114
1.125,1.12,1.13,0.6273,0.3105,-0.3105
1.1349999999999998,1.13,1.14,0.6427,0.3104,-0.3104
1.145,1.14,1.15,0.6633,0.3112,-0.3112
1.1549999999999998,1.15,1.16,0.6899,0.3131,-0.3131
1.165,1.16,1.17,0.7235,0.3163,-0.3163
1.1749999999999998,1.17,1.18,0.7646,0.3209,-0.3209
1.185,1.18,1.19,0.8136,0.3269,-0.3269
1.1949999999999998,1.19,1.2,0.8706,0.3345,-0.3345
1.205,1.2,1.21,0.9345,0.3436,-0.3436
1.2149999999999999,1.21,1.22,1.0033,0.3541,-0.3541
1.225,1.22,1.23,1.0733,0.3659,-0.3659
1.2349999999999999,1.23,1.24,1.139,0.3783,-0.3783
1.245,1.24,1.25,1.1935,0.3906,-0.3906
1.255,1.25,1.26,1.229,0.4015,-0.4015
1.2650000000000001,1.26,1.27,1.2384,0.4099,-0.4099
1.275,1.27,1.28,1.2175,0.4141,-0.4141
1.2850000000000001,1.28,1.29,1.1661,0.4131,-0.4131
1.295,1.29,1.3,1.0884,0.4067,-0.4067
1.3050000000000002,1.3,1.31,0.9921,0.3953,-0.3953
1.315,1.31,1.32,0.8865,0.3801,-0.3801
1.3250000000000002,1.32,1.33,0.7804,0.3632,-0.3632
1.335,1.33,1.34,0.6814,0.3467,-0.3467
1.3450000000000002,1.34,1.35,0.595,0.3327,-0.3327
1.355,1.35,1.36,0.5252,0.3233,-0.3233
1.3650000000000002,1.36,1.37,0.4743,0.3201,-0.3201
1.375,1.37,1.38,0.4438,0.3241,-0.3241
1.3849999999999998,1.38,1.39,0.4346,0.3358,-0.3358
1.395,1.39,1.4,0.4475,0.3556,-0.3556

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.2726,0.0831,-0.0831
0.415,0.41,0.42,0.2579,0.0855,-0.0855
0.425,0.42,0.43,0.2458,0.0875,-0.0875
0.435,0.43,0.44,0.2364,0.089,-0.089
0.445,0.44,0.45,0.2295,0.0899,-0.0899
0.455,0.45,0.46,0.2249,0.0902,-0.0902
0.46499999999999997,0.46,0.47,0.2225,0.0901,-0.0901
0.475,0.47,0.48,0.2223,0.0896,-0.0896
0.485,0.48,0.49,0.224,0.0891,-0.0891
0.495,0.49,0.5,0.2277,0.0887,-0.0887
0.505,0.5,0.51,0.2331,0.0888,-0.0888
0.515,0.51,0.52,0.2402,0.0896,-0.0896
0.525,0.52,0.53,0.2489,0.0914,-0.0914
0.535,0.53,0.54,0.2591,0.0945,-0.0945
0.545,0.54,0.55,0.2706,0.0988,-0.0988
0.555,0.55,0.56,0.2834,0.1045,-0.1045
0.565,0.56,0.57,0.2973,0.1114,-0.1114
0.575,0.57,0.58,0.3124,0.1195,-0.1195
0.585,0.58,0.59,0.3285,0.1285,-0.1285
0.595,0.59,0.6,0.3455,0.1382,-0.1382
0.605,0.6,0.61,0.3633,0.1485,-0.1485
0.615,0.61,0.62,0.3819,0.1591,-0.1591
0.625,0.62,0.63,0.4012,0.1699,-0.1699
0.635,0.63,0.64,0.4212,0.1807,-0.1807
0.645,0.64,0.65,0.4417,0.1913,-0.1913
0.655,0.65,0.66,0.4626,0.2017,-0.2017
0.665,0.66,0.67,0.484,0.2116,-0.2116
0.675,0.67,0.68,0.5058,0.2209,-0.2209
0.685,0.68,0.69,0.5278,0.2297,-0.2297
0.695,0.69,0.7,0.5501,0.2377,-0.2377
0.705,0.7,0.71,0.5725,0.2449,-0.2449
0.715,0.71,0.72,0.5951,0.2512,-0.2512
0.725,0.72,0.73,0.6177,0.2566,-0.2566
0.735,0.73,0.74,0.6403,0.2611,-0.2611
0.745,0.74,0.75,0.6629,0.2647,-0.2647
0.755,0.75,0.76,0.6853,0.2673,-0.2673
0.765,0.76,0.77,0.7076,0.269,-0.269
0.775,0.77,0.78,0.7297,0.2698,-0.2698
0.785,0.78,0.79,0.7515,0.2697,-0.2697
0.795,0.79,0.8,0.773,0.269,-0.269
0.805,0.8,0.81,0.7941,0.2676,-0.2676
0.815,0.81,0.82,0.8148,0.2658,-0.2658
0.825,0.82,0.83,0.8349,0.2636,-0.2636
0.835,0.83,0.84,0.8544,0.2614,-0.2614
0.845,0.84,0.85,0.8733,0.2592,-0.2592
0.855,0.85,0.86,0.8915,0.2573,-0.2573
0.865,0.86,0.87,0.9088,0.2559,-0.2559
0.875,0.87,0.88,0.9252,0.2554,-0.2554
0.885,0.88,0.89,0.9407,0.2558,-0.2558
0.895,0.89,0.9,0.9551,0.2574,-0.2574
0.905,0.9,0.91,0.9683,0.2603,-0.2603
0.915,0.91,0.92,0.9803,0.2646,-0.2646
0.925,0.92,0.93,0.9909,0.2703,-0.2703
0.935,0.93,0.94,1.0001,0.2774,-0.2774
0.945,0.94,0.95,1.0078,0.2857,-0.2857
0.955,0.95,0.96,1.0137,0.2951,-0.2951
0.965,0.96,0.97,1.0179,0.3054,-0.3054
0.975,0.97,0.98,1.0203,0.3163,-0.3163
0.985,0.98,0.99,1.0207,0.3277,-0.3277
0.995,0.99,1.0,1.0191,0.3392,-0.3392
1.005,1.0,1.01,1.0154,0.3506,-0.3506
1.0150000000000001,1.01,1.02,1.0095,0.3616,-0.3616
1.025,1.02,1.03,1.0015,0.3721,-0.3721
1.0350000000000001,1.03,1.04,0.9911,0.3818,-0.3818
1.045,1.04,1.05,0.9786,0.3906,-0.3906
1.0550000000000002,1.05,1.06,0.9639,0.3982,-0.3982
1.065,1.06,1.07,0.9471,0.4047,-0.4047
1.0750000000000002,1.07,1.08,0.9283,0.4098,-0.4098
1.085,1.08,1.09,0.9079,0.4136,-0.4136
1.0950000000000002,1.09,1.1,0.886,0.4161,-0.4161
1.105,1.1,1.11,0.863,0.4173,-0.4173
1.1150000000000002,1.11,1.12,0.8396,0.4174,-0.4174
1.125,1.12,1.13,0.8164,0.4165,-0.4165
1.1349999999999998,1.13,1.14,0.7943,0.4151,-0.4151
1.145,1.14,1.15,0.7744,0.4133,-0.4133
1.1549999999999998,1.15,1.16,0.7579,0.4117,-0.4117
1.165,1.16,1.17,0.7466,0.4105,-0.4105
1.1749999999999998,1.17,1.18,0.7423,0.4102,-0.4102
1.185,1.18,1.19,0.7469,0.4111,-0.4111
1.1949999999999998,1.19,1.2,0.7627,0.4135,-0.4135
1.205,1.2,1.21,0.7915,0.4176,-0.4176
1.2149999999999999,1.21,1.22,0.8346,0.4236,-0.4236
1.225,1.22,1.23,0.892,0.4318,-0.4318
1.2349999999999999,1.23,1.24,0.9616,0.4424,-0.4424
1.245,1.24,1.25,1.0388,0.4556,-0.4556
1.255,1.25,1.26,1.1161,0.4714,-0.4714
1.2650000000000001,1.26,1.27,1.184,0.4889,-0.4889
1.275,1.27,1.28,1.2326,0.5064,-0.5064
1.2850000000000001,1.28,1.29,1.2541,0.5218,-0.5218
1.295,1.29,1.3,1.2445,0.5329,-0.5329
1.3050000000000002,1.3,1.31,1.2045,0.5386,-0.5386
1.315,1.31,1.32,1.1386,0.5386,-0.5386
1.3250000000000002,1.32,1.33,1.0542,0.5336,-0.5336
1.335,1.33,1.34,0.9592,0.5245,-0.5245
1.3450000000000002,1.34,1.35,0.8614,0.5123,-0.5123
1.355,1.35,1.36,0.7677,0.4977,-0.4977
1.3650000000000002,1.36,1.37,0.6837,0.482,-0.482
1.375,1.37,1.38,0.6142,0.4669,-0.4669
1.3849999999999998,1.38,1.39,0.5631,0.4557,-0.4557
1.395,1.39,1.4,0.5339,0.4539,-0.4539

