#: table_doi: 10.17182/hepdata.74824.v1/t183
#: name: Table 183
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table183.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
1.295,1.29,1.3,-0.1115,0.0186,-0.0186
1.3050000000000002,1.3,1.31,-0.1165,0.019,-0.019
1.315,1.31,1.32,-0.1222,0.0197,-0.0197
1.3250000000000002,1.32,1.33,-0.1283,0.0207,-0.0207
1.335,1.33,1.34,-0.1344,0.0217,-0.0217
1.3450000000000002,1.34,1.35,-0.14,0.0226,-0.0226
1.355,1.35,1.36,-0.1448,0.0232,-0.0232
1.3650000000000002,1.36,1.37,-0.1484,0.0236,-0.0236
1.375,1.37,1.38,-0.1504,0.0237,-0.0237
1.3849999999999998,1.38,1.39,-0.1505,0.0239,-0.0239
1.395,1.39,1.4,-0.1485,0.0248,-0.0248

#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.405,0.4,0.41,-0.0308,0.027,-0.027
0.415,0.41,0.42,-0.0241,0.0267,-0.0267
0.425,0.42,0.43,-0.018,0.0268,-0.0268
0.435,0.43,0.44,-0.0127,0.027,-0.027
0.445,0.44,0.45,-0.0081,0.0272,-0.0272
0.455,0.45,0.46,-0.0043,0.0273,-0.0273
0.46499999999999997,0.46,0.47,-0.0011,0.0272,-0.0272
0.475,0.47,0.48,0.0015,0.0269,-0.0269
0.485,0.48,0.49,0.0037,0.0263,-0.0263
0.495,0.49,0.5,0.0055,0.0255,-0.0255
0.505,0.5,0.51,0.0071,0.0245,-0.0245
0.515,0.51,0.52,0.0085,0.0234,-0.0234
0.525,0.52,0.53,0.0099,0.0221,-0.0221
0.535,0.53,0.54,0.0112,0.0207,-0.0207
0.545,0.54,0.55,0.0126,0.0192,-0.0192
0.555,0.55,0.56,0.014,0.0177,-0.0177
0.565,0.56,0.57,0.0156,0.0161,-0.0161
0.575,0.57,0.58,0.0173,0.0146,-0.0146
0.585,0.58,0.59,0.0192,0.0131,-0.0131
0.595,0.59,0.6,0.0212,0.0118,-0.0118
0.605,0.6,0.61,0.0233,0.0108,-0.0108
0.615,0.61,0.62,0.0255,0.0102,-0.0102
0.625,0.62,0.63,0.0277,0.01,-0.01
0.635,0.63,0.64,0.0299,0.0102,-0.0102
0.645,0.64,0.65,0.032,0.0108,-0.0108
0.655,0.65,0.66,0.0339,0.0116,-0.0116
0.665,0.66,0.67,0.0356,0.0125,-0.0125
0.675,0.67,0.68,0.037,0.0133,-0.0133
0.685,0.68,0.69,0.0379,0.0141,-0.0141
0.695,0.69,0.7,0.0384,0.0147,-0.0147
0.705,0.7,0.71,0.0383,0.0152,-0.0152
0.715,0.71,0.72,0.0377,0.0155,-0.0155
0.725,0.72,0.73,0.0364,0.0157,-0.0157
0.735,0.73,0.74,0.0344,0.0157,-0.0157
0.745,0.74,0.75,0.0317,0.0156,-0.0156
0.755,0.75,0.76,0.0283,0.0154,-0.0154
0.765,0.76,0.77,0.0243,0.0152,-0.0152
0.775,0.77,0.78,0.0196,0.015,-0.015
0.785,0.78,0.79,0.0143,0.0149,-0.0149
0.795,0.79,0.8,0.0085,0.0149,-0.0149
0.805,0.8,0.81,0.0024,0.0149,-0.0149
0.815,0.81,0.82,-0.004,0.015,-0.015
0.825,0.82,0.83,-0.0105,0.015,-0.015
0.835,0.83,0.84,-0.017,0.015,-0.015
0.845,0.84,0.85,-0.0234,0.0149,-0.0149
0.855,0.85,0.86,-0.0295,0.0148,-0.0148
0.865,0.86,0.87,-0.0352,0.0146,-0.0146
0.875,0.87,0.88,-0.0405,0.0142,-0.0142
0.885,0.88,0.89,-0.0453,0.0138,-0.0138
0.895,0.89,0.9,-0.0495,0.0133,-0.0133
0.905,0.9,0.91,-0.0531,0.0128,-0.0128
0.915,0.91,0.92,-0.0562,0.0123,-0.0123
0.925,0.92,0.93,-0.0587,0.0119,-0.0119
0.935,0.93,0.94,-0.0608,0.0115,-0.0115
0.945,0.94,0.95,-0.0624,0.0112,-0.0112
0.955,0.95,0.96,-0.0638,0.011,-0.011
0.965,0.96,0.97,-0.0652,0.011,-0.011
0.975,0.97,0.98,-0.0677,0.0114,-0.0114
0.985,0.98,0.99,-0.076,0.0125,-0.0125
0.995,0.99,1.0,-0.0786,0.0112,-0.0112
1.005,1.0,1.01,-0.0818,0.0112,-0.0112
1.0150000000000001,1.01,1.02,-0.0854,0.0116,-0.0116
1.025,1.02,1.03,-0.0885,0.012,-0.012
1.0350000000000001,1.03,1.04,-0.091,0.0124,-0.0124
1.045,1.04,1.05,-0.093,0.0129,-0.0129
1.0550000000000002,1.05,1.06,-0.0944,0.0135,-0.0135
1.065,1.06,1.07,-0.0953,0.0142,-0.0142
1.0750000000000002,1.07,1.08,-0.0958,0.0149,-0.0149
1.085,1.08,1.09,-0.0959,0.0158,-0.0158
1.0950000000000002,1.09,1.1,-0.0957,0.0167,-0.0167
1.105,1.1,1.11,-0.0952,0.0176,-0.0176
1.1150000000000002,1.11,1.12,-0.0946,0.0186,-0.0186
1.125,1.12,1.13,-0.0939,0.0195,-0.0195
1.1349999999999998,1.13,1.14,-0.0932,0.0204,-0.0204
1.145,1.14,1.15,-0.0924,0.0213,-0.0213
1.1549999999999998,1.15,1.16,-0.0917,0.022,-0.022
1.165,1.16,1.17,-0.0911,0.0226,-0.0226
1.1749999999999998,1.17,1.18,-0.0906,0.0231,-0.0231
1.185,1.18,1.19,-0.0901,0.0234,-0.0234
1.1949999999999998,1.19,1.2,-0.0898,0.0235,-0.0235
1.205,1.2,1.21,-0.0897,0.0233,-0.0233
1.2149999999999999,1.21,1.22,-0.0897,0.0229,-0.0229
1.225,1.22,1.23,-0.0899,0.0223,-0.0223
