#: table_doi: 10.17182/hepdata.74824.v1/t161
#: name: Table 161
#: description: F0 wave cross section for -T.

#: data_file: Table161.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=f0wave) [MUB/GEV**3]",error +,error -
0.695,0.69,0.7,0.0646,0.0318,-0.0318
0.705,0.7,0.71,0.0657,0.0325,-0.0325
0.715,0.71,0.72,0.0668,0.0331,-0.0331
0.725,0.72,0.73,0.0678,0.0338,-0.0338
0.735,0.73,0.74,0.0687,0.0344,-0.0344
0.745,0.74,0.75,0.0696,0.035,-0.035
0.755,0.75,0.76,0.0704,0.0355,-0.0355
0.765,0.76,0.77,0.0712,0.0361,-0.0361
0.775,0.77,0.78,0.0719,0.0366,-0.0366
0.785,0.78,0.79,0.0725,0.0371,-0.0371
0.795,0.79,0.8,0.0731,0.0375,-0.0375
0.805,0.8,0.81,0.0737,0.038,-0.038
0.815,0.81,0.82,0.0742,0.0384,-0.0384
0.825,0.82,0.83,0.0747,0.0388,-0.0388
0.835,0.83,0.84,0.0751,0.0391,-0.0391
0.845,0.84,0.85,0.0755,0.0394,-0.0394
0.855,0.85,0.86,0.0758,0.0397,-0.0397
0.865,0.86,0.87,0.0761,0.04,-0.04
0.875,0.87,0.88,0.0764,0.0403,-0.0403
0.885,0.88,0.89,0.0766,0.0405,-0.0405
0.895,0.89,0.9,0.0768,0.0407,-0.0407
0.905,0.9,0.91,0.077,0.0409,-0.0409
0.915,0.91,0.92,0.0772,0.0411,-0.0411
0.925,0.92,0.93,0.0773,0.0412,-0.0412
0.935,0.93,0.94,0.0774,0.0413,-0.0413
0.945,0.94,0.95,0.0776,0.0414,-0.0414
0.955,0.95,0.96,0.0777,0.0415,-0.0415
0.965,0.96,0.97,0.0777,0.0415,-0.0415
0.975,0.97,0.98,0.0778,0.0416,-0.0416
0.985,0.98,0.99,0.0779,0.0416,-0.0416
