#: table_doi: 10.17182/hepdata.74824.v1/t141
#: name: Table 141
#: description: Dp wave cross section for -T.

#: data_file: Table141.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
1.3650000000000002,1.36,1.37,0.1444,0.1982,-0.1982
1.375,1.37,1.38,0.1449,0.2075,-0.2075
1.3849999999999998,1.38,1.39,0.1496,0.2184,-0.2184
1.395,1.39,1.4,0.1589,0.2324,-0.2324

#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.109,0.0695,-0.0695
0.415,0.41,0.42,0.1005,0.0649,-0.0649
0.425,0.42,0.43,0.0927,0.0608,-0.0608
0.435,0.43,0.44,0.0857,0.057,-0.057
0.445,0.44,0.45,0.0794,0.0538,-0.0538
0.455,0.45,0.46,0.0738,0.051,-0.051
0.46499999999999997,0.46,0.47,0.069,0.0487,-0.0487
0.475,0.47,0.48,0.0648,0.047,-0.047
0.485,0.48,0.49,0.0613,0.0457,-0.0457
0.495,0.49,0.5,0.0584,0.0451,-0.0451
0.505,0.5,0.51,0.0561,0.0449,-0.0449
0.515,0.51,0.52,0.0544,0.0453,-0.0453
0.525,0.52,0.53,0.0532,0.0462,-0.0462
0.535,0.53,0.54,0.0526,0.0476,-0.0476
0.545,0.54,0.55,0.0524,0.0493,-0.0493
0.555,0.55,0.56,0.0527,0.0515,-0.0515
0.565,0.56,0.57,0.0534,0.0539,-0.0539
0.575,0.57,0.58,0.0545,0.0567,-0.0567
0.585,0.58,0.59,0.0559,0.0596,-0.0596
0.595,0.59,0.6,0.0576,0.0627,-0.0627
0.605,0.6,0.61,0.0596,0.0659,-0.0659
0.615,0.61,0.62,0.0618,0.0692,-0.0692
0.625,0.62,0.63,0.0642,0.0725,-0.0725
0.635,0.63,0.64,0.0668,0.0758,-0.0758
0.645,0.64,0.65,0.0696,0.0791,-0.0791
0.655,0.65,0.66,0.0724,0.0824,-0.0824
0.665,0.66,0.67,0.0753,0.0855,-0.0855
0.675,0.67,0.68,0.0783,0.0885,-0.0885
0.685,0.68,0.69,0.0813,0.0914,-0.0914
0.695,0.69,0.7,0.0842,0.0942,-0.0942
0.705,0.7,0.71,0.0871,0.0968,-0.0968
0.715,0.71,0.72,0.0899,0.0992,-0.0992
0.725,0.72,0.73,0.0927,0.1014,-0.1014
0.735,0.73,0.74,0.0953,0.1034,-0.1034
0.745,0.74,0.75,0.0978,0.1051,-0.1051
0.755,0.75,0.76,0.1002,0.1067,-0.1067
0.765,0.76,0.77,0.1024,0.108,-0.108
0.775,0.77,0.78,0.1045,0.1091,-0.1091
0.785,0.78,0.79,0.1063,0.11,-0.11
0.795,0.79,0.8,0.108,0.1106,-0.1106
0.805,0.8,0.81,0.1094,0.111,-0.111
0.815,0.81,0.82,0.1107,0.1112,-0.1112
0.825,0.82,0.83,0.1118,0.1112,-0.1112
0.835,0.83,0.84,0.1127,0.1109,-0.1109
0.845,0.84,0.85,0.1133,0.1105,-0.1105
0.855,0.85,0.86,0.1138,0.1099,-0.1099
0.865,0.86,0.87,0.1141,0.1091,-0.1091
0.875,0.87,0.88,0.1142,0.1082,-0.1082
0.885,0.88,0.89,0.1142,0.1071,-0.1071
0.895,0.89,0.9,0.114,0.1059,-0.1059
0.905,0.9,0.91,0.1137,0.1045,-0.1045
0.915,0.91,0.92,0.1133,0.1031,-0.1031
0.925,0.92,0.93,0.1127,0.1017,-0.1017
0.935,0.93,0.94,0.1121,0.1001,-0.1001
0.945,0.94,0.95,0.1114,0.0986,-0.0986
0.955,0.95,0.96,0.1108,0.0971,-0.0971
0.965,0.96,0.97,0.1101,0.0955,-0.0955
0.975,0.97,0.98,0.1094,0.0941,-0.0941
0.985,0.98,0.99,0.1089,0.0927,-0.0927
0.995,0.99,1.0,0.1084,0.0914,-0.0914
1.005,1.0,1.01,0.1081,0.0903,-0.0903
1.0150000000000001,1.01,1.02,0.108,0.0894,-0.0894
1.025,1.02,1.03,0.1081,0.0887,-0.0887
1.0350000000000001,1.03,1.04,0.1086,0.0883,-0.0883
1.045,1.04,1.05,0.1095,0.0882,-0.0882
1.0550000000000002,1.05,1.06,0.1108,0.0884,-0.0884
1.065,1.06,1.07,0.1126,0.089,-0.089
1.0750000000000002,1.07,1.08,0.115,0.0901,-0.0901
1.085,1.08,1.09,0.1182,0.0917,-0.0917
1.0950000000000002,1.09,1.1,0.1222,0.0939,-0.0939
1.105,1.1,1.11,0.1272,0.0967,-0.0967
1.1150000000000002,1.11,1.12,0.1333,0.1,-0.1
1.125,1.12,1.13,0.1406,0.104,-0.104
1.1349999999999998,1.13,1.14,0.1492,0.1087,-0.1087
1.145,1.14,1.15,0.1594,0.1139,-0.1139
1.1549999999999998,1.15,1.16,0.1712,0.1197,-0.1197
1.165,1.16,1.17,0.1847,0.1259,-0.1259
1.1749999999999998,1.17,1.18,0.2,0.1323,-0.1323
1.185,1.18,1.19,0.2169,0.1388,-0.1388
1.1949999999999998,1.19,1.2,0.2352,0.145,-0.145
1.205,1.2,1.21,0.2543,0.1506,-0.1506
1.2149999999999999,1.21,1.22,0.2733,0.155,-0.155
1.225,1.22,1.23,0.291,0.158,-0.158
1.2349999999999999,1.23,1.24,0.3057,0.1592,-0.1592
1.245,1.24,1.25,0.3155,0.1586,-0.1586
1.255,1.25,1.26,0.3184,0.1564,-0.1564
1.2650000000000001,1.26,1.27,0.3132,0.1533,-0.1533
1.275,1.27,1.28,0.2994,0.1499,-0.1499
1.2850000000000001,1.28,1.29,0.2778,0.1469,-0.1469
1.295,1.29,1.3,0.2503,0.1442,-0.1442
1.3050000000000002,1.3,1.31,0.2196,0.1416,-0.1416
1.315,1.31,1.32,0.1884,0.1386,-0.1386
1.3250000000000002,1.32,1.33,0.1588,0.1347,-0.1347
1.335,1.33,1.34,0.1326,0.1299,-0.1299
1.3450000000000002,1.34,1.35,0.111,0.1243,-0.1243
1.355,1.35,1.36,0.0944,0.1187,-0.1187
1.3650000000000002,1.36,1.37,0.0831,0.1138,-0.1138
1.375,1.37,1.38,0.0771,0.1105,-0.1105
1.3849999999999998,1.38,1.39,0.0763,0.1097,-0.1097
1.395,1.39,1.4,0.0805,0.1123,-0.1123

#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0567,0.0347,-0.0347
0.415,0.41,0.42,0.0596,0.0381,-0.0381
0.425,0.42,0.43,0.0629,0.0414,-0.0414
0.435,0.43,0.44,0.0666,0.0446,-0.0446
0.445,0.44,0.45,0.0706,0.0477,-0.0477
0.455,0.45,0.46,0.0749,0.0505,-0.0505
0.46499999999999997,0.46,0.47,0.0792,0.0532,-0.0532
0.475,0.47,0.48,0.0837,0.0556,-0.0556
0.485,0.48,0.49,0.0882,0.0579,-0.0579
0.495,0.49,0.5,0.0927,0.0599,-0.0599
0.505,0.5,0.51,0.0972,0.0617,-0.0617
0.515,0.51,0.52,0.1015,0.0632,-0.0632
0.525,0.52,0.53,0.1057,0.0646,-0.0646
0.535,0.53,0.54,0.1097,0.0658,-0.0658
0.545,0.54,0.55,0.1135,0.0668,-0.0668
0.555,0.55,0.56,0.1171,0.0676,-0.0676
0.565,0.56,0.57,0.1204,0.0683,-0.0683
0.575,0.57,0.58,0.1235,0.0689,-0.0689
0.585,0.58,0.59,0.1263,0.0693,-0.0693
0.595,0.59,0.6,0.1288,0.0696,-0.0696
0.605,0.6,0.61,0.1311,0.0699,-0.0699
0.615,0.61,0.62,0.133,0.07,-0.07
0.625,0.62,0.63,0.1347,0.0702,-0.0702
0.635,0.63,0.64,0.136,0.0702,-0.0702
0.645,0.64,0.65,0.1371,0.0703,-0.0703
0.655,0.65,0.66,0.1379,0.0703,-0.0703
0.665,0.66,0.67,0.1384,0.0703,-0.0703
0.675,0.67,0.68,0.1387,0.0702,-0.0702
0.685,0.68,0.69,0.1387,0.0702,-0.0702
0.695,0.69,0.7,0.1384,0.0702,-0.0702
0.705,0.7,0.71,0.138,0.0701,-0.0701
0.715,0.71,0.72,0.1373,0.07,-0.07
0.725,0.72,0.73,0.1364,0.07,-0.07
0.735,0.73,0.74,0.1354,0.0698,-0.0698
0.745,0.74,0.75,0.1342,0.0697,-0.0697
0.755,0.75,0.76,0.1328,0.0695,-0.0695
0.765,0.76,0.77,0.1313,0.0693,-0.0693
0.775,0.77,0.78,0.1298,0.0691,-0.0691
0.785,0.78,0.79,0.1281,0.0688,-0.0688
