#: table_doi: 10.17182/hepdata.74824.v1/t104
#: name: Table 104
#: description: Pm wave cross section for -T.

#: data_file: Table104.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.765,0.76,0.77,1.0515,0.4442,-0.4442
0.775,0.77,0.78,1.1109,0.4669,-0.4669
0.785,0.78,0.79,1.1418,0.4755,-0.4755
0.795,0.79,0.8,1.1469,0.472,-0.472
0.805,0.8,0.81,1.132,0.4596,-0.4596
0.815,0.81,0.82,1.1037,0.4419,-0.4419
0.825,0.82,0.83,1.0677,0.4219,-0.4219
0.835,0.83,0.84,1.0284,0.4017,-0.4017
0.845,0.84,0.85,0.9885,0.3826,-0.3826
0.855,0.85,0.86,0.95,0.3653,-0.3653
0.865,0.86,0.87,0.9136,0.3501,-0.3501
0.875,0.87,0.88,0.8799,0.337,-0.337
0.885,0.88,0.89,0.8489,0.326,-0.326
0.895,0.89,0.9,0.8207,0.3167,-0.3167
0.905,0.9,0.91,0.7949,0.309,-0.309
0.915,0.91,0.92,0.7714,0.3027,-0.3027
0.925,0.92,0.93,0.75,0.2974,-0.2974
0.935,0.93,0.94,0.7304,0.2931,-0.2931
0.945,0.94,0.95,0.7124,0.2894,-0.2894
0.955,0.95,0.96,0.6958,0.2864,-0.2864
0.965,0.96,0.97,0.6805,0.2837,-0.2837
0.975,0.97,0.98,0.6662,0.2814,-0.2814
0.985,0.98,0.99,0.6528,0.2793,-0.2793
0.995,0.99,1.0,0.6402,0.2774,-0.2774
1.005,1.0,1.01,0.6282,0.2755,-0.2755
1.0150000000000001,1.01,1.02,0.6168,0.2736,-0.2736
1.025,1.02,1.03,0.6059,0.2718,-0.2718
1.0350000000000001,1.03,1.04,0.5953,0.2698,-0.2698
1.045,1.04,1.05,0.585,0.2678,-0.2678
1.0550000000000002,1.05,1.06,0.5749,0.2657,-0.2657
1.065,1.06,1.07,0.565,0.2635,-0.2635
1.0750000000000002,1.07,1.08,0.5552,0.2612,-0.2612
1.085,1.08,1.09,0.5455,0.2587,-0.2587
1.0950000000000002,1.09,1.1,0.5358,0.2562,-0.2562
1.105,1.1,1.11,0.526,0.2535,-0.2535
1.1150000000000002,1.11,1.12,0.5163,0.2508,-0.2508
1.125,1.12,1.13,0.5066,0.2479,-0.2479
1.1349999999999998,1.13,1.14,0.4967,0.245,-0.245
1.145,1.14,1.15,0.4869,0.2421,-0.2421
1.1549999999999998,1.15,1.16,0.477,0.2391,-0.2391
1.165,1.16,1.17,0.4672,0.2362,-0.2362
1.1749999999999998,1.17,1.18,0.4573,0.2333,-0.2333
1.185,1.18,1.19,0.4475,0.2305,-0.2305
1.1949999999999998,1.19,1.2,0.4378,0.2279,-0.2279
1.205,1.2,1.21,0.4283,0.2254,-0.2254
1.2149999999999999,1.21,1.22,0.4191,0.2231,-0.2231
1.225,1.22,1.23,0.4101,0.2212,-0.2212
1.2349999999999999,1.23,1.24,0.4016,0.2196,-0.2196
1.245,1.24,1.25,0.3937,0.2185,-0.2185
1.255,1.25,1.26,0.3864,0.218,-0.218
1.2650000000000001,1.26,1.27,0.38,0.2183,-0.2183
1.275,1.27,1.28,0.3746,0.2194,-0.2194
1.2850000000000001,1.28,1.29,0.3703,0.2216,-0.2216
1.295,1.29,1.3,0.3675,0.2251,-0.2251
1.3050000000000002,1.3,1.31,0.3663,0.2301,-0.2301
1.315,1.31,1.32,0.3669,0.2369,-0.2369
1.3250000000000002,1.32,1.33,0.3697,0.2458,-0.2458
1.335,1.33,1.34,0.3749,0.257,-0.257
1.3450000000000002,1.34,1.35,0.3828,0.2707,-0.2707
1.355,1.35,1.36,0.3939,0.2874,-0.2874
1.3650000000000002,1.36,1.37,0.4085,0.3072,-0.3072
1.375,1.37,1.38,0.427,0.3305,-0.3305
