#: table_doi: 10.17182/hepdata.74824.v1/t124
#: name: Table 124
#: description: D wave cross section for -T.

#: data_file: Table124.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
0.855,0.85,0.86,0.317,0.2045,-0.2045
0.865,0.86,0.87,0.3297,0.2106,-0.2106
0.875,0.87,0.88,0.3428,0.2167,-0.2167
0.885,0.88,0.89,0.3562,0.2228,-0.2228
0.895,0.89,0.9,0.3699,0.2291,-0.2291
0.905,0.9,0.91,0.3838,0.2353,-0.2353
0.915,0.91,0.92,0.3978,0.2415,-0.2415
0.925,0.92,0.93,0.4119,0.2476,-0.2476
0.935,0.93,0.94,0.4259,0.2536,-0.2536
0.945,0.94,0.95,0.4399,0.2595,-0.2595
0.955,0.95,0.96,0.4536,0.2651,-0.2651
0.965,0.96,0.97,0.467,0.2705,-0.2705
0.975,0.97,0.98,0.48,0.2756,-0.2756
0.985,0.98,0.99,0.4926,0.2802,-0.2802
0.995,0.99,1.0,0.5045,0.2844,-0.2844
1.005,1.0,1.01,0.5157,0.288,-0.288
1.0150000000000001,1.01,1.02,0.5261,0.291,-0.291
1.025,1.02,1.03,0.5356,0.2934,-0.2934
1.0350000000000001,1.03,1.04,0.5442,0.295,-0.295
1.045,1.04,1.05,0.5517,0.2958,-0.2958
1.0550000000000002,1.05,1.06,0.5581,0.2957,-0.2957
1.065,1.06,1.07,0.5634,0.2947,-0.2947
1.0750000000000002,1.07,1.08,0.5676,0.2928,-0.2928
1.085,1.08,1.09,0.5706,0.2899,-0.2899
1.0950000000000002,1.09,1.1,0.5727,0.286,-0.286
1.105,1.1,1.11,0.5739,0.2811,-0.2811
1.1150000000000002,1.11,1.12,0.5745,0.2752,-0.2752
1.125,1.12,1.13,0.5747,0.2685,-0.2685
1.1349999999999998,1.13,1.14,0.575,0.261,-0.261
1.145,1.14,1.15,0.5758,0.2529,-0.2529
1.1549999999999998,1.15,1.16,0.578,0.2445,-0.2445
1.165,1.16,1.17,0.5823,0.2359,-0.2359
1.1749999999999998,1.17,1.18,0.5898,0.2276,-0.2276
1.185,1.18,1.19,0.6018,0.2199,-0.2199
1.1949999999999998,1.19,1.2,0.6194,0.2133,-0.2133
1.205,1.2,1.21,0.6439,0.2082,-0.2082
1.2149999999999999,1.21,1.22,0.6764,0.2053,-0.2053
1.225,1.22,1.23,0.7169,0.2049,-0.2049
1.2349999999999999,1.23,1.24,0.7649,0.2076,-0.2076
1.245,1.24,1.25,0.8179,0.2138,-0.2138
1.255,1.25,1.26,0.8718,0.2238,-0.2238
1.2650000000000001,1.26,1.27,0.9213,0.2374,-0.2374
1.275,1.27,1.28,0.9603,0.2541,-0.2541
1.2850000000000001,1.28,1.29,0.9836,0.2725,-0.2725
1.295,1.29,1.3,0.9883,0.2912,-0.2912
1.3050000000000002,1.3,1.31,0.9737,0.3088,-0.3088
1.315,1.31,1.32,0.9418,0.3242,-0.3242
1.3250000000000002,1.32,1.33,0.8962,0.3368,-0.3368
1.335,1.33,1.34,0.8413,0.3464,-0.3464
1.3450000000000002,1.34,1.35,0.7814,0.3529,-0.3529
1.355,1.35,1.36,0.7203,0.3564,-0.3564
1.3650000000000002,1.36,1.37,0.6615,0.3572,-0.3572
1.375,1.37,1.38,0.6079,0.3558,-0.3558
1.3849999999999998,1.38,1.39,0.5617,0.353,-0.353
1.395,1.39,1.4,0.5252,0.3505,-0.3505

#: -T [GeV^2],,,0.7-0.8
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1281,0.061,-0.061
0.415,0.41,0.42,0.1293,0.0624,-0.0624
0.425,0.42,0.43,0.1313,0.0638,-0.0638
0.435,0.43,0.44,0.134,0.065,-0.065
0.445,0.44,0.45,0.1375,0.0659,-0.0659
0.455,0.45,0.46,0.1415,0.0667,-0.0667
0.46499999999999997,0.46,0.47,0.1461,0.0672,-0.0672
0.475,0.47,0.48,0.1511,0.0674,-0.0674
0.485,0.48,0.49,0.1565,0.0674,-0.0674
0.495,0.49,0.5,0.1622,0.0672,-0.0672
0.505,0.5,0.51,0.1682,0.0669,-0.0669
0.515,0.51,0.52,0.1744,0.0664,-0.0664
0.525,0.52,0.53,0.1808,0.0658,-0.0658
0.535,0.53,0.54,0.1873,0.0651,-0.0651
0.545,0.54,0.55,0.194,0.0644,-0.0644
0.555,0.55,0.56,0.2007,0.0638,-0.0638
0.565,0.56,0.57,0.2075,0.0632,-0.0632
0.575,0.57,0.58,0.2144,0.0626,-0.0626
0.585,0.58,0.59,0.2212,0.0623,-0.0623
0.595,0.59,0.6,0.2281,0.062,-0.062
0.605,0.6,0.61,0.235,0.062,-0.062
0.615,0.61,0.62,0.2418,0.0621,-0.0621
0.625,0.62,0.63,0.2486,0.0624,-0.0624
0.635,0.63,0.64,0.2553,0.063,-0.063
0.645,0.64,0.65,0.2621,0.0638,-0.0638
0.655,0.65,0.66,0.2687,0.0647,-0.0647
0.665,0.66,0.67,0.2753,0.0659,-0.0659
0.675,0.67,0.68,0.2818,0.0672,-0.0672
0.685,0.68,0.69,0.2883,0.0687,-0.0687
0.695,0.69,0.7,0.2947,0.0703,-0.0703
0.705,0.7,0.71,0.3011,0.0721,-0.0721
0.715,0.71,0.72,0.3074,0.0741,-0.0741
0.725,0.72,0.73,0.3136,0.0762,-0.0762
0.735,0.73,0.74,0.3198,0.0784,-0.0784
0.745,0.74,0.75,0.3259,0.0807,-0.0807
0.755,0.75,0.76,0.332,0.0832,-0.0832
0.765,0.76,0.77,0.338,0.0859,-0.0859
0.775,0.77,0.78,0.344,0.0887,-0.0887
0.785,0.78,0.79,0.35,0.0918,-0.0918
0.795,0.79,0.8,0.3559,0.095,-0.095
0.805,0.8,0.81,0.3618,0.0985,-0.0985
0.815,0.81,0.82,0.3677,0.1022,-0.1022
0.825,0.82,0.83,0.3735,0.1062,-0.1062
0.835,0.83,0.84,0.3794,0.1105,-0.1105
0.845,0.84,0.85,0.3852,0.115,-0.115
0.855,0.85,0.86,0.391,0.1199,-0.1199
0.865,0.86,0.87,0.3968,0.125,-0.125
0.875,0.87,0.88,0.4025,0.1304,-0.1304
0.885,0.88,0.89,0.4083,0.136,-0.136
0.895,0.89,0.9,0.414,0.1419,-0.1419
0.905,0.9,0.91,0.4197,0.1481,-0.1481
0.915,0.91,0.92,0.4254,0.1544,-0.1544
0.925,0.92,0.93,0.431,0.1608,-0.1608
0.935,0.93,0.94,0.4367,0.1674,-0.1674
0.945,0.94,0.95,0.4423,0.1741,-0.1741
0.955,0.95,0.96,0.4478,0.1807,-0.1807
0.965,0.96,0.97,0.4534,0.1874,-0.1874
0.975,0.97,0.98,0.4589,0.1939,-0.1939
0.985,0.98,0.99,0.4644,0.2004,-0.2004
0.995,0.99,1.0,0.4699,0.2066,-0.2066
1.005,1.0,1.01,0.4754,0.2126,-0.2126
1.0150000000000001,1.01,1.02,0.481,0.2182,-0.2182
1.025,1.02,1.03,0.4866,0.2235,-0.2235
1.0350000000000001,1.03,1.04,0.4923,0.2283,-0.2283
1.045,1.04,1.05,0.4982,0.2326,-0.2326
1.0550000000000002,1.05,1.06,0.5044,0.2364,-0.2364
1.065,1.06,1.07,0.5108,0.2396,-0.2396
1.0750000000000002,1.07,1.08,0.5177,0.2422,-0.2422
1.085,1.08,1.09,0.5252,0.2442,-0.2442
1.0950000000000002,1.09,1.1,0.5333,0.2454,-0.2454
1.105,1.1,1.11,0.5424,0.246,-0.246
1.1150000000000002,1.11,1.12,0.5525,0.246,-0.246
