#: table_doi: 10.17182/hepdata.74824.v1/t127
#: name: Table 127
#: description: Dm wave cross section for -T.

#: data_file: Table127.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
1.085,1.08,1.09,0.5777,0.3038,-0.3038
1.0950000000000002,1.09,1.1,0.5647,0.2832,-0.2832
1.105,1.1,1.11,0.5511,0.2612,-0.2612
1.1150000000000002,1.11,1.12,0.5374,0.2378,-0.2378
1.125,1.12,1.13,0.5239,0.2139,-0.2139
1.1349999999999998,1.13,1.14,0.5108,0.1906,-0.1906
1.145,1.14,1.15,0.4988,0.1708,-0.1708
1.1549999999999998,1.15,1.16,0.4882,0.1585,-0.1585
1.165,1.16,1.17,0.4798,0.1594,-0.1594
1.1749999999999998,1.17,1.18,0.4741,0.177,-0.177
1.185,1.18,1.19,0.4718,0.2105,-0.2105
1.1949999999999998,1.19,1.2,0.4736,0.2563,-0.2563
1.205,1.2,1.21,0.4798,0.3103,-0.3103
1.2149999999999999,1.21,1.22,0.4905,0.3686,-0.3686
1.225,1.22,1.23,0.5049,0.4272,-0.4272
1.2349999999999999,1.23,1.24,0.5218,0.4815,-0.4815
1.245,1.24,1.25,0.5388,0.5264,-0.5264
1.255,1.25,1.26,0.5525,0.557,-0.557
1.2650000000000001,1.26,1.27,0.5594,0.5691,-0.5691
1.275,1.27,1.28,0.5563,0.5609,-0.5609
1.2850000000000001,1.28,1.29,0.5414,0.5333,-0.5333
1.295,1.29,1.3,0.5144,0.4899,-0.4899
1.3050000000000002,1.3,1.31,0.4771,0.4363,-0.4363
1.315,1.31,1.32,0.4327,0.3786,-0.3786
1.3250000000000002,1.32,1.33,0.3849,0.3226,-0.3226
1.335,1.33,1.34,0.3372,0.2731,-0.2731
1.3450000000000002,1.34,1.35,0.293,0.2334,-0.2334
1.355,1.35,1.36,0.255,0.2062,-0.2062
1.3650000000000002,1.36,1.37,0.2254,0.1926,-0.1926
1.375,1.37,1.38,0.2059,0.1926,-0.1926
1.3849999999999998,1.38,1.39,0.1982,0.205,-0.205
1.395,1.39,1.4,0.2034,0.2281,-0.2281

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.2512,0.1362,-0.1362
0.415,0.41,0.42,0.2303,0.1158,-0.1158
0.425,0.42,0.43,0.2113,0.0998,-0.0998
0.435,0.43,0.44,0.1942,0.0885,-0.0885
0.445,0.44,0.45,0.1789,0.0817,-0.0817
0.455,0.45,0.46,0.1654,0.0789,-0.0789
0.46499999999999997,0.46,0.47,0.1536,0.0792,-0.0792
0.475,0.47,0.48,0.1434,0.0815,-0.0815
0.485,0.48,0.49,0.1348,0.0846,-0.0846
0.495,0.49,0.5,0.1276,0.088,-0.088
0.505,0.5,0.51,0.1218,0.0912,-0.0912
0.515,0.51,0.52,0.1173,0.094,-0.094
0.525,0.52,0.53,0.114,0.0963,-0.0963
0.535,0.53,0.54,0.112,0.098,-0.098
0.545,0.54,0.55,0.111,0.0991,-0.0991
0.555,0.55,0.56,0.1111,0.0997,-0.0997
0.565,0.56,0.57,0.1121,0.0999,-0.0999
0.575,0.57,0.58,0.1142,0.0996,-0.0996
0.585,0.58,0.59,0.1171,0.099,-0.099
0.595,0.59,0.6,0.1208,0.0983,-0.0983
0.605,0.6,0.61,0.1253,0.0974,-0.0974
0.615,0.61,0.62,0.1306,0.0965,-0.0965
0.625,0.62,0.63,0.1366,0.0956,-0.0956
0.635,0.63,0.64,0.1432,0.0949,-0.0949
0.645,0.64,0.65,0.1505,0.0944,-0.0944
0.655,0.65,0.66,0.1585,0.0942,-0.0942
0.665,0.66,0.67,0.1669,0.0942,-0.0942
0.675,0.67,0.68,0.176,0.0945,-0.0945
0.685,0.68,0.69,0.1856,0.0952,-0.0952
0.695,0.69,0.7,0.1956,0.0962,-0.0962
0.705,0.7,0.71,0.2062,0.0976,-0.0976
0.715,0.71,0.72,0.2172,0.0993,-0.0993
0.725,0.72,0.73,0.2287,0.1013,-0.1013
0.735,0.73,0.74,0.2406,0.1036,-0.1036
0.745,0.74,0.75,0.2529,0.1063,-0.1063
0.755,0.75,0.76,0.2655,0.1092,-0.1092
0.765,0.76,0.77,0.2786,0.1124,-0.1124
0.775,0.77,0.78,0.2919,0.1159,-0.1159
0.785,0.78,0.79,0.3056,0.1197,-0.1197
0.795,0.79,0.8,0.3196,0.1237,-0.1237
0.805,0.8,0.81,0.3338,0.128,-0.128
0.815,0.81,0.82,0.3482,0.1325,-0.1325
0.825,0.82,0.83,0.3629,0.1373,-0.1373
0.835,0.83,0.84,0.3777,0.1422,-0.1422
0.845,0.84,0.85,0.3925,0.1474,-0.1474
0.855,0.85,0.86,0.4075,0.1527,-0.1527
0.865,0.86,0.87,0.4224,0.1583,-0.1583
0.875,0.87,0.88,0.4373,0.1639,-0.1639
0.885,0.88,0.89,0.4521,0.1697,-0.1697
0.895,0.89,0.9,0.4667,0.1756,-0.1756
0.905,0.9,0.91,0.481,0.1815,-0.1815
0.915,0.91,0.92,0.4949,0.1874,-0.1874
0.925,0.92,0.93,0.5085,0.1934,-0.1934
0.935,0.93,0.94,0.5214,0.1993,-0.1993
0.945,0.94,0.95,0.5338,0.2052,-0.2052
0.955,0.95,0.96,0.5454,0.211,-0.211
0.965,0.96,0.97,0.5562,0.2167,-0.2167
0.975,0.97,0.98,0.5659,0.2223,-0.2223
0.985,0.98,0.99,0.5747,0.2277,-0.2277
0.995,0.99,1.0,0.5822,0.2329,-0.2329
1.005,1.0,1.01,0.5883,0.2379,-0.2379
1.0150000000000001,1.01,1.02,0.5931,0.2426,-0.2426
1.025,1.02,1.03,0.5962,0.2471,-0.2471
