#: table_doi: 10.17182/hepdata.74824.v1/t102
#: name: Table 102
#: description: P wave cross section for -T.

#: data_file: Table102.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pwave) [MUB/GEV**3]",error +,error -
0.805,0.8,0.81,2.7886,0.3766,-0.3766
0.815,0.81,0.82,2.4391,0.3406,-0.3406
0.825,0.82,0.83,2.1194,0.3081,-0.3081
0.835,0.83,0.84,1.8374,0.2798,-0.2798
0.845,0.84,0.85,1.5946,0.2559,-0.2559
0.855,0.85,0.86,1.389,0.2362,-0.2362
0.865,0.86,0.87,1.2167,0.2202,-0.2202
0.875,0.87,0.88,1.0734,0.2073,-0.2073
0.885,0.88,0.89,0.955,0.1971,-0.1971
0.895,0.89,0.9,0.8576,0.1892,-0.1892
0.905,0.9,0.91,0.7781,0.1832,-0.1832
0.915,0.91,0.92,0.7137,0.1788,-0.1788
0.925,0.92,0.93,0.6619,0.1759,-0.1759
0.935,0.93,0.94,0.621,0.1741,-0.1741
0.945,0.94,0.95,0.5891,0.1734,-0.1734
0.955,0.95,0.96,0.565,0.1737,-0.1737
0.965,0.96,0.97,0.5475,0.1747,-0.1747
0.975,0.97,0.98,0.5356,0.1765,-0.1765
0.985,0.98,0.99,0.5286,0.1789,-0.1789
0.995,0.99,1.0,0.5256,0.1819,-0.1819
1.005,1.0,1.01,0.5261,0.1853,-0.1853
1.0150000000000001,1.01,1.02,0.5296,0.1891,-0.1891
1.025,1.02,1.03,0.5356,0.1933,-0.1933
1.0350000000000001,1.03,1.04,0.5436,0.1978,-0.1978
1.045,1.04,1.05,0.5532,0.2024,-0.2024
1.0550000000000002,1.05,1.06,0.5643,0.2072,-0.2072
1.065,1.06,1.07,0.5763,0.2122,-0.2122
1.0750000000000002,1.07,1.08,0.5891,0.2171,-0.2171
1.085,1.08,1.09,0.6024,0.222,-0.222
1.0950000000000002,1.09,1.1,0.616,0.2269,-0.2269
1.105,1.1,1.11,0.6296,0.2317,-0.2317
1.1150000000000002,1.11,1.12,0.643,0.2364,-0.2364
1.125,1.12,1.13,0.6561,0.2408,-0.2408
1.1349999999999998,1.13,1.14,0.6687,0.2451,-0.2451
1.145,1.14,1.15,0.6805,0.2492,-0.2492
1.1549999999999998,1.15,1.16,0.6916,0.253,-0.253
1.165,1.16,1.17,0.7016,0.2565,-0.2565
1.1749999999999998,1.17,1.18,0.7106,0.2597,-0.2597
1.185,1.18,1.19,0.7184,0.2627,-0.2627
1.1949999999999998,1.19,1.2,0.725,0.2654,-0.2654
1.205,1.2,1.21,0.7302,0.2678,-0.2678
1.2149999999999999,1.21,1.22,0.7341,0.27,-0.27
1.225,1.22,1.23,0.7365,0.2719,-0.2719
1.2349999999999999,1.23,1.24,0.7376,0.2736,-0.2736
1.245,1.24,1.25,0.7374,0.2752,-0.2752
1.255,1.25,1.26,0.7358,0.2766,-0.2766
1.2650000000000001,1.26,1.27,0.7329,0.2781,-0.2781
1.275,1.27,1.28,0.729,0.2795,-0.2795
1.2850000000000001,1.28,1.29,0.724,0.281,-0.281
1.295,1.29,1.3,0.7182,0.2828,-0.2828
1.3050000000000002,1.3,1.31,0.7119,0.285,-0.285
1.315,1.31,1.32,0.7051,0.2876,-0.2876
1.3250000000000002,1.32,1.33,0.6983,0.2909,-0.2909
1.335,1.33,1.34,0.6918,0.2951,-0.2951
1.3450000000000002,1.34,1.35,0.6859,0.3004,-0.3004
1.355,1.35,1.36,0.6811,0.3072,-0.3072
1.3650000000000002,1.36,1.37,0.6778,0.3158,-0.3158
1.375,1.37,1.38,0.6767,0.3264,-0.3264
1.3849999999999998,1.38,1.39,0.6784,0.3397,-0.3397
1.395,1.39,1.4,0.6834,0.3561,-0.3561

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0926,0.0255,-0.0255
0.415,0.41,0.42,0.1009,0.027,-0.027
0.425,0.42,0.43,0.1098,0.0286,-0.0286
0.435,0.43,0.44,0.1195,0.0302,-0.0302
0.445,0.44,0.45,0.1299,0.032,-0.032
0.455,0.45,0.46,0.1415,0.034,-0.034
0.46499999999999997,0.46,0.47,0.1542,0.0362,-0.0362
0.475,0.47,0.48,0.1683,0.0386,-0.0386
0.485,0.48,0.49,0.184,0.0414,-0.0414
0.495,0.49,0.5,0.2016,0.0444,-0.0444
0.505,0.5,0.51,0.2215,0.0478,-0.0478
0.515,0.51,0.52,0.2438,0.0516,-0.0516
0.525,0.52,0.53,0.2692,0.0559,-0.0559
0.535,0.53,0.54,0.298,0.0607,-0.0607
0.545,0.54,0.55,0.3307,0.066,-0.066
0.555,0.55,0.56,0.3681,0.072,-0.072
0.565,0.56,0.57,0.4108,0.0788,-0.0788
0.575,0.57,0.58,0.4599,0.0864,-0.0864
0.585,0.58,0.59,0.5162,0.0951,-0.0951
0.595,0.59,0.6,0.5812,0.1049,-0.1049
0.605,0.6,0.61,0.6562,0.1162,-0.1162
0.615,0.61,0.62,0.7431,0.1291,-0.1291
0.625,0.62,0.63,0.8439,0.1441,-0.1441
0.635,0.63,0.64,0.961,0.1614,-0.1614
0.645,0.64,0.65,1.0972,0.1815,-0.1815
0.655,0.65,0.66,1.2555,0.205,-0.205
0.665,0.66,0.67,1.4389,0.2324,-0.2324
0.675,0.67,0.68,1.6502,0.264,-0.264
0.685,0.68,0.69,1.8911,0.3004,-0.3004
0.695,0.69,0.7,2.1607,0.3416,-0.3416
0.705,0.7,0.71,2.4537,0.3869,-0.3869
0.715,0.71,0.72,2.7579,0.4347,-0.4347
0.725,0.72,0.73,3.0516,0.4818,-0.4818
0.735,0.73,0.74,3.3036,0.5237,-0.5237
0.745,0.74,0.75,3.4772,0.5547,-0.5547
0.755,0.75,0.76,3.5405,0.5697,-0.5697
0.765,0.76,0.77,3.4782,0.566,-0.566
0.775,0.77,0.78,3.2994,0.5444,-0.5444
0.785,0.78,0.79,3.0337,0.509,-0.509
0.795,0.79,0.8,2.7202,0.4655,-0.4655
0.805,0.8,0.81,2.3946,0.4194,-0.4194
0.815,0.81,0.82,2.0828,0.3746,-0.3746
0.825,0.82,0.83,1.7998,0.3336,-0.3336
0.835,0.83,0.84,1.5519,0.2975,-0.2975
0.845,0.84,0.85,1.3399,0.2666,-0.2666
0.855,0.85,0.86,1.1614,0.2405,-0.2405
0.865,0.86,0.87,1.0128,0.2188,-0.2188
0.875,0.87,0.88,0.8899,0.2009,-0.2009
0.885,0.88,0.89,0.789,0.1861,-0.1861
0.895,0.89,0.9,0.7066,0.1741,-0.1741
0.905,0.9,0.91,0.6398,0.1643,-0.1643
0.915,0.91,0.92,0.586,0.1565,-0.1565
0.925,0.92,0.93,0.5432,0.1503,-0.1503
0.935,0.93,0.94,0.5097,0.1455,-0.1455
0.945,0.94,0.95,0.4839,0.142,-0.142
0.955,0.95,0.96,0.4647,0.1395,-0.1395
0.965,0.96,0.97,0.451,0.1381,-0.1381
0.975,0.97,0.98,0.4421,0.1375,-0.1375
0.985,0.98,0.99,0.4371,0.1379,-0.1379
0.995,0.99,1.0,0.4355,0.139,-0.139
1.005,1.0,1.01,0.4367,0.1408,-0.1408
1.0150000000000001,1.01,1.02,0.4403,0.1433,-0.1433
1.025,1.02,1.03,0.4458,0.1464,-0.1464
1.0350000000000001,1.03,1.04,0.453,0.1502,-0.1502
1.045,1.04,1.05,0.4614,0.1544,-0.1544
1.0550000000000002,1.05,1.06,0.4709,0.1592,-0.1592
1.065,1.06,1.07,0.4811,0.1644,-0.1644
1.0750000000000002,1.07,1.08,0.4919,0.17,-0.17
1.085,1.08,1.09,0.5029,0.1759,-0.1759
1.0950000000000002,1.09,1.1,0.5142,0.1822,-0.1822
1.105,1.1,1.11,0.5254,0.1887,-0.1887
1.1150000000000002,1.11,1.12,0.5364,0.1955,-0.1955
1.125,1.12,1.13,0.5471,0.2024,-0.2024
1.1349999999999998,1.13,1.14,0.5574,0.2096,-0.2096
1.145,1.14,1.15,0.5671,0.2169,-0.2169
1.1549999999999998,1.15,1.16,0.5762,0.2244,-0.2244
1.165,1.16,1.17,0.5846,0.232,-0.232
1.1749999999999998,1.17,1.18,0.5922,0.2396,-0.2396
1.185,1.18,1.19,0.5991,0.2474,-0.2474
1.1949999999999998,1.19,1.2,0.6051,0.2553,-0.2553
1.205,1.2,1.21,0.6103,0.2633,-0.2633
1.2149999999999999,1.21,1.22,0.6147,0.2713,-0.2713
1.225,1.22,1.23,0.6183,0.2795,-0.2795
1.2349999999999999,1.23,1.24,0.6213,0.2878,-0.2878
1.245,1.24,1.25,0.6236,0.2963,-0.2963
1.255,1.25,1.26,0.6254,0.305,-0.305
1.2650000000000001,1.26,1.27,0.6269,0.314,-0.314
1.275,1.27,1.28,0.6283,0.3232,-0.3232
1.2850000000000001,1.28,1.29,0.6296,0.3328,-0.3328
1.295,1.29,1.3,0.6313,0.3428,-0.3428
1.3050000000000002,1.3,1.31,0.6335,0.3533,-0.3533
1.315,1.31,1.32,0.6366,0.3643,-0.3643
1.3250000000000002,1.32,1.33,0.641,0.3761,-0.3761
1.335,1.33,1.34,0.6471,0.3887,-0.3887
1.3450000000000002,1.34,1.35,0.6552,0.4022,-0.4022
1.355,1.35,1.36,0.666,0.4168,-0.4168
1.3650000000000002,1.36,1.37,0.68,0.4327,-0.4327
1.375,1.37,1.38,0.6978,0.4499,-0.4499
1.3849999999999998,1.38,1.39,0.7201,0.4687,-0.4687
1.395,1.39,1.4,0.7477,0.4892,-0.4892

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0936,0.0261,-0.0261
0.415,0.41,0.42,0.1018,0.028,-0.028
0.425,0.42,0.43,0.1105,0.03,-0.03
0.435,0.43,0.44,0.1199,0.0321,-0.0321
0.445,0.44,0.45,0.13,0.0344,-0.0344
0.455,0.45,0.46,0.141,0.0368,-0.0368
0.46499999999999997,0.46,0.47,0.153,0.0394,-0.0394
0.475,0.47,0.48,0.1662,0.0421,-0.0421
0.485,0.48,0.49,0.1808,0.0451,-0.0451
0.495,0.49,0.5,0.1971,0.0482,-0.0482
0.505,0.5,0.51,0.2154,0.0516,-0.0516
0.515,0.51,0.52,0.2358,0.0551,-0.0551
0.525,0.52,0.53,0.2589,0.059,-0.059
0.535,0.53,0.54,0.2851,0.0631,-0.0631
0.545,0.54,0.55,0.3149,0.0675,-0.0675
0.555,0.55,0.56,0.3489,0.0723,-0.0723
0.565,0.56,0.57,0.3878,0.0775,-0.0775
0.575,0.57,0.58,0.4325,0.0833,-0.0833
0.585,0.58,0.59,0.484,0.0896,-0.0896
0.595,0.59,0.6,0.5436,0.0968,-0.0968
0.605,0.6,0.61,0.6129,0.1048,-0.1048
0.615,0.61,0.62,0.6934,0.1141,-0.1141
0.625,0.62,0.63,0.7875,0.1248,-0.1248
0.635,0.63,0.64,0.8976,0.1373,-0.1373
0.645,0.64,0.65,1.0267,0.152,-0.152
0.655,0.65,0.66,1.1779,0.1695,-0.1695
0.665,0.66,0.67,1.3549,0.1901,-0.1901
0.675,0.67,0.68,1.5609,0.2145,-0.2145
0.685,0.68,0.69,1.7985,0.2429,-0.2429
0.695,0.69,0.7,2.068,0.2757,-0.2757
0.705,0.7,0.71,2.3655,0.3123,-0.3123
0.715,0.71,0.72,2.6806,0.3516,-0.3516
0.725,0.72,0.73,2.993,0.3913,-0.3913
0.735,0.73,0.74,3.2723,0.4277,-0.4277
0.745,0.74,0.75,3.4812,0.4562,-0.4562
0.755,0.75,0.76,3.5851,0.4725,-0.4725
0.765,0.76,0.77,3.5646,0.4743,-0.4743
0.775,0.77,0.78,3.424,0.4618,-0.4618
0.785,0.78,0.79,3.1894,0.4383,-0.4383
0.795,0.79,0.8,2.8978,0.4079,-0.4079
0.805,0.8,0.81,2.5848,0.3751,-0.3751
0.815,0.81,0.82,2.2775,0.343,-0.343
0.825,0.82,0.83,1.9926,0.3134,-0.3134
0.835,0.83,0.84,1.7381,0.2871,-0.2871
0.845,0.84,0.85,1.5159,0.2644,-0.2644
0.855,0.85,0.86,1.3249,0.2449,-0.2449
0.865,0.86,0.87,1.1621,0.2281,-0.2281
0.875,0.87,0.88,1.0242,0.2136,-0.2136
0.885,0.88,0.89,0.9077,0.201,-0.201
0.895,0.89,0.9,0.8094,0.1898,-0.1898
0.905,0.9,0.91,0.7265,0.1798,-0.1798
0.915,0.91,0.92,0.6567,0.1706,-0.1706
0.925,0.92,0.93,0.5981,0.1622,-0.1622
0.935,0.93,0.94,0.5488,0.1544,-0.1544
0.945,0.94,0.95,0.5076,0.147,-0.147
0.955,0.95,0.96,0.4732,0.1401,-0.1401
0.965,0.96,0.97,0.4448,0.1336,-0.1336
0.975,0.97,0.98,0.4213,0.1275,-0.1275
0.985,0.98,0.99,0.4023,0.1219,-0.1219
0.995,0.99,1.0,0.3871,0.1169,-0.1169
1.005,1.0,1.01,0.3751,0.1124,-0.1124
1.0150000000000001,1.01,1.02,0.3661,0.1085,-0.1085
1.025,1.02,1.03,0.3595,0.1054,-0.1054
1.0350000000000001,1.03,1.04,0.3552,0.1031,-0.1031
1.045,1.04,1.05,0.3527,0.1016,-0.1016
1.0550000000000002,1.05,1.06,0.352,0.1011,-0.1011
1.065,1.06,1.07,0.3527,0.1016,-0.1016
1.0750000000000002,1.07,1.08,0.3546,0.103,-0.103
1.085,1.08,1.09,0.3577,0.1053,-0.1053
1.0950000000000002,1.09,1.1,0.3618,0.1084,-0.1084
1.105,1.1,1.11,0.3667,0.1123,-0.1123
1.1150000000000002,1.11,1.12,0.3723,0.1169,-0.1169
1.125,1.12,1.13,0.3785,0.122,-0.122
1.1349999999999998,1.13,1.14,0.3853,0.1275,-0.1275
1.145,1.14,1.15,0.3926,0.1335,-0.1335
1.1549999999999998,1.15,1.16,0.4002,0.1398,-0.1398
1.165,1.16,1.17,0.4082,0.1463,-0.1463
1.1749999999999998,1.17,1.18,0.4165,0.1531,-0.1531
1.185,1.18,1.19,0.425,0.16,-0.16
1.1949999999999998,1.19,1.2,0.4338,0.167,-0.167
1.205,1.2,1.21,0.4429,0.1741,-0.1741
1.2149999999999999,1.21,1.22,0.4522,0.1813,-0.1813
1.225,1.22,1.23,0.4619,0.1885,-0.1885
1.2349999999999999,1.23,1.24,0.4718,0.1959,-0.1959
1.245,1.24,1.25,0.4821,0.2034,-0.2034
1.255,1.25,1.26,0.4928,0.2109,-0.2109
1.2650000000000001,1.26,1.27,0.5041,0.2187,-0.2187
1.275,1.27,1.28,0.516,0.2267,-0.2267
1.2850000000000001,1.28,1.29,0.5286,0.2349,-0.2349
1.295,1.29,1.3,0.542,0.2434,-0.2434
1.3050000000000002,1.3,1.31,0.5565,0.2524,-0.2524
1.315,1.31,1.32,0.5722,0.2618,-0.2618
1.3250000000000002,1.32,1.33,0.5893,0.2719,-0.2719
1.335,1.33,1.34,0.6081,0.2826,-0.2826
1.3450000000000002,1.34,1.35,0.6287,0.2943,-0.2943
1.355,1.35,1.36,0.6516,0.3069,-0.3069
1.3650000000000002,1.36,1.37,0.6769,0.3206,-0.3206
1.375,1.37,1.38,0.705,0.3357,-0.3357
1.3849999999999998,1.38,1.39,0.7364,0.3524,-0.3524
1.395,1.39,1.4,0.7713,0.3708,-0.3708

