#: table_doi: 10.17182/hepdata.74824.v1/t115
#: name: Table 115
#: description: Pp wave cross section for -T.

#: data_file: Table115.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
1.005,1.0,1.01,1.4947,0.3256,-0.3256
1.0150000000000001,1.01,1.02,1.3648,0.3052,-0.3052
1.025,1.02,1.03,1.2487,0.2873,-0.2873
1.0350000000000001,1.03,1.04,1.1446,0.2716,-0.2716
1.045,1.04,1.05,1.0512,0.2581,-0.2581
1.0550000000000002,1.05,1.06,0.9672,0.2465,-0.2465
1.065,1.06,1.07,0.8914,0.2366,-0.2366
1.0750000000000002,1.07,1.08,0.8229,0.2282,-0.2282
1.085,1.08,1.09,0.7609,0.2211,-0.2211
1.0950000000000002,1.09,1.1,0.7046,0.2151,-0.2151
1.105,1.1,1.11,0.6533,0.2101,-0.2101
1.1150000000000002,1.11,1.12,0.6064,0.2058,-0.2058
1.125,1.12,1.13,0.5634,0.2021,-0.2021
1.1349999999999998,1.13,1.14,0.5238,0.199,-0.199
1.145,1.14,1.15,0.4873,0.1962,-0.1962
1.1549999999999998,1.15,1.16,0.4535,0.1937,-0.1937
1.165,1.16,1.17,0.422,0.1914,-0.1914
1.1749999999999998,1.17,1.18,0.3926,0.1893,-0.1893
1.185,1.18,1.19,0.3651,0.1875,-0.1875
1.1949999999999998,1.19,1.2,0.3393,0.1858,-0.1858
1.205,1.2,1.21,0.3151,0.1844,-0.1844
1.2149999999999999,1.21,1.22,0.2924,0.1832,-0.1832
1.225,1.22,1.23,0.2712,0.1822,-0.1822
1.2349999999999999,1.23,1.24,0.2513,0.1815,-0.1815
1.245,1.24,1.25,0.233,0.181,-0.181
1.255,1.25,1.26,0.2163,0.1808,-0.1808
1.2650000000000001,1.26,1.27,0.2013,0.1808,-0.1808
1.275,1.27,1.28,0.1882,0.1809,-0.1809
1.2850000000000001,1.28,1.29,0.1773,0.1811,-0.1811
1.295,1.29,1.3,0.1689,0.1813,-0.1813
1.3050000000000002,1.3,1.31,0.1632,0.1816,-0.1816
1.315,1.31,1.32,0.1609,0.1818,-0.1818
1.3250000000000002,1.32,1.33,0.1623,0.1823,-0.1823
1.335,1.33,1.34,0.168,0.1836,-0.1836
1.3450000000000002,1.34,1.35,0.1786,0.1866,-0.1866
1.355,1.35,1.36,0.1949,0.1922,-0.1922
1.3650000000000002,1.36,1.37,0.2176,0.2012,-0.2012
1.375,1.37,1.38,0.2476,0.2149,-0.2149
1.3849999999999998,1.38,1.39,0.2859,0.2346,-0.2346
1.395,1.39,1.4,0.3336,0.2617,-0.2617

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0996,0.0822,-0.0822
0.415,0.41,0.42,0.1071,0.0852,-0.0852
0.425,0.42,0.43,0.1156,0.0885,-0.0885
0.435,0.43,0.44,0.1256,0.0925,-0.0925
0.445,0.44,0.45,0.1377,0.0975,-0.0975
0.455,0.45,0.46,0.1525,0.1039,-0.1039
0.46499999999999997,0.46,0.47,0.1708,0.1119,-0.1119
0.475,0.47,0.48,0.1936,0.1218,-0.1218
0.485,0.48,0.49,0.2219,0.1338,-0.1338
0.495,0.49,0.5,0.2571,0.1478,-0.1478
0.505,0.5,0.51,0.3006,0.1641,-0.1641
0.515,0.51,0.52,0.3543,0.1824,-0.1824
0.525,0.52,0.53,0.4203,0.203,-0.203
0.535,0.53,0.54,0.5011,0.2259,-0.2259
0.545,0.54,0.55,0.5998,0.2511,-0.2511
0.555,0.55,0.56,0.7201,0.2788,-0.2788
0.565,0.56,0.57,0.8663,0.3092,-0.3092
0.575,0.57,0.58,1.0438,0.3426,-0.3426
0.585,0.58,0.59,1.2591,0.3796,-0.3796
0.595,0.59,0.6,1.5202,0.4206,-0.4206
0.605,0.6,0.61,1.8368,0.4665,-0.4665
0.615,0.61,0.62,2.2208,0.5184,-0.5184
0.625,0.62,0.63,2.6869,0.5778,-0.5778
0.635,0.63,0.64,3.2526,0.6464,-0.6464
0.645,0.64,0.65,3.9393,0.7267,-0.7267
0.655,0.65,0.66,4.7722,0.8213,-0.8213
0.665,0.66,0.67,5.7798,0.9339,-0.9339
0.675,0.67,0.68,6.9928,1.0679,-1.0679
0.685,0.68,0.69,8.4401,1.2273,-1.2273
0.695,0.69,0.7,10.1416,1.4147,-1.4147
0.705,0.7,0.71,12.0955,1.6305,-1.6305
0.715,0.71,0.72,14.2596,1.8704,-1.8704
0.725,0.72,0.73,16.5294,2.1232,-2.1232
0.735,0.73,0.74,18.7242,2.3684,-2.3684
0.745,0.74,0.75,20.5981,2.5781,-2.5781
0.755,0.75,0.76,21.8933,2.7227,-2.7227
0.765,0.76,0.77,22.4235,2.7804,-2.7804
0.775,0.77,0.78,22.1452,2.7459,-2.7459
0.785,0.78,0.79,21.1664,2.6312,-2.6312
0.795,0.79,0.8,19.6928,2.46,-2.46
0.805,0.8,0.81,17.9493,2.2583,-2.2583
0.815,0.81,0.82,16.1242,2.0479,-2.0479
0.825,0.82,0.83,14.3472,1.8439,-1.8439
0.835,0.83,0.84,12.693,1.6552,-1.6552
0.845,0.84,0.85,11.196,1.4859,-1.4859
0.855,0.85,0.86,9.8643,1.3369,-1.3369
0.865,0.86,0.87,8.6915,1.2076,-1.2076
0.875,0.87,0.88,7.6641,1.0962,-1.0962
0.885,0.88,0.89,6.7662,1.0008,-1.0008
0.895,0.89,0.9,5.9817,0.9193,-0.9193
0.905,0.9,0.91,5.2956,0.8498,-0.8498
0.915,0.91,0.92,4.6945,0.7905,-0.7905
0.925,0.92,0.93,4.1668,0.7397,-0.7397
0.935,0.93,0.94,3.7025,0.696,-0.696
0.945,0.94,0.95,3.2932,0.6583,-0.6583
0.955,0.95,0.96,2.9317,0.6254,-0.6254
0.965,0.96,0.97,2.6117,0.5964,-0.5964
0.975,0.97,0.98,2.328,0.5705,-0.5705
0.985,0.98,0.99,2.0763,0.5472,-0.5472
0.995,0.99,1.0,1.8528,0.5258,-0.5258
1.005,1.0,1.01,1.6542,0.506,-0.506
1.0150000000000001,1.01,1.02,1.4776,0.4874,-0.4874
1.025,1.02,1.03,1.3207,0.4697,-0.4697
1.0350000000000001,1.03,1.04,1.1813,0.4528,-0.4528
1.045,1.04,1.05,1.0577,0.4364,-0.4364
1.0550000000000002,1.05,1.06,0.948,0.4204,-0.4204
1.065,1.06,1.07,0.851,0.4048,-0.4048
1.0750000000000002,1.07,1.08,0.7654,0.3895,-0.3895
1.085,1.08,1.09,0.6899,0.3745,-0.3745
1.0950000000000002,1.09,1.1,0.6235,0.3597,-0.3597
1.105,1.1,1.11,0.5653,0.3452,-0.3452
1.1150000000000002,1.11,1.12,0.5144,0.3311,-0.3311
1.125,1.12,1.13,0.4701,0.3173,-0.3173
1.1349999999999998,1.13,1.14,0.4316,0.304,-0.304
1.145,1.14,1.15,0.3984,0.2911,-0.2911
1.1549999999999998,1.15,1.16,0.3697,0.2788,-0.2788
1.165,1.16,1.17,0.3451,0.2673,-0.2673
1.1749999999999998,1.17,1.18,0.324,0.2565,-0.2565
1.185,1.18,1.19,0.3061,0.2466,-0.2466
1.1949999999999998,1.19,1.2,0.2908,0.2376,-0.2376
1.205,1.2,1.21,0.2778,0.2297,-0.2297
1.2149999999999999,1.21,1.22,0.2668,0.2228,-0.2228
1.225,1.22,1.23,0.2576,0.2171,-0.2171
1.2349999999999999,1.23,1.24,0.2497,0.2124,-0.2124
1.245,1.24,1.25,0.2432,0.2089,-0.2089
1.255,1.25,1.26,0.2377,0.2065,-0.2065
1.2650000000000001,1.26,1.27,0.2333,0.2051,-0.2051
1.275,1.27,1.28,0.2298,0.2047,-0.2047
1.2850000000000001,1.28,1.29,0.2273,0.2053,-0.2053
1.295,1.29,1.3,0.2258,0.2067,-0.2067
