#: table_doi: 10.17182/hepdata.74824.v1/t146
#: name: Table 146
#: description: F wave cross section for -T.

#: data_file: Table146.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.685,0.68,0.69,0.6686,0.1531,-0.1531
0.695,0.69,0.7,0.6766,0.1552,-0.1552
0.705,0.7,0.71,0.6837,0.157,-0.157
0.715,0.71,0.72,0.6898,0.1587,-0.1587
0.725,0.72,0.73,0.6949,0.1602,-0.1602
0.735,0.73,0.74,0.6991,0.1614,-0.1614
0.745,0.74,0.75,0.7024,0.1625,-0.1625
0.755,0.75,0.76,0.7048,0.1634,-0.1634
0.765,0.76,0.77,0.7062,0.1641,-0.1641
0.775,0.77,0.78,0.7068,0.1645,-0.1645
0.785,0.78,0.79,0.7065,0.1648,-0.1648
0.795,0.79,0.8,0.7053,0.1649,-0.1649
0.805,0.8,0.81,0.7032,0.1649,-0.1649
0.815,0.81,0.82,0.7004,0.1646,-0.1646
0.825,0.82,0.83,0.6967,0.1642,-0.1642
0.835,0.83,0.84,0.6922,0.1636,-0.1636
0.845,0.84,0.85,0.687,0.1628,-0.1628
0.855,0.85,0.86,0.681,0.1618,-0.1618
0.865,0.86,0.87,0.6744,0.1607,-0.1607
0.875,0.87,0.88,0.667,0.1595,-0.1595
0.885,0.88,0.89,0.659,0.1581,-0.1581
0.895,0.89,0.9,0.6504,0.1566,-0.1566
0.905,0.9,0.91,0.6411,0.1549,-0.1549
0.915,0.91,0.92,0.6313,0.1531,-0.1531
0.925,0.92,0.93,0.621,0.1512,-0.1512
0.935,0.93,0.94,0.6102,0.1492,-0.1492
0.945,0.94,0.95,0.5989,0.1471,-0.1471
0.955,0.95,0.96,0.5872,0.1449,-0.1449
0.965,0.96,0.97,0.5751,0.1427,-0.1427
0.975,0.97,0.98,0.5627,0.1403,-0.1403
0.985,0.98,0.99,0.55,0.1379,-0.1379
0.995,0.99,1.0,0.5371,0.1354,-0.1354
1.005,1.0,1.01,0.5239,0.133,-0.133
1.0150000000000001,1.01,1.02,0.5106,0.1304,-0.1304
1.025,1.02,1.03,0.4971,0.1279,-0.1279
1.0350000000000001,1.03,1.04,0.4836,0.1254,-0.1254
1.045,1.04,1.05,0.4701,0.1229,-0.1229
1.0550000000000002,1.05,1.06,0.4566,0.1204,-0.1204
1.065,1.06,1.07,0.4432,0.118,-0.118
1.0750000000000002,1.07,1.08,0.43,0.1156,-0.1156
1.085,1.08,1.09,0.4169,0.1134,-0.1134
1.0950000000000002,1.09,1.1,0.4042,0.1112,-0.1112
1.105,1.1,1.11,0.3917,0.1092,-0.1092
1.1150000000000002,1.11,1.12,0.3796,0.1073,-0.1073
1.125,1.12,1.13,0.368,0.1056,-0.1056
1.1349999999999998,1.13,1.14,0.3568,0.1041,-0.1041
1.145,1.14,1.15,0.3462,0.1028,-0.1028
1.1549999999999998,1.15,1.16,0.3363,0.1017,-0.1017
1.165,1.16,1.17,0.3271,0.1009,-0.1009
1.1749999999999998,1.17,1.18,0.3186,0.1004,-0.1004
1.185,1.18,1.19,0.311,0.1002,-0.1002
1.1949999999999998,1.19,1.2,0.3043,0.1003,-0.1003
1.205,1.2,1.21,0.2986,0.1007,-0.1007
1.2149999999999999,1.21,1.22,0.294,0.1014,-0.1014
1.225,1.22,1.23,0.2905,0.1026,-0.1026
1.2349999999999999,1.23,1.24,0.2882,0.104,-0.104
1.245,1.24,1.25,0.2873,0.1059,-0.1059
1.255,1.25,1.26,0.2877,0.1081,-0.1081
1.2650000000000001,1.26,1.27,0.2896,0.1107,-0.1107
1.275,1.27,1.28,0.2931,0.1137,-0.1137
1.2850000000000001,1.28,1.29,0.2982,0.1171,-0.1171
1.295,1.29,1.3,0.3051,0.1209,-0.1209
1.3050000000000002,1.3,1.31,0.3138,0.125,-0.125
1.315,1.31,1.32,0.3244,0.1296,-0.1296
1.3250000000000002,1.32,1.33,0.337,0.1346,-0.1346
1.335,1.33,1.34,0.3518,0.14,-0.14
1.3450000000000002,1.34,1.35,0.3687,0.1458,-0.1458
1.355,1.35,1.36,0.388,0.1521,-0.1521
1.3650000000000002,1.36,1.37,0.4097,0.1587,-0.1587
1.375,1.37,1.38,0.4339,0.1659,-0.1659
1.3849999999999998,1.38,1.39,0.4608,0.1735,-0.1735
1.395,1.39,1.4,0.4904,0.1816,-0.1816

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0958,0.0486,-0.0486
0.415,0.41,0.42,0.1105,0.0561,-0.0561
0.425,0.42,0.43,0.1257,0.0637,-0.0637
0.435,0.43,0.44,0.1412,0.0716,-0.0716
0.445,0.44,0.45,0.1571,0.0796,-0.0796
0.455,0.45,0.46,0.1732,0.0876,-0.0876
0.46499999999999997,0.46,0.47,0.1893,0.0957,-0.0957
0.475,0.47,0.48,0.2056,0.1038,-0.1038
0.485,0.48,0.49,0.2217,0.1119,-0.1119
0.495,0.49,0.5,0.2378,0.1199,-0.1199
0.505,0.5,0.51,0.2537,0.1278,-0.1278
0.515,0.51,0.52,0.2693,0.1356,-0.1356
0.525,0.52,0.53,0.2847,0.1431,-0.1431
0.535,0.53,0.54,0.2998,0.1506,-0.1506
0.545,0.54,0.55,0.3146,0.1578,-0.1578
0.555,0.55,0.56,0.3289,0.1648,-0.1648
0.565,0.56,0.57,0.3429,0.1715,-0.1715
0.575,0.57,0.58,0.3564,0.178,-0.178
0.585,0.58,0.59,0.3694,0.1843,-0.1843
0.595,0.59,0.6,0.382,0.1903,-0.1903
0.605,0.6,0.61,0.3941,0.196,-0.196
0.615,0.61,0.62,0.4056,0.2014,-0.2014
0.625,0.62,0.63,0.4167,0.2064,-0.2064
0.635,0.63,0.64,0.4272,0.2112,-0.2112
0.645,0.64,0.65,0.4372,0.2157,-0.2157
0.655,0.65,0.66,0.4466,0.2199,-0.2199
0.665,0.66,0.67,0.4554,0.2237,-0.2237
0.675,0.67,0.68,0.4638,0.2273,-0.2273
0.685,0.68,0.69,0.4715,0.2305,-0.2305
0.695,0.69,0.7,0.4787,0.2334,-0.2334
0.705,0.7,0.71,0.4854,0.2359,-0.2359
0.715,0.71,0.72,0.4915,0.2382,-0.2382
0.725,0.72,0.73,0.4971,0.2401,-0.2401
0.735,0.73,0.74,0.5021,0.2417,-0.2417
0.745,0.74,0.75,0.5066,0.243,-0.243
0.755,0.75,0.76,0.5106,0.244,-0.244
0.765,0.76,0.77,0.5141,0.2447,-0.2447
0.775,0.77,0.78,0.517,0.2451,-0.2451
0.785,0.78,0.79,0.5195,0.2452,-0.2452
0.795,0.79,0.8,0.5215,0.245,-0.245
0.805,0.8,0.81,0.5231,0.2445,-0.2445
0.815,0.81,0.82,0.5242,0.2438,-0.2438
0.825,0.82,0.83,0.5249,0.2428,-0.2428
0.835,0.83,0.84,0.5251,0.2416,-0.2416
0.845,0.84,0.85,0.525,0.2401,-0.2401
0.855,0.85,0.86,0.5245,0.2384,-0.2384
0.865,0.86,0.87,0.5236,0.2364,-0.2364
0.875,0.87,0.88,0.5224,0.2343,-0.2343
0.885,0.88,0.89,0.5209,0.232,-0.232
0.895,0.89,0.9,0.5191,0.2295,-0.2295
0.905,0.9,0.91,0.517,0.2269,-0.2269
0.915,0.91,0.92,0.5147,0.2241,-0.2241
0.925,0.92,0.93,0.5121,0.2212,-0.2212
0.935,0.93,0.94,0.5094,0.2182,-0.2182
0.945,0.94,0.95,0.5065,0.2152,-0.2152
0.955,0.95,0.96,0.5034,0.2121,-0.2121
0.965,0.96,0.97,0.5003,0.209,-0.209
0.975,0.97,0.98,0.497,0.2059,-0.2059
0.985,0.98,0.99,0.4937,0.2028,-0.2028
0.995,0.99,1.0,0.4904,0.1998,-0.1998
1.005,1.0,1.01,0.4871,0.1969,-0.1969
1.0150000000000001,1.01,1.02,0.4839,0.1941,-0.1941
1.025,1.02,1.03,0.4807,0.1915,-0.1915
1.0350000000000001,1.03,1.04,0.4776,0.1891,-0.1891
1.045,1.04,1.05,0.4747,0.1869,-0.1869
1.0550000000000002,1.05,1.06,0.472,0.1851,-0.1851
1.065,1.06,1.07,0.4695,0.1835,-0.1835
1.0750000000000002,1.07,1.08,0.4673,0.1823,-0.1823
1.085,1.08,1.09,0.4654,0.1815,-0.1815
1.0950000000000002,1.09,1.1,0.4639,0.181,-0.181
1.105,1.1,1.11,0.4627,0.181,-0.181
1.1150000000000002,1.11,1.12,0.462,0.1815,-0.1815
1.125,1.12,1.13,0.4617,0.1825,-0.1825
1.1349999999999998,1.13,1.14,0.462,0.1839,-0.1839
1.145,1.14,1.15,0.4629,0.1858,-0.1858
1.1549999999999998,1.15,1.16,0.4644,0.1882,-0.1882
1.165,1.16,1.17,0.4665,0.1911,-0.1911
1.1749999999999998,1.17,1.18,0.4694,0.1945,-0.1945
1.185,1.18,1.19,0.473,0.1984,-0.1984
1.1949999999999998,1.19,1.2,0.4775,0.2027,-0.2027
1.205,1.2,1.21,0.4828,0.2075,-0.2075
1.2149999999999999,1.21,1.22,0.4891,0.2126,-0.2126
1.225,1.22,1.23,0.4964,0.2182,-0.2182
1.2349999999999999,1.23,1.24,0.5047,0.2241,-0.2241
1.245,1.24,1.25,0.5141,0.2304,-0.2304
1.255,1.25,1.26,0.5246,0.2371,-0.2371
1.2650000000000001,1.26,1.27,0.5364,0.2441,-0.2441
1.275,1.27,1.28,0.5495,0.2514,-0.2514
1.2850000000000001,1.28,1.29,0.5639,0.2589,-0.2589
1.295,1.29,1.3,0.5797,0.2668,-0.2668
1.3050000000000002,1.3,1.31,0.597,0.275,-0.275
1.315,1.31,1.32,0.6158,0.2834,-0.2834
1.3250000000000002,1.32,1.33,0.6363,0.2921,-0.2921
1.335,1.33,1.34,0.6584,0.3011,-0.3011
1.3450000000000002,1.34,1.35,0.6822,0.3104,-0.3104
1.355,1.35,1.36,0.7079,0.32,-0.32
1.3650000000000002,1.36,1.37,0.7354,0.3299,-0.3299
1.375,1.37,1.38,0.765,0.3401,-0.3401
1.3849999999999998,1.38,1.39,0.7965,0.3506,-0.3506
1.395,1.39,1.4,0.8302,0.3615,-0.3615

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0951,0.0372,-0.0372
0.415,0.41,0.42,0.1096,0.0428,-0.0428
0.425,0.42,0.43,0.1247,0.0486,-0.0486
0.435,0.43,0.44,0.1401,0.0545,-0.0545
0.445,0.44,0.45,0.1558,0.0605,-0.0605
0.455,0.45,0.46,0.1716,0.0666,-0.0666
0.46499999999999997,0.46,0.47,0.1876,0.0727,-0.0727
0.475,0.47,0.48,0.2036,0.0788,-0.0788
0.485,0.48,0.49,0.2195,0.0849,-0.0849
0.495,0.49,0.5,0.2353,0.0909,-0.0909
0.505,0.5,0.51,0.251,0.0969,-0.0969
0.515,0.51,0.52,0.2664,0.1029,-0.1029
0.525,0.52,0.53,0.2815,0.1087,-0.1087
0.535,0.53,0.54,0.2963,0.1144,-0.1144
0.545,0.54,0.55,0.3108,0.1201,-0.1201
0.555,0.55,0.56,0.3248,0.1256,-0.1256
0.565,0.56,0.57,0.3385,0.131,-0.131
0.575,0.57,0.58,0.3517,0.1364,-0.1364
0.585,0.58,0.59,0.3644,0.1416,-0.1416
0.595,0.59,0.6,0.3767,0.1467,-0.1467
0.605,0.6,0.61,0.3884,0.1517,-0.1517
0.615,0.61,0.62,0.3997,0.1567,-0.1567
0.625,0.62,0.63,0.4104,0.1615,-0.1615
0.635,0.63,0.64,0.4206,0.1663,-0.1663
0.645,0.64,0.65,0.4302,0.171,-0.171
0.655,0.65,0.66,0.4393,0.1757,-0.1757
0.665,0.66,0.67,0.4479,0.1803,-0.1803
0.675,0.67,0.68,0.4559,0.1849,-0.1849
0.685,0.68,0.69,0.4633,0.1894,-0.1894
0.695,0.69,0.7,0.4702,0.1939,-0.1939
0.705,0.7,0.71,0.4766,0.1984,-0.1984
0.715,0.71,0.72,0.4824,0.203,-0.203
0.725,0.72,0.73,0.4877,0.2075,-0.2075
0.735,0.73,0.74,0.4924,0.2121,-0.2121
0.745,0.74,0.75,0.4967,0.2167,-0.2167
0.755,0.75,0.76,0.5004,0.2213,-0.2213
0.765,0.76,0.77,0.5037,0.226,-0.226
0.775,0.77,0.78,0.5064,0.2308,-0.2308
0.785,0.78,0.79,0.5088,0.2356,-0.2356
0.795,0.79,0.8,0.5106,0.2404,-0.2404
0.805,0.8,0.81,0.512,0.2454,-0.2454
0.815,0.81,0.82,0.513,0.2504,-0.2504
0.825,0.82,0.83,0.5136,0.2555,-0.2555
0.835,0.83,0.84,0.5138,0.2606,-0.2606
0.845,0.84,0.85,0.5136,0.2658,-0.2658
0.855,0.85,0.86,0.5131,0.2711,-0.2711
0.865,0.86,0.87,0.5123,0.2764,-0.2764
0.875,0.87,0.88,0.5112,0.2817,-0.2817
0.885,0.88,0.89,0.5098,0.2871,-0.2871
0.895,0.89,0.9,0.5082,0.2925,-0.2925
0.905,0.9,0.91,0.5063,0.2979,-0.2979
0.915,0.91,0.92,0.5042,0.3033,-0.3033
0.925,0.92,0.93,0.502,0.3086,-0.3086
0.935,0.93,0.94,0.4996,0.314,-0.314
0.945,0.94,0.95,0.4971,0.3193,-0.3193
0.955,0.95,0.96,0.4946,0.3245,-0.3245
0.965,0.96,0.97,0.492,0.3296,-0.3296
0.975,0.97,0.98,0.4893,0.3345,-0.3345
0.985,0.98,0.99,0.4867,0.3394,-0.3394
0.995,0.99,1.0,0.4841,0.3441,-0.3441
1.005,1.0,1.01,0.4817,0.3486,-0.3486
1.0150000000000001,1.01,1.02,0.4793,0.3529,-0.3529
1.025,1.02,1.03,0.4771,0.3569,-0.3569
1.0350000000000001,1.03,1.04,0.4752,0.3607,-0.3607
1.045,1.04,1.05,0.4734,0.3642,-0.3642
1.0550000000000002,1.05,1.06,0.472,0.3674,-0.3674
1.065,1.06,1.07,0.4708,0.3702,-0.3702
1.0750000000000002,1.07,1.08,0.4701,0.3727,-0.3727
1.085,1.08,1.09,0.4697,0.3748,-0.3748
1.0950000000000002,1.09,1.1,0.4698,0.3764,-0.3764
1.105,1.1,1.11,0.4704,0.3776,-0.3776
1.1150000000000002,1.11,1.12,0.4716,0.3784,-0.3784
1.125,1.12,1.13,0.4734,0.3786,-0.3786
1.1349999999999998,1.13,1.14,0.4758,0.3783,-0.3783
1.145,1.14,1.15,0.4789,0.3775,-0.3775
1.1549999999999998,1.15,1.16,0.4828,0.3762,-0.3762
1.165,1.16,1.17,0.4874,0.3742,-0.3742
1.1749999999999998,1.17,1.18,0.493,0.3717,-0.3717
1.185,1.18,1.19,0.4994,0.3686,-0.3686
1.1949999999999998,1.19,1.2,0.5069,0.3649,-0.3649
1.205,1.2,1.21,0.5153,0.3606,-0.3606
1.2149999999999999,1.21,1.22,0.5249,0.3557,-0.3557
1.225,1.22,1.23,0.5356,0.3502,-0.3502
1.2349999999999999,1.23,1.24,0.5475,0.3443,-0.3443
1.245,1.24,1.25,0.5607,0.3378,-0.3378
1.255,1.25,1.26,0.5753,0.331,-0.331
1.2650000000000001,1.26,1.27,0.5912,0.3239,-0.3239
1.275,1.27,1.28,0.6087,0.3166,-0.3166
1.2850000000000001,1.28,1.29,0.6276,0.3094,-0.3094
1.295,1.29,1.3,0.6482,0.3024,-0.3024
1.3050000000000002,1.3,1.31,0.6705,0.296,-0.296
1.315,1.31,1.32,0.6945,0.2904,-0.2904
1.3250000000000002,1.32,1.33,0.7204,0.2862,-0.2862
1.335,1.33,1.34,0.7481,0.2838,-0.2838
1.3450000000000002,1.34,1.35,0.7778,0.2837,-0.2837
1.355,1.35,1.36,0.8096,0.2863,-0.2863
1.3650000000000002,1.36,1.37,0.8435,0.2923,-0.2923
1.375,1.37,1.38,0.8797,0.302,-0.302
1.3849999999999998,1.38,1.39,0.9181,0.3157,-0.3157
1.395,1.39,1.4,0.9589,0.3336,-0.3336

