#: table_doi: 10.17182/hepdata.74824.v1/t133
#: name: Table 133
#: description: D0 wave cross section for -T.

#: data_file: Table133.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
1.085,1.08,1.09,0.2952,0.203,-0.203
1.0950000000000002,1.09,1.1,0.3019,0.2195,-0.2195
1.105,1.1,1.11,0.3099,0.2371,-0.2371
1.1150000000000002,1.11,1.12,0.3194,0.2558,-0.2558
1.125,1.12,1.13,0.3306,0.2756,-0.2756
1.1349999999999998,1.13,1.14,0.3437,0.2964,-0.2964
1.145,1.14,1.15,0.3591,0.3184,-0.3184
1.1549999999999998,1.15,1.16,0.377,0.3413,-0.3413
1.165,1.16,1.17,0.3978,0.3652,-0.3652
1.1749999999999998,1.17,1.18,0.4218,0.3901,-0.3901
1.185,1.18,1.19,0.4493,0.4157,-0.4157
1.1949999999999998,1.19,1.2,0.4806,0.4417,-0.4417
1.205,1.2,1.21,0.5154,0.4679,-0.4679
1.2149999999999999,1.21,1.22,0.5534,0.4934,-0.4934
1.225,1.22,1.23,0.5938,0.5176,-0.5176
1.2349999999999999,1.23,1.24,0.6348,0.5396,-0.5396
1.245,1.24,1.25,0.6742,0.5584,-0.5584
1.255,1.25,1.26,0.7093,0.5733,-0.5733
1.2650000000000001,1.26,1.27,0.7374,0.5838,-0.5838
1.275,1.27,1.28,0.756,0.5899,-0.5899
1.2850000000000001,1.28,1.29,0.7642,0.5922,-0.5922
1.295,1.29,1.3,0.7623,0.5916,-0.5916
1.3050000000000002,1.3,1.31,0.752,0.5892,-0.5892
1.315,1.31,1.32,0.7356,0.5861,-0.5861
1.3250000000000002,1.32,1.33,0.7158,0.583,-0.583
1.335,1.33,1.34,0.6949,0.5804,-0.5804
1.3450000000000002,1.34,1.35,0.6748,0.5787,-0.5787
1.355,1.35,1.36,0.6569,0.5781,-0.5781
1.3650000000000002,1.36,1.37,0.6418,0.5785,-0.5785
1.375,1.37,1.38,0.6303,0.5799,-0.5799
1.3849999999999998,1.38,1.39,0.6224,0.5823,-0.5823
1.395,1.39,1.4,0.6184,0.5858,-0.5858

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1035,0.0516,-0.0516
0.415,0.41,0.42,0.1003,0.049,-0.049
0.425,0.42,0.43,0.0981,0.0473,-0.0473
0.435,0.43,0.44,0.097,0.0464,-0.0464
0.445,0.44,0.45,0.0968,0.0462,-0.0462
0.455,0.45,0.46,0.0976,0.0468,-0.0468
0.46499999999999997,0.46,0.47,0.0993,0.0481,-0.0481
0.475,0.47,0.48,0.1017,0.0501,-0.0501
0.485,0.48,0.49,0.1049,0.0527,-0.0527
0.495,0.49,0.5,0.1089,0.0559,-0.0559
0.505,0.5,0.51,0.1134,0.0596,-0.0596
0.515,0.51,0.52,0.1186,0.0637,-0.0637
0.525,0.52,0.53,0.1243,0.0681,-0.0681
0.535,0.53,0.54,0.1306,0.0728,-0.0728
0.545,0.54,0.55,0.1372,0.0777,-0.0777
0.555,0.55,0.56,0.1443,0.0826,-0.0826
0.565,0.56,0.57,0.1518,0.0876,-0.0876
0.575,0.57,0.58,0.1595,0.0924,-0.0924
0.585,0.58,0.59,0.1675,0.0971,-0.0971
0.595,0.59,0.6,0.1758,0.1016,-0.1016
0.605,0.6,0.61,0.1842,0.1058,-0.1058
0.615,0.61,0.62,0.1928,0.1098,-0.1098
0.625,0.62,0.63,0.2015,0.1134,-0.1134
0.635,0.63,0.64,0.2103,0.1167,-0.1167
0.645,0.64,0.65,0.2191,0.1196,-0.1196
0.655,0.65,0.66,0.2278,0.122,-0.122
0.665,0.66,0.67,0.2366,0.1241,-0.1241
0.675,0.67,0.68,0.2453,0.1258,-0.1258
0.685,0.68,0.69,0.254,0.1271,-0.1271
0.695,0.69,0.7,0.2625,0.128,-0.128
0.705,0.7,0.71,0.2709,0.1286,-0.1286
0.715,0.71,0.72,0.2791,0.1289,-0.1289
0.725,0.72,0.73,0.2871,0.1289,-0.1289
0.735,0.73,0.74,0.2949,0.1287,-0.1287
0.745,0.74,0.75,0.3026,0.1284,-0.1284
0.755,0.75,0.76,0.31,0.128,-0.128
0.765,0.76,0.77,0.3171,0.1276,-0.1276
0.775,0.77,0.78,0.324,0.1272,-0.1272
0.785,0.78,0.79,0.3306,0.127,-0.127
0.795,0.79,0.8,0.3369,0.127,-0.127
0.805,0.8,0.81,0.3429,0.1273,-0.1273
0.815,0.81,0.82,0.3486,0.128,-0.128
0.825,0.82,0.83,0.354,0.129,-0.129
0.835,0.83,0.84,0.359,0.1305,-0.1305
0.845,0.84,0.85,0.3638,0.1324,-0.1324
0.855,0.85,0.86,0.3681,0.1348,-0.1348
0.865,0.86,0.87,0.3722,0.1377,-0.1377
0.875,0.87,0.88,0.3759,0.141,-0.141
0.885,0.88,0.89,0.3792,0.1446,-0.1446
0.895,0.89,0.9,0.3822,0.1485,-0.1485
0.905,0.9,0.91,0.3848,0.1527,-0.1527
0.915,0.91,0.92,0.3871,0.1572,-0.1572
0.925,0.92,0.93,0.389,0.1617,-0.1617
0.935,0.93,0.94,0.3905,0.1664,-0.1664
0.945,0.94,0.95,0.3916,0.1711,-0.1711
0.955,0.95,0.96,0.3924,0.1758,-0.1758
0.965,0.96,0.97,0.3927,0.1804,-0.1804
0.975,0.97,0.98,0.3928,0.1849,-0.1849
0.985,0.98,0.99,0.3924,0.1894,-0.1894
0.995,0.99,1.0,0.3917,0.1937,-0.1937
1.005,1.0,1.01,0.3907,0.198,-0.198
1.0150000000000001,1.01,1.02,0.3894,0.2021,-0.2021
1.025,1.02,1.03,0.3877,0.2062,-0.2062
1.0350000000000001,1.03,1.04,0.3859,0.2102,-0.2102
1.045,1.04,1.05,0.3838,0.2143,-0.2143
1.0550000000000002,1.05,1.06,0.3815,0.2185,-0.2185
1.065,1.06,1.07,0.3792,0.2228,-0.2228
1.0750000000000002,1.07,1.08,0.3768,0.2275,-0.2275
1.085,1.08,1.09,0.3746,0.2325,-0.2325
1.0950000000000002,1.09,1.1,0.3725,0.238,-0.238
1.105,1.1,1.11,0.3708,0.244,-0.244
1.1150000000000002,1.11,1.12,0.3696,0.2508,-0.2508
1.125,1.12,1.13,0.3692,0.2583,-0.2583
1.1349999999999998,1.13,1.14,0.3697,0.2667,-0.2667
1.145,1.14,1.15,0.3714,0.2759,-0.2759
1.1549999999999998,1.15,1.16,0.3746,0.2861,-0.2861
1.165,1.16,1.17,0.3797,0.2972,-0.2972
1.1749999999999998,1.17,1.18,0.387,0.3091,-0.3091
1.185,1.18,1.19,0.3968,0.3218,-0.3218
1.1949999999999998,1.19,1.2,0.4091,0.3352,-0.3352
1.205,1.2,1.21,0.4242,0.3489,-0.3489
1.2149999999999999,1.21,1.22,0.4417,0.3629,-0.3629
1.225,1.22,1.23,0.4608,0.3771,-0.3771
1.2349999999999999,1.23,1.24,0.4803,0.3912,-0.3912
1.245,1.24,1.25,0.4985,0.4053,-0.4053
1.255,1.25,1.26,0.513,0.4193,-0.4193
1.2650000000000001,1.26,1.27,0.5217,0.4334,-0.4334
1.275,1.27,1.28,0.5229,0.4474,-0.4474
1.2850000000000001,1.28,1.29,0.5158,0.461,-0.461
1.295,1.29,1.3,0.5011,0.474,-0.474
1.3050000000000002,1.3,1.31,0.4805,0.4861,-0.4861
1.315,1.31,1.32,0.4562,0.4972,-0.4972
1.3250000000000002,1.32,1.33,0.431,0.5075,-0.5075
1.335,1.33,1.34,0.4071,0.5171,-0.5171
1.3450000000000002,1.34,1.35,0.3865,0.5263,-0.5263
1.355,1.35,1.36,0.3707,0.5355,-0.5355
1.3650000000000002,1.36,1.37,0.3608,0.545,-0.545
1.375,1.37,1.38,0.3578,0.5552,-0.5552
1.3849999999999998,1.38,1.39,0.3623,0.5667,-0.5667
1.395,1.39,1.4,0.375,0.5795,-0.5795

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1189,0.0715,-0.0715
0.415,0.41,0.42,0.1177,0.0669,-0.0669
0.425,0.42,0.43,0.1179,0.0639,-0.0639
0.435,0.43,0.44,0.1195,0.0623,-0.0623
0.445,0.44,0.45,0.1223,0.0618,-0.0618
0.455,0.45,0.46,0.1262,0.0621,-0.0621
0.46499999999999997,0.46,0.47,0.1312,0.0632,-0.0632
0.475,0.47,0.48,0.137,0.0648,-0.0648
0.485,0.48,0.49,0.1436,0.0669,-0.0669
0.495,0.49,0.5,0.1509,0.0694,-0.0694
0.505,0.5,0.51,0.1588,0.0723,-0.0723
0.515,0.51,0.52,0.1673,0.0756,-0.0756
0.525,0.52,0.53,0.1761,0.0792,-0.0792
0.535,0.53,0.54,0.1854,0.0831,-0.0831
0.545,0.54,0.55,0.1949,0.0873,-0.0873
0.555,0.55,0.56,0.2046,0.0918,-0.0918
0.565,0.56,0.57,0.2145,0.0964,-0.0964
0.575,0.57,0.58,0.2245,0.1012,-0.1012
0.585,0.58,0.59,0.2346,0.106,-0.106
0.595,0.59,0.6,0.2446,0.1109,-0.1109
0.605,0.6,0.61,0.2546,0.1158,-0.1158
0.615,0.61,0.62,0.2645,0.1206,-0.1206
0.625,0.62,0.63,0.2742,0.1253,-0.1253
0.635,0.63,0.64,0.2838,0.1298,-0.1298
0.645,0.64,0.65,0.2932,0.1341,-0.1341
0.655,0.65,0.66,0.3024,0.1381,-0.1381
0.665,0.66,0.67,0.3113,0.1419,-0.1419
0.675,0.67,0.68,0.3199,0.1454,-0.1454
0.685,0.68,0.69,0.3282,0.1485,-0.1485
0.695,0.69,0.7,0.3362,0.1513,-0.1513
0.705,0.7,0.71,0.3439,0.1537,-0.1537
0.715,0.71,0.72,0.3513,0.1557,-0.1557
0.725,0.72,0.73,0.3583,0.1573,-0.1573
0.735,0.73,0.74,0.3649,0.1585,-0.1585
0.745,0.74,0.75,0.3713,0.1594,-0.1594
0.755,0.75,0.76,0.3772,0.1598,-0.1598
0.765,0.76,0.77,0.3829,0.1599,-0.1599
0.775,0.77,0.78,0.3882,0.1596,-0.1596
0.785,0.78,0.79,0.3931,0.1591,-0.1591
0.795,0.79,0.8,0.3977,0.1582,-0.1582
0.805,0.8,0.81,0.402,0.157,-0.157
0.815,0.81,0.82,0.406,0.1556,-0.1556
0.825,0.82,0.83,0.4096,0.1541,-0.1541
0.835,0.83,0.84,0.4129,0.1524,-0.1524
0.845,0.84,0.85,0.4159,0.1506,-0.1506
0.855,0.85,0.86,0.4186,0.1488,-0.1488
0.865,0.86,0.87,0.421,0.1471,-0.1471
0.875,0.87,0.88,0.4231,0.1454,-0.1454
0.885,0.88,0.89,0.4248,0.144,-0.144
0.895,0.89,0.9,0.4263,0.1427,-0.1427
0.905,0.9,0.91,0.4274,0.1418,-0.1418
0.915,0.91,0.92,0.4283,0.1412,-0.1412
0.925,0.92,0.93,0.4288,0.1411,-0.1411
0.935,0.93,0.94,0.4289,0.1414,-0.1414
0.945,0.94,0.95,0.4287,0.1422,-0.1422
0.955,0.95,0.96,0.4281,0.1436,-0.1436
0.965,0.96,0.97,0.4271,0.1456,-0.1456
0.975,0.97,0.98,0.4258,0.1482,-0.1482
0.985,0.98,0.99,0.4239,0.1513,-0.1513
0.995,0.99,1.0,0.4217,0.1549,-0.1549
1.005,1.0,1.01,0.4189,0.1591,-0.1591
1.0150000000000001,1.01,1.02,0.4157,0.1638,-0.1638
1.025,1.02,1.03,0.4119,0.169,-0.169
1.0350000000000001,1.03,1.04,0.4076,0.1745,-0.1745
1.045,1.04,1.05,0.4028,0.1804,-0.1804
1.0550000000000002,1.05,1.06,0.3973,0.1866,-0.1866
1.065,1.06,1.07,0.3913,0.1931,-0.1931
1.0750000000000002,1.07,1.08,0.3847,0.1999,-0.1999
1.085,1.08,1.09,0.3775,0.2068,-0.2068
1.0950000000000002,1.09,1.1,0.3699,0.2138,-0.2138
1.105,1.1,1.11,0.3617,0.2209,-0.2209
1.1150000000000002,1.11,1.12,0.3531,0.2281,-0.2281
1.125,1.12,1.13,0.3443,0.2353,-0.2353
1.1349999999999998,1.13,1.14,0.3354,0.2424,-0.2424
1.145,1.14,1.15,0.3267,0.2495,-0.2495
1.1549999999999998,1.15,1.16,0.3183,0.2565,-0.2565
1.165,1.16,1.17,0.3108,0.2634,-0.2634
1.1749999999999998,1.17,1.18,0.3045,0.2702,-0.2702
1.185,1.18,1.19,0.3002,0.2769,-0.2769
1.1949999999999998,1.19,1.2,0.2984,0.2835,-0.2835
1.205,1.2,1.21,0.2998,0.2903,-0.2903
1.2149999999999999,1.21,1.22,0.3052,0.2973,-0.2973
1.225,1.22,1.23,0.3151,0.3048,-0.3048
1.2349999999999999,1.23,1.24,0.3295,0.3128,-0.3128
1.245,1.24,1.25,0.348,0.3215,-0.3215
1.255,1.25,1.26,0.3692,0.3309,-0.3309
1.2650000000000001,1.26,1.27,0.3911,0.3411,-0.3411
1.275,1.27,1.28,0.4112,0.352,-0.352
1.2850000000000001,1.28,1.29,0.427,0.3631,-0.3631
1.295,1.29,1.3,0.4366,0.3736,-0.3736
1.3050000000000002,1.3,1.31,0.4391,0.3827,-0.3827
1.315,1.31,1.32,0.4346,0.3896,-0.3896
1.3250000000000002,1.32,1.33,0.4243,0.3939,-0.3939
1.335,1.33,1.34,0.4096,0.3953,-0.3953
1.3450000000000002,1.34,1.35,0.3923,0.3939,-0.3939
1.355,1.35,1.36,0.3739,0.3899,-0.3899
1.3650000000000002,1.36,1.37,0.356,0.3839,-0.3839
1.375,1.37,1.38,0.3399,0.3765,-0.3765
1.3849999999999998,1.38,1.39,0.3268,0.3688,-0.3688
1.395,1.39,1.4,0.3177,0.362,-0.362

