#: table_doi: 10.17182/hepdata.74824.v1/t108
#: name: Table 108
#: description: Pm wave cross section for -T.

#: data_file: Table108.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.805,0.8,0.81,0.4488,0.1898,-0.1898
0.815,0.81,0.82,0.4211,0.1833,-0.1833
0.825,0.82,0.83,0.3921,0.1761,-0.1761
0.835,0.83,0.84,0.3635,0.1689,-0.1689
0.845,0.84,0.85,0.3367,0.162,-0.162
0.855,0.85,0.86,0.312,0.1556,-0.1556
0.865,0.86,0.87,0.2898,0.1499,-0.1499
0.875,0.87,0.88,0.2698,0.1448,-0.1448
0.885,0.88,0.89,0.2522,0.1403,-0.1403
0.895,0.89,0.9,0.2365,0.1364,-0.1364
0.905,0.9,0.91,0.2227,0.133,-0.133
0.915,0.91,0.92,0.2106,0.1301,-0.1301
0.925,0.92,0.93,0.1999,0.1276,-0.1276
0.935,0.93,0.94,0.1905,0.1254,-0.1254
0.945,0.94,0.95,0.1823,0.1236,-0.1236
0.955,0.95,0.96,0.1752,0.1221,-0.1221
0.965,0.96,0.97,0.169,0.1208,-0.1208
0.975,0.97,0.98,0.1637,0.1197,-0.1197
0.985,0.98,0.99,0.1591,0.1188,-0.1188
0.995,0.99,1.0,0.1553,0.1181,-0.1181
1.005,1.0,1.01,0.1521,0.1176,-0.1176
1.0150000000000001,1.01,1.02,0.1495,0.1172,-0.1172
1.025,1.02,1.03,0.1474,0.1168,-0.1168
1.0350000000000001,1.03,1.04,0.1459,0.1166,-0.1166
1.045,1.04,1.05,0.1449,0.1165,-0.1165
1.0550000000000002,1.05,1.06,0.1443,0.1165,-0.1165
1.065,1.06,1.07,0.1441,0.1165,-0.1165
1.0750000000000002,1.07,1.08,0.1443,0.1167,-0.1167
1.085,1.08,1.09,0.1449,0.1169,-0.1169
1.0950000000000002,1.09,1.1,0.1459,0.1171,-0.1171
1.105,1.1,1.11,0.1472,0.1175,-0.1175
1.1150000000000002,1.11,1.12,0.1488,0.1179,-0.1179
1.125,1.12,1.13,0.1507,0.1185,-0.1185
1.1349999999999998,1.13,1.14,0.153,0.1191,-0.1191
1.145,1.14,1.15,0.1555,0.1199,-0.1199
1.1549999999999998,1.15,1.16,0.1583,0.1207,-0.1207
1.165,1.16,1.17,0.1614,0.1218,-0.1218
1.1749999999999998,1.17,1.18,0.1647,0.1229,-0.1229
1.185,1.18,1.19,0.1683,0.1243,-0.1243
1.1949999999999998,1.19,1.2,0.1721,0.1259,-0.1259
1.205,1.2,1.21,0.1761,0.1277,-0.1277
1.2149999999999999,1.21,1.22,0.1804,0.1297,-0.1297
1.225,1.22,1.23,0.185,0.132,-0.132
1.2349999999999999,1.23,1.24,0.1897,0.1346,-0.1346
1.245,1.24,1.25,0.1947,0.1375,-0.1375
1.255,1.25,1.26,0.1999,0.1408,-0.1408
1.2650000000000001,1.26,1.27,0.2054,0.1444,-0.1444
1.275,1.27,1.28,0.2111,0.1484,-0.1484
1.2850000000000001,1.28,1.29,0.217,0.1528,-0.1528
1.295,1.29,1.3,0.2232,0.1576,-0.1576
1.3050000000000002,1.3,1.31,0.2297,0.1628,-0.1628
1.315,1.31,1.32,0.2364,0.1685,-0.1685
1.3250000000000002,1.32,1.33,0.2435,0.1746,-0.1746
1.335,1.33,1.34,0.2508,0.1812,-0.1812
1.3450000000000002,1.34,1.35,0.2584,0.1883,-0.1883
1.355,1.35,1.36,0.2664,0.1958,-0.1958
1.3650000000000002,1.36,1.37,0.2748,0.2039,-0.2039
1.375,1.37,1.38,0.2835,0.2124,-0.2124
1.3849999999999998,1.38,1.39,0.2927,0.2215,-0.2215
1.395,1.39,1.4,0.3024,0.2311,-0.2311

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0287,0.0192,-0.0192
0.415,0.41,0.42,0.0303,0.0209,-0.0209
0.425,0.42,0.43,0.0319,0.0226,-0.0226
0.435,0.43,0.44,0.0334,0.0244,-0.0244
0.445,0.44,0.45,0.0351,0.0262,-0.0262
0.455,0.45,0.46,0.0367,0.0282,-0.0282
0.46499999999999997,0.46,0.47,0.0385,0.0302,-0.0302
0.475,0.47,0.48,0.0404,0.0324,-0.0324
0.485,0.48,0.49,0.0425,0.0347,-0.0347
0.495,0.49,0.5,0.0448,0.0371,-0.0371
0.505,0.5,0.51,0.0474,0.0398,-0.0398
0.515,0.51,0.52,0.0504,0.0427,-0.0427
0.525,0.52,0.53,0.0539,0.0458,-0.0458
0.535,0.53,0.54,0.0579,0.0493,-0.0493
0.545,0.54,0.55,0.0626,0.0531,-0.0531
0.555,0.55,0.56,0.0681,0.0574,-0.0574
0.565,0.56,0.57,0.0746,0.0621,-0.0621
0.575,0.57,0.58,0.0822,0.0674,-0.0674
0.585,0.58,0.59,0.0911,0.0734,-0.0734
0.595,0.59,0.6,0.1017,0.08,-0.08
0.605,0.6,0.61,0.1143,0.0876,-0.0876
0.615,0.61,0.62,0.1291,0.0961,-0.0961
0.625,0.62,0.63,0.1468,0.1059,-0.1059
0.635,0.63,0.64,0.1677,0.1169,-0.1169
0.645,0.64,0.65,0.1926,0.1296,-0.1296
0.655,0.65,0.66,0.2221,0.144,-0.144
0.665,0.66,0.67,0.2571,0.1604,-0.1604
0.675,0.67,0.68,0.2982,0.1788,-0.1788
0.685,0.68,0.69,0.3462,0.1994,-0.1994
0.695,0.69,0.7,0.4012,0.2219,-0.2219
0.705,0.7,0.71,0.4626,0.2455,-0.2455
0.715,0.71,0.72,0.5285,0.2692,-0.2692
0.725,0.72,0.73,0.5951,0.2908,-0.2908
0.735,0.73,0.74,0.6561,0.3078,-0.3078
0.745,0.74,0.75,0.7041,0.3173,-0.3173
0.755,0.75,0.76,0.7316,0.3172,-0.3172
0.765,0.76,0.77,0.7342,0.3069,-0.3069
0.775,0.77,0.78,0.7123,0.2878,-0.2878
0.785,0.78,0.79,0.6705,0.263,-0.263
0.795,0.79,0.8,0.6164,0.236,-0.236
0.805,0.8,0.81,0.5569,0.2097,-0.2097
0.815,0.81,0.82,0.4979,0.1859,-0.1859
0.825,0.82,0.83,0.4429,0.1656,-0.1656
0.835,0.83,0.84,0.3937,0.1488,-0.1488
0.845,0.84,0.85,0.3508,0.1355,-0.1355
0.855,0.85,0.86,0.3142,0.1252,-0.1252
0.865,0.86,0.87,0.2834,0.1173,-0.1173
0.875,0.87,0.88,0.2577,0.1114,-0.1114
0.885,0.88,0.89,0.2365,0.107,-0.107
0.895,0.89,0.9,0.2191,0.104,-0.104
0.905,0.9,0.91,0.205,0.102,-0.102
