#: table_doi: 10.17182/hepdata.74824.v1/t177
#: name: Table 177
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table177.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10)",error +,error -
1.375,1.37,1.38,0.1828,0.0295,-0.0295
1.3849999999999998,1.38,1.39,0.1778,0.0288,-0.0288
1.395,1.39,1.4,0.1713,0.0285,-0.0285

#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10)",error +,error -
0.405,0.4,0.41,0.0269,0.0287,-0.0287
0.415,0.41,0.42,0.015,0.0263,-0.0263
0.425,0.42,0.43,0.0038,0.0268,-0.0268
0.435,0.43,0.44,-0.0061,0.0289,-0.0289
0.445,0.44,0.45,-0.0142,0.0317,-0.0317
0.455,0.45,0.46,-0.0203,0.0346,-0.0346
0.46499999999999997,0.46,0.47,-0.0246,0.0373,-0.0373
0.475,0.47,0.48,-0.0271,0.0399,-0.0399
0.485,0.48,0.49,-0.0281,0.0421,-0.0421
0.495,0.49,0.5,-0.0277,0.0439,-0.0439
0.505,0.5,0.51,-0.0263,0.0451,-0.0451
0.515,0.51,0.52,-0.024,0.0457,-0.0457
0.525,0.52,0.53,-0.0211,0.0456,-0.0456
0.535,0.53,0.54,-0.0178,0.0447,-0.0447
0.545,0.54,0.55,-0.0143,0.043,-0.043
0.555,0.55,0.56,-0.0106,0.0407,-0.0407
0.565,0.56,0.57,-0.007,0.0378,-0.0378
0.575,0.57,0.58,-0.0035,0.0344,-0.0344
0.585,0.58,0.59,-0.0003,0.0306,-0.0306
0.595,0.59,0.6,0.0027,0.0267,-0.0267
0.605,0.6,0.61,0.0053,0.0229,-0.0229
0.615,0.61,0.62,0.0076,0.0193,-0.0193
0.625,0.62,0.63,0.0095,0.0161,-0.0161
0.635,0.63,0.64,0.0111,0.0136,-0.0136
0.645,0.64,0.65,0.0125,0.0118,-0.0118
0.655,0.65,0.66,0.0138,0.011,-0.011
0.665,0.66,0.67,0.015,0.0108,-0.0108
0.675,0.67,0.68,0.0163,0.011,-0.011
0.685,0.68,0.69,0.0178,0.0114,-0.0114
0.695,0.69,0.7,0.0196,0.0117,-0.0117
0.705,0.7,0.71,0.0218,0.012,-0.012
0.715,0.71,0.72,0.0245,0.012,-0.012
0.725,0.72,0.73,0.0278,0.0118,-0.0118
0.735,0.73,0.74,0.0316,0.0115,-0.0115
0.745,0.74,0.75,0.0361,0.0111,-0.0111
0.755,0.75,0.76,0.0411,0.0107,-0.0107
0.765,0.76,0.77,0.0467,0.0103,-0.0103
0.775,0.77,0.78,0.0527,0.01,-0.01
0.785,0.78,0.79,0.059,0.01,-0.01
0.795,0.79,0.8,0.0656,0.0103,-0.0103
0.805,0.8,0.81,0.0723,0.0107,-0.0107
0.815,0.81,0.82,0.079,0.0114,-0.0114
0.825,0.82,0.83,0.0855,0.0123,-0.0123
0.835,0.83,0.84,0.0918,0.0133,-0.0133
0.845,0.84,0.85,0.0977,0.0143,-0.0143
0.855,0.85,0.86,0.1032,0.0153,-0.0153
0.865,0.86,0.87,0.1081,0.0164,-0.0164
0.875,0.87,0.88,0.1126,0.0174,-0.0174
0.885,0.88,0.89,0.1165,0.0184,-0.0184
0.895,0.89,0.9,0.1199,0.0193,-0.0193
0.905,0.9,0.91,0.1228,0.0202,-0.0202
0.915,0.91,0.92,0.1253,0.0211,-0.0211
0.925,0.92,0.93,0.1273,0.022,-0.022
0.935,0.93,0.94,0.129,0.023,-0.023
0.945,0.94,0.95,0.1304,0.0241,-0.0241
0.955,0.95,0.96,0.1317,0.0256,-0.0256
0.965,0.96,0.97,0.1331,0.0278,-0.0278
0.975,0.97,0.98,0.1352,0.0318,-0.0318
0.985,0.98,0.99,0.1416,0.0423,-0.0423
0.995,0.99,1.0,0.1475,0.0352,-0.0352
1.005,1.0,1.01,0.1532,0.0353,-0.0353
1.0150000000000001,1.01,1.02,0.1584,0.0367,-0.0367
1.025,1.02,1.03,0.1628,0.0381,-0.0381
1.0350000000000001,1.03,1.04,0.1664,0.0393,-0.0393
1.045,1.04,1.05,0.1694,0.0402,-0.0402
1.0550000000000002,1.05,1.06,0.1716,0.0407,-0.0407
1.065,1.06,1.07,0.1734,0.0407,-0.0407
1.0750000000000002,1.07,1.08,0.1747,0.0403,-0.0403
1.085,1.08,1.09,0.1756,0.0395,-0.0395
1.0950000000000002,1.09,1.1,0.1763,0.0383,-0.0383
1.105,1.1,1.11,0.1768,0.0369,-0.0369
1.1150000000000002,1.11,1.12,0.1773,0.0352,-0.0352
1.125,1.12,1.13,0.1777,0.0334,-0.0334
1.1349999999999998,1.13,1.14,0.1783,0.0316,-0.0316
1.145,1.14,1.15,0.179,0.0299,-0.0299
1.1549999999999998,1.15,1.16,0.18,0.0284,-0.0284
1.165,1.16,1.17,0.1811,0.0272,-0.0272
1.1749999999999998,1.17,1.18,0.1825,0.0263,-0.0263
1.185,1.18,1.19,0.1841,0.0257,-0.0257
1.1949999999999998,1.19,1.2,0.1859,0.0253,-0.0253
1.205,1.2,1.21,0.1879,0.025,-0.025
1.2149999999999999,1.21,1.22,0.19,0.0246,-0.0246
1.225,1.22,1.23,0.1922,0.0242,-0.0242
1.2349999999999999,1.23,1.24,0.1945,0.0238,-0.0238
1.245,1.24,1.25,0.1969,0.0236,-0.0236
1.255,1.25,1.26,0.1994,0.0239,-0.0239
1.2650000000000001,1.26,1.27,0.2019,0.0248,-0.0248
1.275,1.27,1.28,0.2046,0.0264,-0.0264
1.2850000000000001,1.28,1.29,0.2074,0.0283,-0.0283
1.295,1.29,1.3,0.2103,0.0302,-0.0302
1.3050000000000002,1.3,1.31,0.2132,0.0318,-0.0318
1.315,1.31,1.32,0.216,0.0329,-0.0329
1.3250000000000002,1.32,1.33,0.2185,0.0336,-0.0336
1.335,1.33,1.34,0.2203,0.034,-0.034
1.3450000000000002,1.34,1.35,0.221,0.0344,-0.0344
1.355,1.35,1.36,0.2202,0.0348,-0.0348
1.3650000000000002,1.36,1.37,0.2175,0.0354,-0.0354
1.375,1.37,1.38,0.2124,0.0361,-0.0361
1.3849999999999998,1.38,1.39,0.2046,0.0367,-0.0367
1.395,1.39,1.4,0.194,0.0373,-0.0373

#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10)",error +,error -
0.405,0.4,0.41,-0.0088,0.0261,-0.0261
0.415,0.41,0.42,-0.0214,0.02,-0.02
0.425,0.42,0.43,-0.0317,0.0177,-0.0177
0.435,0.43,0.44,-0.0397,0.0185,-0.0185
0.445,0.44,0.45,-0.0453,0.0207,-0.0207
0.455,0.45,0.46,-0.0487,0.0234,-0.0234
0.46499999999999997,0.46,0.47,-0.0501,0.0262,-0.0262
0.475,0.47,0.48,-0.0499,0.0289,-0.0289
0.485,0.48,0.49,-0.0483,0.0316,-0.0316
0.495,0.49,0.5,-0.0457,0.034,-0.034
0.505,0.5,0.51,-0.0421,0.0361,-0.0361
0.515,0.51,0.52,-0.0381,0.0378,-0.0378
0.525,0.52,0.53,-0.0336,0.0388,-0.0388
0.535,0.53,0.54,-0.029,0.0392,-0.0392
0.545,0.54,0.55,-0.0244,0.0389,-0.0389
0.555,0.55,0.56,-0.02,0.0379,-0.0379
0.565,0.56,0.57,-0.0159,0.0361,-0.0361
0.575,0.57,0.58,-0.0122,0.0337,-0.0337
0.585,0.58,0.59,-0.0089,0.0307,-0.0307
0.595,0.59,0.6,-0.006,0.0273,-0.0273
0.605,0.6,0.61,-0.0036,0.0236,-0.0236
0.615,0.61,0.62,-0.0016,0.0199,-0.0199
0.625,0.62,0.63,0.0,0.0163,-0.0163
0.635,0.63,0.64,0.0014,0.0132,-0.0132
0.645,0.64,0.65,0.0027,0.011,-0.011
0.655,0.65,0.66,0.0039,0.0099,-0.0099
0.665,0.66,0.67,0.0051,0.01,-0.01
0.675,0.67,0.68,0.0066,0.0109,-0.0109
0.685,0.68,0.69,0.0084,0.012,-0.012
0.695,0.69,0.7,0.0105,0.0129,-0.0129
0.705,0.7,0.71,0.0131,0.0136,-0.0136
0.715,0.71,0.72,0.0163,0.0139,-0.0139
0.725,0.72,0.73,0.02,0.0138,-0.0138
0.735,0.73,0.74,0.0243,0.0133,-0.0133
0.745,0.74,0.75,0.0292,0.0126,-0.0126
0.755,0.75,0.76,0.0347,0.0117,-0.0117
0.765,0.76,0.77,0.0407,0.011,-0.011
0.775,0.77,0.78,0.0472,0.0104,-0.0104
0.785,0.78,0.79,0.054,0.0101,-0.0101
0.795,0.79,0.8,0.0611,0.0103,-0.0103
0.805,0.8,0.81,0.0683,0.0108,-0.0108
0.815,0.81,0.82,0.0756,0.0117,-0.0117
0.825,0.82,0.83,0.0829,0.0128,-0.0128
0.835,0.83,0.84,0.0899,0.0141,-0.0141
0.845,0.84,0.85,0.0967,0.0155,-0.0155
0.855,0.85,0.86,0.1031,0.0169,-0.0169
0.865,0.86,0.87,0.1092,0.0184,-0.0184
0.875,0.87,0.88,0.1148,0.0199,-0.0199
0.885,0.88,0.89,0.1199,0.0213,-0.0213
0.895,0.89,0.9,0.1245,0.0227,-0.0227
0.905,0.9,0.91,0.1286,0.0241,-0.0241
0.915,0.91,0.92,0.1324,0.0253,-0.0253
0.925,0.92,0.93,0.1357,0.0264,-0.0264
0.935,0.93,0.94,0.1388,0.0273,-0.0273
0.945,0.94,0.95,0.1417,0.028,-0.028
0.955,0.95,0.96,0.1447,0.0285,-0.0285
0.965,0.96,0.97,0.1482,0.0286,-0.0286
0.975,0.97,0.98,0.1534,0.0287,-0.0287
0.985,0.98,0.99,0.1647,0.0311,-0.0311
0.995,0.99,1.0,0.1635,0.0366,-0.0366
1.005,1.0,1.01,0.1657,0.0346,-0.0346
1.0150000000000001,1.01,1.02,0.1685,0.0349,-0.0349
1.025,1.02,1.03,0.1711,0.0358,-0.0358
1.0350000000000001,1.03,1.04,0.1733,0.037,-0.037
1.045,1.04,1.05,0.1751,0.0383,-0.0383
1.0550000000000002,1.05,1.06,0.1766,0.0396,-0.0396
1.065,1.06,1.07,0.1777,0.0408,-0.0408
1.0750000000000002,1.07,1.08,0.1786,0.0419,-0.0419
1.085,1.08,1.09,0.1793,0.0427,-0.0427
1.0950000000000002,1.09,1.1,0.18,0.0432,-0.0432
1.105,1.1,1.11,0.1807,0.0433,-0.0433
1.1150000000000002,1.11,1.12,0.1814,0.043,-0.043
1.125,1.12,1.13,0.1823,0.0423,-0.0423
1.1349999999999998,1.13,1.14,0.1834,0.0412,-0.0412
1.145,1.14,1.15,0.1847,0.0397,-0.0397
1.1549999999999998,1.15,1.16,0.1862,0.0379,-0.0379
1.165,1.16,1.17,0.1878,0.0359,-0.0359
1.1749999999999998,1.17,1.18,0.1897,0.0337,-0.0337
1.185,1.18,1.19,0.1915,0.0314,-0.0314
1.1949999999999998,1.19,1.2,0.1933,0.0293,-0.0293
1.205,1.2,1.21,0.195,0.0273,-0.0273
1.2149999999999999,1.21,1.22,0.1963,0.0257,-0.0257
1.225,1.22,1.23,0.1972,0.0245,-0.0245
1.2349999999999999,1.23,1.24,0.1977,0.0239,-0.0239
1.245,1.24,1.25,0.1978,0.0239,-0.0239
1.255,1.25,1.26,0.1978,0.0245,-0.0245
1.2650000000000001,1.26,1.27,0.1978,0.0257,-0.0257
1.275,1.27,1.28,0.1983,0.0274,-0.0274
1.2850000000000001,1.28,1.29,0.1995,0.0296,-0.0296
1.295,1.29,1.3,0.202,0.0319,-0.0319
1.3050000000000002,1.3,1.31,0.2059,0.0342,-0.0342
1.315,1.31,1.32,0.2115,0.0365,-0.0365
1.3250000000000002,1.32,1.33,0.2187,0.0388,-0.0388
1.335,1.33,1.34,0.2273,0.0411,-0.0411
1.3450000000000002,1.34,1.35,0.2369,0.0436,-0.0436
1.355,1.35,1.36,0.2467,0.0461,-0.0461
1.3650000000000002,1.36,1.37,0.2555,0.0486,-0.0486
1.375,1.37,1.38,0.2624,0.0508,-0.0508
1.3849999999999998,1.38,1.39,0.2663,0.0524,-0.0524
1.395,1.39,1.4,0.2663,0.0535,-0.0535

