#: table_doi: 10.17182/hepdata.74824.v1/t98
#: name: Table 98
#: description: P wave cross section for -T.

#: data_file: Table98.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pwave) [MUB/GEV**3]",error +,error -
0.775,0.77,0.78,14.9222,2.151,-2.151
0.785,0.78,0.79,14.1707,2.0294,-2.0294
0.795,0.79,0.8,13.1445,1.875,-1.875
0.805,0.8,0.81,11.9854,1.7071,-1.7071
0.815,0.81,0.82,10.8073,1.5408,-1.5408
0.825,0.82,0.83,9.6847,1.3854,-1.3854
0.835,0.83,0.84,8.658,1.2455,-1.2455
0.845,0.84,0.85,7.7426,1.1226,-1.1226
0.855,0.85,0.86,6.9392,1.0162,-1.0162
0.865,0.86,0.87,6.2403,0.9251,-0.9251
0.875,0.87,0.88,5.6352,0.8475,-0.8475
0.885,0.88,0.89,5.112,0.7818,-0.7818
0.895,0.89,0.9,4.6597,0.7264,-0.7264
0.905,0.9,0.91,4.2679,0.6799,-0.6799
0.915,0.91,0.92,3.9279,0.6412,-0.6412
0.925,0.92,0.93,3.6321,0.6092,-0.6092
0.935,0.93,0.94,3.3739,0.5833,-0.5833
0.945,0.94,0.95,3.148,0.5625,-0.5625
0.955,0.95,0.96,2.9498,0.5465,-0.5465
0.965,0.96,0.97,2.7754,0.5345,-0.5345
0.975,0.97,0.98,2.6216,0.5262,-0.5262
0.985,0.98,0.99,2.4855,0.5212,-0.5212
0.995,0.99,1.0,2.365,0.5191,-0.5191
1.005,1.0,1.01,2.2579,0.5195,-0.5195
1.0150000000000001,1.01,1.02,2.1626,0.5222,-0.5222
1.025,1.02,1.03,2.0776,0.5269,-0.5269
1.0350000000000001,1.03,1.04,2.0017,0.5333,-0.5333
1.045,1.04,1.05,1.9337,0.5412,-0.5412
1.0550000000000002,1.05,1.06,1.8726,0.5503,-0.5503
1.065,1.06,1.07,1.8177,0.5605,-0.5605
1.0750000000000002,1.07,1.08,1.7682,0.5715,-0.5715
1.085,1.08,1.09,1.7235,0.5831,-0.5831
1.0950000000000002,1.09,1.1,1.6829,0.5953,-0.5953
1.105,1.1,1.11,1.646,0.6077,-0.6077
1.1150000000000002,1.11,1.12,1.6123,0.6203,-0.6203
1.125,1.12,1.13,1.5815,0.6329,-0.6329
1.1349999999999998,1.13,1.14,1.5531,0.6453,-0.6453
1.145,1.14,1.15,1.5268,0.6574,-0.6574
1.1549999999999998,1.15,1.16,1.5025,0.6691,-0.6691
1.165,1.16,1.17,1.4799,0.6803,-0.6803
1.1749999999999998,1.17,1.18,1.4588,0.6908,-0.6908
1.185,1.18,1.19,1.439,0.7005,-0.7005
1.1949999999999998,1.19,1.2,1.4205,0.7093,-0.7093
1.205,1.2,1.21,1.4031,0.7171,-0.7171
1.2149999999999999,1.21,1.22,1.3869,0.724,-0.724
1.225,1.22,1.23,1.3718,0.7296,-0.7296
1.2349999999999999,1.23,1.24,1.3579,0.7342,-0.7342
1.245,1.24,1.25,1.3453,0.7375,-0.7375
1.255,1.25,1.26,1.334,0.7397,-0.7397
1.2650000000000001,1.26,1.27,1.3243,0.7407,-0.7407
1.275,1.27,1.28,1.3164,0.7406,-0.7406
1.2850000000000001,1.28,1.29,1.3104,0.7395,-0.7395
1.295,1.29,1.3,1.3069,0.7375,-0.7375
1.3050000000000002,1.3,1.31,1.306,0.7348,-0.7348
1.315,1.31,1.32,1.3083,0.7317,-0.7317
1.3250000000000002,1.32,1.33,1.3143,0.7285,-0.7285
1.335,1.33,1.34,1.3244,0.7255,-0.7255
1.3450000000000002,1.34,1.35,1.3394,0.7233,-0.7233
1.355,1.35,1.36,1.3599,0.7224,-0.7224
1.3650000000000002,1.36,1.37,1.3867,0.7234,-0.7234
1.375,1.37,1.38,1.4206,0.7272,-0.7272
1.3849999999999998,1.38,1.39,1.4626,0.7344,-0.7344
1.395,1.39,1.4,1.5137,0.7459,-0.7459

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.3824,0.0561,-0.0561
0.415,0.41,0.42,0.4153,0.0587,-0.0587
0.425,0.42,0.43,0.4493,0.0616,-0.0616
0.435,0.43,0.44,0.4848,0.0654,-0.0654
0.445,0.44,0.45,0.5222,0.0702,-0.0702
0.455,0.45,0.46,0.5618,0.0764,-0.0764
0.46499999999999997,0.46,0.47,0.6043,0.0844,-0.0844
0.475,0.47,0.48,0.6503,0.0942,-0.0942
0.485,0.48,0.49,0.7003,0.1059,-0.1059
0.495,0.49,0.5,0.7554,0.1196,-0.1196
0.505,0.5,0.51,0.8163,0.1353,-0.1353
0.515,0.51,0.52,0.8844,0.1531,-0.1531
0.525,0.52,0.53,0.9608,0.173,-0.173
0.535,0.53,0.54,1.0473,0.195,-0.195
0.545,0.54,0.55,1.1455,0.2193,-0.2193
0.555,0.55,0.56,1.2579,0.246,-0.246
0.565,0.56,0.57,1.3869,0.2753,-0.2753
0.575,0.57,0.58,1.5359,0.3076,-0.3076
0.585,0.58,0.59,1.7087,0.3431,-0.3431
0.595,0.59,0.6,1.91,0.3823,-0.3823
0.605,0.6,0.61,2.1453,0.4258,-0.4258
0.615,0.61,0.62,2.4215,0.4743,-0.4743
0.625,0.62,0.63,2.7468,0.5287,-0.5287
0.635,0.63,0.64,3.1312,0.5901,-0.5901
0.645,0.64,0.65,3.5863,0.6599,-0.6599
0.655,0.65,0.66,4.1256,0.7394,-0.7394
0.665,0.66,0.67,4.7639,0.8304,-0.8304
0.675,0.67,0.68,5.5165,0.9345,-0.9345
0.685,0.68,0.69,6.3964,1.053,-1.053
0.695,0.69,0.7,7.4102,1.1861,-1.1861
0.705,0.7,0.71,8.5502,1.3326,-1.3326
0.715,0.71,0.72,9.7841,1.4876,-1.4876
0.725,0.72,0.73,11.0439,1.6424,-1.6424
0.735,0.73,0.74,12.2198,1.7832,-1.7832
0.745,0.74,0.75,13.1704,1.8928,-1.8928
0.755,0.75,0.76,13.7556,1.9553,-1.9553
0.765,0.76,0.77,13.8848,1.9614,-1.9614
0.775,0.77,0.78,13.5535,1.9126,-1.9126
0.785,0.78,0.79,12.8417,1.8205,-1.8205
0.795,0.79,0.8,11.8786,1.7018,-1.7018
0.805,0.8,0.81,10.7967,1.5726,-1.5726
0.815,0.81,0.82,9.7015,1.4454,-1.4454
0.825,0.82,0.83,8.6619,1.3277,-1.3277
