#: table_doi: 10.17182/hepdata.74824.v1/t147
#: name: Table 147
#: description: F wave cross section for -T.

#: data_file: Table147.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.675,0.67,0.68,0.4715,0.1289,-0.1289
0.685,0.68,0.69,0.4801,0.1313,-0.1313
0.695,0.69,0.7,0.4883,0.1336,-0.1336
0.705,0.7,0.71,0.4959,0.1358,-0.1358
0.715,0.71,0.72,0.503,0.1379,-0.1379
0.725,0.72,0.73,0.5096,0.1398,-0.1398
0.735,0.73,0.74,0.5157,0.1416,-0.1416
0.745,0.74,0.75,0.5213,0.1434,-0.1434
0.755,0.75,0.76,0.5265,0.145,-0.145
0.765,0.76,0.77,0.5312,0.1465,-0.1465
0.775,0.77,0.78,0.5354,0.148,-0.148
0.785,0.78,0.79,0.5392,0.1493,-0.1493
0.795,0.79,0.8,0.5425,0.1506,-0.1506
0.805,0.8,0.81,0.5454,0.1518,-0.1518
0.815,0.81,0.82,0.5479,0.153,-0.153
0.825,0.82,0.83,0.55,0.154,-0.154
0.835,0.83,0.84,0.5518,0.155,-0.155
0.845,0.84,0.85,0.5531,0.156,-0.156
0.855,0.85,0.86,0.5542,0.1569,-0.1569
0.865,0.86,0.87,0.5549,0.1578,-0.1578
0.875,0.87,0.88,0.5553,0.1587,-0.1587
0.885,0.88,0.89,0.5554,0.1595,-0.1595
0.895,0.89,0.9,0.5552,0.1603,-0.1603
0.905,0.9,0.91,0.5548,0.1611,-0.1611
0.915,0.91,0.92,0.5542,0.1619,-0.1619
0.925,0.92,0.93,0.5534,0.1628,-0.1628
0.935,0.93,0.94,0.5524,0.1636,-0.1636
