#: table_doi: 10.17182/hepdata.74824.v1/t128
#: name: Table 128
#: description: Dm wave cross section for -T.

#: data_file: Table128.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
0.765,0.76,0.77,0.1257,0.0787,-0.0787
0.775,0.77,0.78,0.1268,0.0807,-0.0807
0.785,0.78,0.79,0.1278,0.0828,-0.0828
0.795,0.79,0.8,0.1287,0.0848,-0.0848
0.805,0.8,0.81,0.1295,0.0868,-0.0868
0.815,0.81,0.82,0.1304,0.0887,-0.0887
0.825,0.82,0.83,0.1312,0.0905,-0.0905
0.835,0.83,0.84,0.1321,0.0922,-0.0922
0.845,0.84,0.85,0.1331,0.0937,-0.0937
0.855,0.85,0.86,0.1342,0.0951,-0.0951
0.865,0.86,0.87,0.1356,0.0962,-0.0962
0.875,0.87,0.88,0.1371,0.0972,-0.0972
0.885,0.88,0.89,0.1389,0.0979,-0.0979
0.895,0.89,0.9,0.141,0.0985,-0.0985
0.905,0.9,0.91,0.1435,0.0989,-0.0989
0.915,0.91,0.92,0.1464,0.0991,-0.0991
0.925,0.92,0.93,0.1497,0.0992,-0.0992
0.935,0.93,0.94,0.1535,0.0993,-0.0993
0.945,0.94,0.95,0.1578,0.0994,-0.0994
0.955,0.95,0.96,0.1627,0.0997,-0.0997
0.965,0.96,0.97,0.1682,0.1002,-0.1002
0.975,0.97,0.98,0.1743,0.101,-0.101
0.985,0.98,0.99,0.1811,0.1023,-0.1023
0.995,0.99,1.0,0.1885,0.1042,-0.1042
1.005,1.0,1.01,0.1967,0.1068,-0.1068
1.0150000000000001,1.01,1.02,0.2057,0.1103,-0.1103
1.025,1.02,1.03,0.2154,0.1148,-0.1148
1.0350000000000001,1.03,1.04,0.2259,0.1203,-0.1203
1.045,1.04,1.05,0.2372,0.1268,-0.1268
1.0550000000000002,1.05,1.06,0.2492,0.1344,-0.1344
1.065,1.06,1.07,0.2621,0.143,-0.143
1.0750000000000002,1.07,1.08,0.2757,0.1525,-0.1525
1.085,1.08,1.09,0.2901,0.1628,-0.1628
1.0950000000000002,1.09,1.1,0.3052,0.1739,-0.1739
1.105,1.1,1.11,0.3209,0.1854,-0.1854
1.1150000000000002,1.11,1.12,0.3371,0.1974,-0.1974
1.125,1.12,1.13,0.3537,0.2095,-0.2095
1.1349999999999998,1.13,1.14,0.3705,0.2215,-0.2215
1.145,1.14,1.15,0.3872,0.2331,-0.2331
1.1549999999999998,1.15,1.16,0.4035,0.2439,-0.2439
1.165,1.16,1.17,0.4188,0.2534,-0.2534
1.1749999999999998,1.17,1.18,0.4327,0.2611,-0.2611
1.185,1.18,1.19,0.4442,0.2663,-0.2663
1.1949999999999998,1.19,1.2,0.4524,0.2685,-0.2685
1.205,1.2,1.21,0.4562,0.267,-0.267
1.2149999999999999,1.21,1.22,0.4545,0.2613,-0.2613
1.225,1.22,1.23,0.4459,0.2514,-0.2514
1.2349999999999999,1.23,1.24,0.4297,0.2378,-0.2378
1.245,1.24,1.25,0.4056,0.2222,-0.2222
1.255,1.25,1.26,0.3745,0.2071,-0.2071
1.2650000000000001,1.26,1.27,0.3383,0.1952,-0.1952
1.275,1.27,1.28,0.3,0.1883,-0.1883
1.2850000000000001,1.28,1.29,0.2634,0.1863,-0.1863
1.295,1.29,1.3,0.2317,0.1873,-0.1873
