#: table_doi: 10.17182/hepdata.74824.v1/t96
#: name: Table 96
#: description: S wave cross section for -T.

#: data_file: Table96.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.805,0.8,0.81,0.1809,0.1099,-0.1099
0.815,0.81,0.82,0.1973,0.1149,-0.1149
0.825,0.82,0.83,0.2149,0.1206,-0.1206
0.835,0.83,0.84,0.2336,0.127,-0.127
0.845,0.84,0.85,0.2534,0.1341,-0.1341
0.855,0.85,0.86,0.2739,0.142,-0.142
0.865,0.86,0.87,0.295,0.1506,-0.1506
0.875,0.87,0.88,0.3166,0.1601,-0.1601
0.885,0.88,0.89,0.3383,0.1706,-0.1706
0.895,0.89,0.9,0.3599,0.1823,-0.1823
0.905,0.9,0.91,0.381,0.1955,-0.1955
0.915,0.91,0.92,0.4013,0.2107,-0.2107
0.925,0.92,0.93,0.4201,0.2286,-0.2286
0.935,0.93,0.94,0.4368,0.2504,-0.2504
0.945,0.94,0.95,0.4499,0.2779,-0.2779
0.955,0.95,0.96,0.4568,0.3143,-0.3143
0.965,0.96,0.97,0.4515,0.365,-0.365
0.975,0.97,0.98,0.4164,0.4376,-0.4376
0.985,0.98,0.99,0.2897,0.5134,-0.5134
0.995,0.99,1.0,0.2294,0.3324,-0.3324
1.005,1.0,1.01,0.1952,0.2444,-0.2444
1.0150000000000001,1.01,1.02,0.1668,0.2023,-0.2023
1.025,1.02,1.03,0.147,0.177,-0.177
1.0350000000000001,1.03,1.04,0.1349,0.1616,-0.1616
1.045,1.04,1.05,0.1292,0.153,-0.153
1.0550000000000002,1.05,1.06,0.1289,0.1492,-0.1492
1.065,1.06,1.07,0.1329,0.1488,-0.1488
1.0750000000000002,1.07,1.08,0.1404,0.151,-0.151
1.085,1.08,1.09,0.1508,0.1549,-0.1549
1.0950000000000002,1.09,1.1,0.1634,0.1601,-0.1601
1.105,1.1,1.11,0.1775,0.1662,-0.1662
1.1150000000000002,1.11,1.12,0.1927,0.1728,-0.1728
1.125,1.12,1.13,0.2083,0.1799,-0.1799
1.1349999999999998,1.13,1.14,0.224,0.1871,-0.1871
1.145,1.14,1.15,0.2393,0.1945,-0.1945
1.1549999999999998,1.15,1.16,0.2538,0.2017,-0.2017
1.165,1.16,1.17,0.2671,0.2087,-0.2087
1.1749999999999998,1.17,1.18,0.2788,0.2154,-0.2154
1.185,1.18,1.19,0.2888,0.2216,-0.2216
1.1949999999999998,1.19,1.2,0.2967,0.2273,-0.2273
1.205,1.2,1.21,0.3024,0.2324,-0.2324
1.2149999999999999,1.21,1.22,0.3056,0.2368,-0.2368
1.225,1.22,1.23,0.3062,0.2403,-0.2403
1.2349999999999999,1.23,1.24,0.3042,0.243,-0.243
1.245,1.24,1.25,0.2995,0.2449,-0.2449
1.255,1.25,1.26,0.2922,0.2457,-0.2457
1.2650000000000001,1.26,1.27,0.2824,0.2456,-0.2456
1.275,1.27,1.28,0.2702,0.2445,-0.2445
1.2850000000000001,1.28,1.29,0.2559,0.2424,-0.2424
1.295,1.29,1.3,0.2399,0.2393,-0.2393
1.3050000000000002,1.3,1.31,0.2225,0.2354,-0.2354
1.315,1.31,1.32,0.2043,0.2306,-0.2306
1.3250000000000002,1.32,1.33,0.1858,0.2252,-0.2252
1.335,1.33,1.34,0.1678,0.2194,-0.2194
1.3450000000000002,1.34,1.35,0.1511,0.2136,-0.2136
1.355,1.35,1.36,0.1366,0.2083,-0.2083
1.3650000000000002,1.36,1.37,0.1254,0.2046,-0.2046
1.375,1.37,1.38,0.1187,0.205,-0.205
1.3849999999999998,1.38,1.39,0.1178,0.2129,-0.2129
1.395,1.39,1.4,0.1243,0.2297,-0.2297

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0781,0.0741,-0.0741
0.415,0.41,0.42,0.0851,0.0788,-0.0788
0.425,0.42,0.43,0.0927,0.0835,-0.0835
0.435,0.43,0.44,0.1008,0.0879,-0.0879
0.445,0.44,0.45,0.1091,0.092,-0.092
0.455,0.45,0.46,0.1172,0.0956,-0.0956
0.46499999999999997,0.46,0.47,0.125,0.0987,-0.0987
