#: table_doi: 10.17182/hepdata.74824.v1/t119
#: name: Table 119
#: description: Pp wave cross section for -T.

#: data_file: Table119.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
0.685,0.68,0.69,1.1305,0.3439,-0.3439
0.695,0.69,0.7,1.3166,0.3755,-0.3755
0.705,0.7,0.71,1.5251,0.408,-0.408
0.715,0.71,0.72,1.7497,0.4397,-0.4397
0.725,0.72,0.73,1.9775,0.4677,-0.4677
0.735,0.73,0.74,2.1882,0.4884,-0.4884
0.745,0.74,0.75,2.3557,0.498,-0.498
0.755,0.75,0.76,2.4547,0.4938,-0.4938
0.765,0.76,0.77,2.469,0.4755,-0.4755
0.775,0.77,0.78,2.3987,0.4455,-0.4455
0.785,0.78,0.79,2.2593,0.4083,-0.4083
0.795,0.79,0.8,2.075,0.3685,-0.3685
0.805,0.8,0.81,1.8701,0.33,-0.33
0.815,0.81,0.82,1.6641,0.2952,-0.2952
0.825,0.82,0.83,1.4693,0.2652,-0.2652
0.835,0.83,0.84,1.2923,0.2398,-0.2398
0.845,0.84,0.85,1.1353,0.2189,-0.2189
0.855,0.85,0.86,0.9983,0.2016,-0.2016
0.865,0.86,0.87,0.8796,0.1873,-0.1873
0.875,0.87,0.88,0.7774,0.1754,-0.1754
0.885,0.88,0.89,0.6894,0.1653,-0.1653
0.895,0.89,0.9,0.6137,0.1567,-0.1567
0.905,0.9,0.91,0.5485,0.1492,-0.1492
0.915,0.91,0.92,0.4922,0.1426,-0.1426
0.925,0.92,0.93,0.4435,0.1367,-0.1367
0.935,0.93,0.94,0.4013,0.1313,-0.1313
0.945,0.94,0.95,0.3647,0.1263,-0.1263
0.955,0.95,0.96,0.3328,0.1216,-0.1216
0.965,0.96,0.97,0.305,0.1172,-0.1172
0.975,0.97,0.98,0.2807,0.1131,-0.1131
0.985,0.98,0.99,0.2595,0.1092,-0.1092
0.995,0.99,1.0,0.241,0.1055,-0.1055
1.005,1.0,1.01,0.2249,0.102,-0.102
1.0150000000000001,1.01,1.02,0.2108,0.0987,-0.0987
1.025,1.02,1.03,0.1985,0.0957,-0.0957
1.0350000000000001,1.03,1.04,0.1878,0.093,-0.093
1.045,1.04,1.05,0.1785,0.0905,-0.0905
1.0550000000000002,1.05,1.06,0.1705,0.0884,-0.0884
1.065,1.06,1.07,0.1636,0.0867,-0.0867
1.0750000000000002,1.07,1.08,0.1578,0.0853,-0.0853
1.085,1.08,1.09,0.1528,0.0844,-0.0844
1.0950000000000002,1.09,1.1,0.1486,0.0838,-0.0838
