#: table_doi: 10.17182/hepdata.74824.v1/t182
#: name: Table 182
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table182.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.585,0.58,0.59,0.0338,0.0272,-0.0272
0.595,0.59,0.6,0.0346,0.0291,-0.0291
0.605,0.6,0.61,0.0348,0.031,-0.031
0.615,0.61,0.62,0.0343,0.0328,-0.0328
0.625,0.62,0.63,0.0332,0.0344,-0.0344
0.635,0.63,0.64,0.0313,0.0357,-0.0357
0.645,0.64,0.65,0.0286,0.0367,-0.0367
0.655,0.65,0.66,0.0251,0.0373,-0.0373
0.665,0.66,0.67,0.0208,0.0375,-0.0375
0.675,0.67,0.68,0.0157,0.0373,-0.0373
0.685,0.68,0.69,0.0098,0.0366,-0.0366
0.695,0.69,0.7,0.0031,0.0355,-0.0355
0.705,0.7,0.71,-0.0041,0.0341,-0.0341
0.715,0.71,0.72,-0.0119,0.0324,-0.0324
0.725,0.72,0.73,-0.0201,0.0306,-0.0306
0.735,0.73,0.74,-0.0286,0.0288,-0.0288
0.745,0.74,0.75,-0.0372,0.027,-0.027
0.755,0.75,0.76,-0.0457,0.0252,-0.0252
0.765,0.76,0.77,-0.0541,0.0236,-0.0236
0.775,0.77,0.78,-0.0622,0.0222,-0.0222
0.785,0.78,0.79,-0.0699,0.0212,-0.0212
0.795,0.79,0.8,-0.0771,0.0204,-0.0204
0.805,0.8,0.81,-0.0836,0.0199,-0.0199
0.815,0.81,0.82,-0.0895,0.0196,-0.0196
0.825,0.82,0.83,-0.0947,0.0193,-0.0193
0.835,0.83,0.84,-0.099,0.0192,-0.0192
0.845,0.84,0.85,-0.1027,0.0191,-0.0191
0.855,0.85,0.86,-0.1055,0.0189,-0.0189
0.865,0.86,0.87,-0.1077,0.0188,-0.0188
0.875,0.87,0.88,-0.1091,0.0186,-0.0186
0.885,0.88,0.89,-0.1098,0.0184,-0.0184
0.895,0.89,0.9,-0.11,0.0182,-0.0182
0.905,0.9,0.91,-0.1096,0.0178,-0.0178
0.915,0.91,0.92,-0.1088,0.0175,-0.0175
0.925,0.92,0.93,-0.1076,0.017,-0.017
0.935,0.93,0.94,-0.1061,0.0166,-0.0166
0.945,0.94,0.95,-0.1044,0.0161,-0.0161
0.955,0.95,0.96,-0.1028,0.0156,-0.0156
0.965,0.96,0.97,-0.1015,0.0151,-0.0151
0.975,0.97,0.98,-0.1017,0.015,-0.015
0.985,0.98,0.99,-0.1092,0.0168,-0.0168
0.995,0.99,1.0,-0.1084,0.0174,-0.0174
1.005,1.0,1.01,-0.109,0.0167,-0.0167
1.0150000000000001,1.01,1.02,-0.1107,0.0168,-0.0168
1.025,1.02,1.03,-0.1123,0.017,-0.017
1.0350000000000001,1.03,1.04,-0.1135,0.0175,-0.0175
1.045,1.04,1.05,-0.1144,0.018,-0.018
1.0550000000000002,1.05,1.06,-0.1149,0.0187,-0.0187
1.065,1.06,1.07,-0.115,0.0194,-0.0194
1.0750000000000002,1.07,1.08,-0.1146,0.0203,-0.0203
1.085,1.08,1.09,-0.1138,0.0211,-0.0211
1.0950000000000002,1.09,1.1,-0.1127,0.022,-0.022
1.105,1.1,1.11,-0.1111,0.0228,-0.0228
1.1150000000000002,1.11,1.12,-0.1093,0.0235,-0.0235
1.125,1.12,1.13,-0.1071,0.024,-0.024
1.1349999999999998,1.13,1.14,-0.1046,0.0243,-0.0243
1.145,1.14,1.15,-0.102,0.0244,-0.0244
1.1549999999999998,1.15,1.16,-0.0991,0.0242,-0.0242
1.165,1.16,1.17,-0.0961,0.0236,-0.0236
1.1749999999999998,1.17,1.18,-0.0931,0.0228,-0.0228
1.185,1.18,1.19,-0.09,0.0216,-0.0216
1.1949999999999998,1.19,1.2,-0.0871,0.0202,-0.0202
1.205,1.2,1.21,-0.0845,0.0186,-0.0186
1.2149999999999999,1.21,1.22,-0.0823,0.0169,-0.0169
1.225,1.22,1.23,-0.0807,0.0154,-0.0154
1.2349999999999999,1.23,1.24,-0.0799,0.0141,-0.0141
