#: table_doi: 10.17182/hepdata.74824.v1/t140
#: name: Table 140
#: description: Dp wave cross section for -T.

#: data_file: Table140.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
0.915,0.91,0.92,0.2936,0.1842,-0.1842
0.925,0.92,0.93,0.2909,0.1838,-0.1838
0.935,0.93,0.94,0.2876,0.1829,-0.1829
0.945,0.94,0.95,0.2837,0.1814,-0.1814
0.955,0.95,0.96,0.2793,0.1793,-0.1793
0.965,0.96,0.97,0.2744,0.1765,-0.1765
0.975,0.97,0.98,0.269,0.1732,-0.1732
0.985,0.98,0.99,0.2631,0.1693,-0.1693
0.995,0.99,1.0,0.2569,0.1648,-0.1648
1.005,1.0,1.01,0.2503,0.1597,-0.1597
1.0150000000000001,1.01,1.02,0.2434,0.1541,-0.1541
1.025,1.02,1.03,0.2363,0.1481,-0.1481
1.0350000000000001,1.03,1.04,0.229,0.1418,-0.1418
1.045,1.04,1.05,0.2217,0.1353,-0.1353
1.0550000000000002,1.05,1.06,0.2144,0.1288,-0.1288
1.065,1.06,1.07,0.2073,0.1225,-0.1225
1.0750000000000002,1.07,1.08,0.2004,0.1167,-0.1167
1.085,1.08,1.09,0.1941,0.1118,-0.1118
1.0950000000000002,1.09,1.1,0.1884,0.1081,-0.1081
1.105,1.1,1.11,0.1835,0.1061,-0.1061
1.1150000000000002,1.11,1.12,0.1799,0.1059,-0.1059
1.125,1.12,1.13,0.1777,0.1076,-0.1076
1.1349999999999998,1.13,1.14,0.1773,0.1112,-0.1112
1.145,1.14,1.15,0.179,0.1163,-0.1163
1.1549999999999998,1.15,1.16,0.1834,0.1223,-0.1223
1.165,1.16,1.17,0.1909,0.1287,-0.1287
1.1749999999999998,1.17,1.18,0.2019,0.1348,-0.1348
1.185,1.18,1.19,0.2169,0.1402,-0.1402
1.1949999999999998,1.19,1.2,0.2362,0.1445,-0.1445
1.205,1.2,1.21,0.2598,0.148,-0.148
1.2149999999999999,1.21,1.22,0.2874,0.1514,-0.1514
1.225,1.22,1.23,0.318,0.1568,-0.1568
1.2349999999999999,1.23,1.24,0.3499,0.1668,-0.1668
1.245,1.24,1.25,0.3806,0.1838,-0.1838
1.255,1.25,1.26,0.4069,0.208,-0.208
1.2650000000000001,1.26,1.27,0.4256,0.2372,-0.2372
1.275,1.27,1.28,0.434,0.2672,-0.2672
1.2850000000000001,1.28,1.29,0.4308,0.2936,-0.2936
1.295,1.29,1.3,0.4164,0.3128,-0.3128
1.3050000000000002,1.3,1.31,0.3926,0.323,-0.323
1.315,1.31,1.32,0.3624,0.3243,-0.3243
1.3250000000000002,1.32,1.33,0.3289,0.3179,-0.3179
1.335,1.33,1.34,0.2952,0.306,-0.306
1.3450000000000002,1.34,1.35,0.2634,0.2912,-0.2912
1.355,1.35,1.36,0.2356,0.2753,-0.2753
1.3650000000000002,1.36,1.37,0.2127,0.2597,-0.2597
1.375,1.37,1.38,0.1958,0.2456,-0.2456
1.3849999999999998,1.38,1.39,0.1852,0.234,-0.234
1.395,1.39,1.4,0.1814,0.2262,-0.2262

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1157,0.0433,-0.0433
0.415,0.41,0.42,0.1107,0.0416,-0.0416
0.425,0.42,0.43,0.1066,0.0402,-0.0402
0.435,0.43,0.44,0.1034,0.0391,-0.0391
0.445,0.44,0.45,0.1011,0.0381,-0.0381
0.455,0.45,0.46,0.0997,0.0374,-0.0374
0.46499999999999997,0.46,0.47,0.099,0.0369,-0.0369
0.475,0.47,0.48,0.099,0.0367,-0.0367
0.485,0.48,0.49,0.0998,0.0366,-0.0366
0.495,0.49,0.5,0.1011,0.0367,-0.0367
0.505,0.5,0.51,0.1031,0.037,-0.037
0.515,0.51,0.52,0.1056,0.0375,-0.0375
0.525,0.52,0.53,0.1086,0.0381,-0.0381
