#: table_doi: 10.17182/hepdata.74824.v1/t114
#: name: Table 114
#: description: P0 wave cross section for -T.

#: data_file: Table114.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=p0wave) [MUB/GEV**3]",error +,error -
0.805,0.8,0.81,0.6079,0.1688,-0.1688
0.815,0.81,0.82,0.509,0.1473,-0.1473
0.825,0.82,0.83,0.4226,0.1291,-0.1291
0.835,0.83,0.84,0.3495,0.1142,-0.1142
0.845,0.84,0.85,0.2892,0.1021,-0.1021
0.855,0.85,0.86,0.2402,0.0925,-0.0925
0.865,0.86,0.87,0.201,0.0849,-0.0849
0.875,0.87,0.88,0.1699,0.0789,-0.0789
0.885,0.88,0.89,0.1457,0.0742,-0.0742
0.895,0.89,0.9,0.127,0.0706,-0.0706
0.905,0.9,0.91,0.1129,0.0679,-0.0679
0.915,0.91,0.92,0.1027,0.0659,-0.0659
0.925,0.92,0.93,0.0955,0.0646,-0.0646
0.935,0.93,0.94,0.091,0.0639,-0.0639
0.945,0.94,0.95,0.0885,0.0637,-0.0637
0.955,0.95,0.96,0.0878,0.0639,-0.0639
0.965,0.96,0.97,0.0885,0.0646,-0.0646
0.975,0.97,0.98,0.0904,0.0656,-0.0656
0.985,0.98,0.99,0.0932,0.0669,-0.0669
0.995,0.99,1.0,0.0968,0.0684,-0.0684
1.005,1.0,1.01,0.101,0.0703,-0.0703
1.0150000000000001,1.01,1.02,0.1057,0.0723,-0.0723
1.025,1.02,1.03,0.1106,0.0745,-0.0745
1.0350000000000001,1.03,1.04,0.1159,0.0768,-0.0768
1.045,1.04,1.05,0.1212,0.0793,-0.0793
1.0550000000000002,1.05,1.06,0.1266,0.0819,-0.0819
1.065,1.06,1.07,0.1319,0.0846,-0.0846
1.0750000000000002,1.07,1.08,0.1372,0.0873,-0.0873
1.085,1.08,1.09,0.1422,0.0902,-0.0902
1.0950000000000002,1.09,1.1,0.147,0.093,-0.093
1.105,1.1,1.11,0.1515,0.0959,-0.0959
1.1150000000000002,1.11,1.12,0.1557,0.0988,-0.0988
1.125,1.12,1.13,0.1594,0.1018,-0.1018
1.1349999999999998,1.13,1.14,0.1628,0.1047,-0.1047
1.145,1.14,1.15,0.1656,0.1076,-0.1076
1.1549999999999998,1.15,1.16,0.168,0.1106,-0.1106
1.165,1.16,1.17,0.1698,0.1135,-0.1135
1.1749999999999998,1.17,1.18,0.1711,0.1164,-0.1164
1.185,1.18,1.19,0.1718,0.1192,-0.1192
1.1949999999999998,1.19,1.2,0.172,0.122,-0.122
1.205,1.2,1.21,0.1716,0.1247,-0.1247
1.2149999999999999,1.21,1.22,0.1707,0.1273,-0.1273
1.225,1.22,1.23,0.1693,0.1299,-0.1299
1.2349999999999999,1.23,1.24,0.1673,0.1323,-0.1323
1.245,1.24,1.25,0.1649,0.1345,-0.1345
1.255,1.25,1.26,0.1621,0.1366,-0.1366
1.2650000000000001,1.26,1.27,0.1589,0.1384,-0.1384
1.275,1.27,1.28,0.1554,0.14,-0.14
1.2850000000000001,1.28,1.29,0.1517,0.1414,-0.1414
1.295,1.29,1.3,0.148,0.1425,-0.1425
1.3050000000000002,1.3,1.31,0.1442,0.1434,-0.1434
1.315,1.31,1.32,0.1406,0.144,-0.144
1.3250000000000002,1.32,1.33,0.1373,0.1445,-0.1445
1.335,1.33,1.34,0.1345,0.1449,-0.1449
1.3450000000000002,1.34,1.35,0.1323,0.1454,-0.1454
1.355,1.35,1.36,0.1309,0.1463,-0.1463
1.3650000000000002,1.36,1.37,0.1306,0.1477,-0.1477
1.375,1.37,1.38,0.1316,0.1501,-0.1501
1.3849999999999998,1.38,1.39,0.1342,0.154,-0.154
1.395,1.39,1.4,0.1387,0.1597,-0.1597

#: -T [GeV^2],,,0.9-1.0
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
