#: table_doi: 10.17182/hepdata.74824.v1/t181
#: name: Table 181
#: description: Spin density matrix elements for the P-wave for -T.

#: data_file: Table181.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=1-1)",error +,error -
0.675,0.67,0.68,-0.0009,0.0081,-0.0081
0.685,0.68,0.69,-0.0114,0.0081,-0.0081
0.695,0.69,0.7,-0.0222,0.0082,-0.0082
0.705,0.7,0.71,-0.0329,0.0086,-0.0086
0.715,0.71,0.72,-0.0436,0.009,-0.009
0.725,0.72,0.73,-0.054,0.0095,-0.0095
0.735,0.73,0.74,-0.0639,0.0098,-0.0098
0.745,0.74,0.75,-0.0735,0.01,-0.01
0.755,0.75,0.76,-0.0824,0.01,-0.01
0.765,0.76,0.77,-0.0907,0.0099,-0.0099
0.775,0.77,0.78,-0.0983,0.0096,-0.0096
0.785,0.78,0.79,-0.1051,0.0092,-0.0092
0.795,0.79,0.8,-0.1113,0.0088,-0.0088
0.805,0.8,0.81,-0.1167,0.0082,-0.0082
0.815,0.81,0.82,-0.1213,0.0077,-0.0077
0.825,0.82,0.83,-0.1252,0.0073,-0.0073
0.835,0.83,0.84,-0.1283,0.0071,-0.0071
0.845,0.84,0.85,-0.1308,0.0073,-0.0073
0.855,0.85,0.86,-0.1325,0.008,-0.008
0.865,0.86,0.87,-0.1335,0.009,-0.009
0.875,0.87,0.88,-0.1339,0.0103,-0.0103
0.885,0.88,0.89,-0.1337,0.0119,-0.0119
0.895,0.89,0.9,-0.1328,0.0137,-0.0137
0.905,0.9,0.91,-0.1313,0.0155,-0.0155
0.915,0.91,0.92,-0.1292,0.0174,-0.0174
0.925,0.92,0.93,-0.1266,0.0193,-0.0193
0.935,0.93,0.94,-0.1234,0.0211,-0.0211
0.945,0.94,0.95,-0.1197,0.0227,-0.0227
0.955,0.95,0.96,-0.1154,0.0241,-0.0241
0.965,0.96,0.97,-0.1108,0.0252,-0.0252
0.975,0.97,0.98,-0.106,0.026,-0.026
0.985,0.98,0.99,-0.1043,0.027,-0.027
0.995,0.99,1.0,-0.1044,0.029,-0.029
1.005,1.0,1.01,-0.0992,0.0288,-0.0288
1.0150000000000001,1.01,1.02,-0.096,0.0289,-0.0289
1.025,1.02,1.03,-0.0934,0.029,-0.029
1.0350000000000001,1.03,1.04,-0.0911,0.029,-0.029
1.045,1.04,1.05,-0.0891,0.0288,-0.0288
1.0550000000000002,1.05,1.06,-0.0873,0.0285,-0.0285
1.065,1.06,1.07,-0.0858,0.0279,-0.0279
1.0750000000000002,1.07,1.08,-0.0845,0.0271,-0.0271
1.085,1.08,1.09,-0.0834,0.0261,-0.0261
1.0950000000000002,1.09,1.1,-0.0825,0.025,-0.025
1.105,1.1,1.11,-0.0817,0.0237,-0.0237
1.1150000000000002,1.11,1.12,-0.0811,0.0224,-0.0224
1.125,1.12,1.13,-0.0806,0.021,-0.021
1.1349999999999998,1.13,1.14,-0.0801,0.0196,-0.0196
1.145,1.14,1.15,-0.0797,0.0183,-0.0183
1.1549999999999998,1.15,1.16,-0.0792,0.0171,-0.0171
1.165,1.16,1.17,-0.0787,0.0161,-0.0161
1.1749999999999998,1.17,1.18,-0.0782,0.0152,-0.0152
1.185,1.18,1.19,-0.0776,0.0146,-0.0146
1.1949999999999998,1.19,1.2,-0.0769,0.0142,-0.0142
1.205,1.2,1.21,-0.0762,0.0139,-0.0139
1.2149999999999999,1.21,1.22,-0.0755,0.0138,-0.0138
1.225,1.22,1.23,-0.0749,0.0137,-0.0137
1.2349999999999999,1.23,1.24,-0.0746,0.0136,-0.0136
1.245,1.24,1.25,-0.0746,0.0136,-0.0136
1.255,1.25,1.26,-0.0751,0.0135,-0.0135
1.2650000000000001,1.26,1.27,-0.0761,0.0135,-0.0135
1.275,1.27,1.28,-0.0776,0.0135,-0.0135
1.2850000000000001,1.28,1.29,-0.0796,0.0135,-0.0135
1.295,1.29,1.3,-0.0819,0.0134,-0.0134
1.3050000000000002,1.3,1.31,-0.0841,0.0133,-0.0133
1.315,1.31,1.32,-0.0861,0.0132,-0.0132
1.3250000000000002,1.32,1.33,-0.0875,0.013,-0.013
