#: table_doi: 10.17182/hepdata.74824.v1/t116
#: name: Table 116
#: description: Pp wave cross section for -T.

#: data_file: Table116.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=ppwave) [MUB/GEV**3]",error +,error -
0.775,0.77,0.78,12.0547,1.888,-1.888
0.785,0.78,0.79,11.435,1.8289,-1.8289
0.795,0.79,0.8,10.5731,1.7328,-1.7328
0.805,0.8,0.81,9.5903,1.6152,-1.6152
0.815,0.81,0.82,8.5849,1.4895,-1.4895
0.825,0.82,0.83,7.622,1.3651,-1.3651
0.835,0.83,0.84,6.7373,1.2476,-1.2476
0.845,0.84,0.85,5.9455,1.1397,-1.1397
0.855,0.85,0.86,5.2478,1.0421,-1.0421
0.865,0.86,0.87,4.6386,0.9545,-0.9545
0.875,0.87,0.88,4.1092,0.8761,-0.8761
0.885,0.88,0.89,3.6498,0.8059,-0.8059
0.895,0.89,0.9,3.2511,0.7428,-0.7428
0.905,0.9,0.91,2.9045,0.686,-0.686
0.915,0.91,0.92,2.6025,0.6345,-0.6345
0.925,0.92,0.93,2.3388,0.5876,-0.5876
0.935,0.93,0.94,2.1078,0.5447,-0.5447
0.945,0.94,0.95,1.9049,0.5052,-0.5052
0.955,0.95,0.96,1.7263,0.4689,-0.4689
0.965,0.96,0.97,1.5686,0.4354,-0.4354
0.975,0.97,0.98,1.429,0.4045,-0.4045
0.985,0.98,0.99,1.3053,0.3759,-0.3759
0.995,0.99,1.0,1.1954,0.3497,-0.3497
1.005,1.0,1.01,1.0977,0.3258,-0.3258
1.0150000000000001,1.01,1.02,1.0106,0.3042,-0.3042
1.025,1.02,1.03,0.9329,0.2849,-0.2849
1.0350000000000001,1.03,1.04,0.8636,0.268,-0.268
1.045,1.04,1.05,0.8017,0.2536,-0.2536
1.0550000000000002,1.05,1.06,0.7463,0.2417,-0.2417
1.065,1.06,1.07,0.6969,0.2323,-0.2323
1.0750000000000002,1.07,1.08,0.6527,0.2255,-0.2255
1.085,1.08,1.09,0.6132,0.221,-0.221
1.0950000000000002,1.09,1.1,0.5778,0.2188,-0.2188
1.105,1.1,1.11,0.5462,0.2185,-0.2185
1.1150000000000002,1.11,1.12,0.518,0.2198,-0.2198
1.125,1.12,1.13,0.4927,0.2223,-0.2223
1.1349999999999998,1.13,1.14,0.4702,0.2259,-0.2259
1.145,1.14,1.15,0.45,0.23,-0.23
1.1549999999999998,1.15,1.16,0.432,0.2344,-0.2344
1.165,1.16,1.17,0.416,0.2389,-0.2389
1.1749999999999998,1.17,1.18,0.4016,0.2432,-0.2432
1.185,1.18,1.19,0.3889,0.2472,-0.2472
1.1949999999999998,1.19,1.2,0.3775,0.2507,-0.2507
1.205,1.2,1.21,0.3674,0.2537,-0.2537
1.2149999999999999,1.21,1.22,0.3585,0.2561,-0.2561
1.225,1.22,1.23,0.3507,0.2578,-0.2578
1.2349999999999999,1.23,1.24,0.3439,0.2588,-0.2588
1.245,1.24,1.25,0.3382,0.2593,-0.2593
1.255,1.25,1.26,0.3334,0.2594,-0.2594
