#: table_doi: 10.17182/hepdata.74824.v1/t131
#: name: Table 131
#: description: Dm wave cross section for -T.

#: data_file: Table131.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
0.535,0.53,0.54,0.0798,0.0531,-0.0531
0.545,0.54,0.55,0.0834,0.0543,-0.0543
0.555,0.55,0.56,0.0869,0.0555,-0.0555
0.565,0.56,0.57,0.0903,0.0567,-0.0567
0.575,0.57,0.58,0.0937,0.058,-0.058
0.585,0.58,0.59,0.0969,0.0593,-0.0593
0.595,0.59,0.6,0.1001,0.0605,-0.0605
0.605,0.6,0.61,0.1031,0.0617,-0.0617
0.615,0.61,0.62,0.1059,0.0629,-0.0629
0.625,0.62,0.63,0.1085,0.064,-0.064
0.635,0.63,0.64,0.111,0.065,-0.065
0.645,0.64,0.65,0.1133,0.066,-0.066
0.655,0.65,0.66,0.1153,0.0669,-0.0669
0.665,0.66,0.67,0.1172,0.0677,-0.0677
0.675,0.67,0.68,0.1188,0.0684,-0.0684
0.685,0.68,0.69,0.1202,0.069,-0.069
0.695,0.69,0.7,0.1214,0.0695,-0.0695
0.705,0.7,0.71,0.1224,0.0698,-0.0698
0.715,0.71,0.72,0.1231,0.0701,-0.0701
0.725,0.72,0.73,0.1236,0.0703,-0.0703
0.735,0.73,0.74,0.1239,0.0704,-0.0704
0.745,0.74,0.75,0.1239,0.0704,-0.0704
0.755,0.75,0.76,0.1238,0.0703,-0.0703
0.765,0.76,0.77,0.1234,0.0702,-0.0702
0.775,0.77,0.78,0.1229,0.07,-0.07
0.785,0.78,0.79,0.1221,0.0697,-0.0697
0.795,0.79,0.8,0.1212,0.0694,-0.0694
0.805,0.8,0.81,0.1201,0.0691,-0.0691
0.815,0.81,0.82,0.1189,0.0687,-0.0687
0.825,0.82,0.83,0.1175,0.0683,-0.0683
0.835,0.83,0.84,0.116,0.068,-0.068
0.845,0.84,0.85,0.1144,0.0676,-0.0676
0.855,0.85,0.86,0.1128,0.0673,-0.0673
0.865,0.86,0.87,0.111,0.067,-0.067
0.875,0.87,0.88,0.1092,0.0668,-0.0668
0.885,0.88,0.89,0.1073,0.0666,-0.0666
0.895,0.89,0.9,0.1055,0.0665,-0.0665
0.905,0.9,0.91,0.1036,0.0665,-0.0665
0.915,0.91,0.92,0.1018,0.0665,-0.0665
0.925,0.92,0.93,0.1,0.0667,-0.0667
0.935,0.93,0.94,0.0982,0.0669,-0.0669
0.945,0.94,0.95,0.0966,0.0673,-0.0673
0.955,0.95,0.96,0.0951,0.0677,-0.0677
0.965,0.96,0.97,0.0937,0.0683,-0.0683
0.975,0.97,0.98,0.0925,0.0691,-0.0691
0.985,0.98,0.99,0.0915,0.07,-0.07
0.995,0.99,1.0,0.0907,0.071,-0.071
1.005,1.0,1.01,0.0902,0.0723,-0.0723
1.0150000000000001,1.01,1.02,0.09,0.0738,-0.0738
1.025,1.02,1.03,0.0901,0.0755,-0.0755
1.0350000000000001,1.03,1.04,0.0906,0.0775,-0.0775
1.045,1.04,1.05,0.0915,0.0797,-0.0797
1.0550000000000002,1.05,1.06,0.093,0.0823,-0.0823
1.065,1.06,1.07,0.0949,0.0852,-0.0852
1.0750000000000002,1.07,1.08,0.0975,0.0885,-0.0885
1.085,1.08,1.09,0.1008,0.0922,-0.0922
1.0950000000000002,1.09,1.1,0.1049,0.0963,-0.0963
1.105,1.1,1.11,0.1098,0.1008,-0.1008
1.1150000000000002,1.11,1.12,0.1157,0.1057,-0.1057
1.125,1.12,1.13,0.1227,0.1109,-0.1109
1.1349999999999998,1.13,1.14,0.1308,0.1166,-0.1166
1.145,1.14,1.15,0.1403,0.1225,-0.1225
1.1549999999999998,1.15,1.16,0.1513,0.1286,-0.1286
1.165,1.16,1.17,0.1637,0.1348,-0.1348
1.1749999999999998,1.17,1.18,0.1776,0.1408,-0.1408
1.185,1.18,1.19,0.193,0.1466,-0.1466
1.1949999999999998,1.19,1.2,0.2097,0.1519,-0.1519
1.205,1.2,1.21,0.2272,0.1563,-0.1563
1.2149999999999999,1.21,1.22,0.2448,0.1597,-0.1597
1.225,1.22,1.23,0.2614,0.162,-0.162
1.2349999999999999,1.23,1.24,0.2758,0.163,-0.163
1.245,1.24,1.25,0.2861,0.1632,-0.1632
1.255,1.25,1.26,0.2909,0.1628,-0.1628
1.2650000000000001,1.26,1.27,0.2887,0.1626,-0.1626
1.275,1.27,1.28,0.2792,0.1626,-0.1626
1.2850000000000001,1.28,1.29,0.2628,0.1627,-0.1627
1.295,1.29,1.3,0.2409,0.1625,-0.1625
1.3050000000000002,1.3,1.31,0.2155,0.1612,-0.1612
1.315,1.31,1.32,0.1889,0.1585,-0.1585
1.3250000000000002,1.32,1.33,0.163,0.1542,-0.1542
1.335,1.33,1.34,0.1391,0.1487,-0.1487
1.3450000000000002,1.34,1.35,0.1182,0.1425,-0.1425
1.355,1.35,1.36,0.1008,0.1361,-0.1361
1.3650000000000002,1.36,1.37,0.0871,0.1304,-0.1304
1.375,1.37,1.38,0.0771,0.1262,-0.1262
1.3849999999999998,1.38,1.39,0.0708,0.1244,-0.1244
1.395,1.39,1.4,0.0681,0.1259,-0.1259

#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=dmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0249,0.0212,-0.0212
0.415,0.41,0.42,0.0249,0.0216,-0.0216
0.425,0.42,0.43,0.025,0.0219,-0.0219
0.435,0.43,0.44,0.0252,0.0222,-0.0222
0.445,0.44,0.45,0.0255,0.0225,-0.0225
0.455,0.45,0.46,0.0259,0.0227,-0.0227
0.46499999999999997,0.46,0.47,0.0263,0.0229,-0.0229
0.475,0.47,0.48,0.0268,0.023,-0.023
0.485,0.48,0.49,0.0272,0.0232,-0.0232
0.495,0.49,0.5,0.0277,0.0234,-0.0234
0.505,0.5,0.51,0.0282,0.0235,-0.0235
0.515,0.51,0.52,0.0287,0.0237,-0.0237
0.525,0.52,0.53,0.0292,0.024,-0.024
0.535,0.53,0.54,0.0296,0.0243,-0.0243
0.545,0.54,0.55,0.03,0.0246,-0.0246
0.555,0.55,0.56,0.0304,0.025,-0.025
0.565,0.56,0.57,0.0307,0.0254,-0.0254
0.575,0.57,0.58,0.031,0.0259,-0.0259
0.585,0.58,0.59,0.0313,0.0263,-0.0263
0.595,0.59,0.6,0.0315,0.0269,-0.0269
0.605,0.6,0.61,0.0317,0.0274,-0.0274
0.615,0.61,0.62,0.0319,0.028,-0.028
0.625,0.62,0.63,0.032,0.0285,-0.0285
0.635,0.63,0.64,0.0322,0.0291,-0.0291
0.645,0.64,0.65,0.0323,0.0297,-0.0297
0.655,0.65,0.66,0.0324,0.0302,-0.0302
0.665,0.66,0.67,0.0325,0.0308,-0.0308
0.675,0.67,0.68,0.0327,0.0313,-0.0313
0.685,0.68,0.69,0.0328,0.0318,-0.0318
0.695,0.69,0.7,0.033,0.0323,-0.0323
0.705,0.7,0.71,0.0333,0.0328,-0.0328
0.715,0.71,0.72,0.0335,0.0333,-0.0333
0.725,0.72,0.73,0.0339,0.0337,-0.0337
0.735,0.73,0.74,0.0343,0.0342,-0.0342
0.745,0.74,0.75,0.0347,0.0346,-0.0346
0.755,0.75,0.76,0.0353,0.0351,-0.0351
0.765,0.76,0.77,0.036,0.0355,-0.0355
0.775,0.77,0.78,0.0367,0.0359,-0.0359
0.785,0.78,0.79,0.0376,0.0363,-0.0363
0.795,0.79,0.8,0.0386,0.0368,-0.0368
0.805,0.8,0.81,0.0397,0.0372,-0.0372
0.815,0.81,0.82,0.0409,0.0376,-0.0376
0.825,0.82,0.83,0.0423,0.0381,-0.0381
0.835,0.83,0.84,0.0438,0.0386,-0.0386
0.845,0.84,0.85,0.0454,0.0391,-0.0391
0.855,0.85,0.86,0.0472,0.0396,-0.0396
0.865,0.86,0.87,0.0491,0.0401,-0.0401
0.875,0.87,0.88,0.0512,0.0407,-0.0407
0.885,0.88,0.89,0.0535,0.0413,-0.0413
0.895,0.89,0.9,0.0558,0.042,-0.042
0.905,0.9,0.91,0.0583,0.0427,-0.0427
0.915,0.91,0.92,0.061,0.0435,-0.0435
0.925,0.92,0.93,0.0637,0.0444,-0.0444
0.935,0.93,0.94,0.0666,0.0454,-0.0454
0.945,0.94,0.95,0.0696,0.0465,-0.0465
0.955,0.95,0.96,0.0727,0.0477,-0.0477
0.965,0.96,0.97,0.0758,0.0491,-0.0491
0.975,0.97,0.98,0.0791,0.0507,-0.0507
0.985,0.98,0.99,0.0824,0.0524,-0.0524
0.995,0.99,1.0,0.0858,0.0544,-0.0544
1.005,1.0,1.01,0.0892,0.0567,-0.0567
1.0150000000000001,1.01,1.02,0.0927,0.0592,-0.0592
1.025,1.02,1.03,0.0962,0.062,-0.062
1.0350000000000001,1.03,1.04,0.0997,0.0651,-0.0651
1.045,1.04,1.05,0.1032,0.0685,-0.0685
1.0550000000000002,1.05,1.06,0.1067,0.0722,-0.0722
1.065,1.06,1.07,0.1102,0.0763,-0.0763
1.0750000000000002,1.07,1.08,0.1137,0.0808,-0.0808
1.085,1.08,1.09,0.1172,0.0856,-0.0856
1.0950000000000002,1.09,1.1,0.1208,0.0907,-0.0907
1.105,1.1,1.11,0.1243,0.0963,-0.0963
1.1150000000000002,1.11,1.12,0.128,0.1021,-0.1021
1.125,1.12,1.13,0.1317,0.1083,-0.1083
1.1349999999999998,1.13,1.14,0.1356,0.1148,-0.1148
1.145,1.14,1.15,0.1397,0.1215,-0.1215
1.1549999999999998,1.15,1.16,0.144,0.1284,-0.1284
1.165,1.16,1.17,0.1488,0.1354,-0.1354
1.1749999999999998,1.17,1.18,0.1539,0.1424,-0.1424
1.185,1.18,1.19,0.1595,0.1491,-0.1491
1.1949999999999998,1.19,1.2,0.1655,0.1552,-0.1552
1.205,1.2,1.21,0.172,0.1607,-0.1607
1.2149999999999999,1.21,1.22,0.1789,0.1649,-0.1649
1.225,1.22,1.23,0.1857,0.1677,-0.1677
1.2349999999999999,1.23,1.24,0.192,0.1686,-0.1686
1.245,1.24,1.25,0.1973,0.1676,-0.1676
1.255,1.25,1.26,0.2006,0.1644,-0.1644
1.2650000000000001,1.26,1.27,0.2013,0.1597,-0.1597
1.275,1.27,1.28,0.1988,0.1539,-0.1539
1.2850000000000001,1.28,1.29,0.1929,0.1481,-0.1481
1.295,1.29,1.3,0.1839,0.1427,-0.1427
1.3050000000000002,1.3,1.31,0.1722,0.1383,-0.1383
1.315,1.31,1.32,0.1588,0.1347,-0.1347
1.3250000000000002,1.32,1.33,0.1445,0.1315,-0.1315
1.335,1.33,1.34,0.13,0.1286,-0.1286
1.3450000000000002,1.34,1.35,0.1162,0.1257,-0.1257
1.355,1.35,1.36,0.1033,0.1226,-0.1226
1.3650000000000002,1.36,1.37,0.0919,0.1195,-0.1195
1.375,1.37,1.38,0.0823,0.1165,-0.1165
1.3849999999999998,1.38,1.39,0.0746,0.114,-0.114
1.395,1.39,1.4,0.069,0.1126,-0.1126

