#: table_doi: 10.17182/hepdata.74824.v1/t145
#: name: Table 145
#: description: F wave cross section for -T.

#: data_file: Table145.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.585,0.58,0.59,0.7434,0.3801,-0.3801
0.595,0.59,0.6,0.766,0.3914,-0.3914
0.605,0.6,0.61,0.7872,0.402,-0.402
0.615,0.61,0.62,0.8072,0.4119,-0.4119
0.625,0.62,0.63,0.8258,0.4212,-0.4212
0.635,0.63,0.64,0.8431,0.4296,-0.4296
0.645,0.64,0.65,0.859,0.4374,-0.4374
0.655,0.65,0.66,0.8736,0.4444,-0.4444
0.665,0.66,0.67,0.8868,0.4506,-0.4506
0.675,0.67,0.68,0.8987,0.4561,-0.4561
0.685,0.68,0.69,0.9092,0.4609,-0.4609
0.695,0.69,0.7,0.9183,0.4649,-0.4649
0.705,0.7,0.71,0.9261,0.4681,-0.4681
0.715,0.71,0.72,0.9326,0.4706,-0.4706
0.725,0.72,0.73,0.9377,0.4724,-0.4724
0.735,0.73,0.74,0.9416,0.4734,-0.4734
0.745,0.74,0.75,0.9442,0.4736,-0.4736
0.755,0.75,0.76,0.9455,0.4732,-0.4732
0.765,0.76,0.77,0.9456,0.472,-0.472
0.775,0.77,0.78,0.9445,0.4702,-0.4702
0.785,0.78,0.79,0.9423,0.4676,-0.4676
0.795,0.79,0.8,0.939,0.4644,-0.4644
0.805,0.8,0.81,0.9346,0.4605,-0.4605
0.815,0.81,0.82,0.9291,0.4559,-0.4559
0.825,0.82,0.83,0.9227,0.4507,-0.4507
0.835,0.83,0.84,0.9153,0.4449,-0.4449
0.845,0.84,0.85,0.907,0.4385,-0.4385
0.855,0.85,0.86,0.8978,0.4315,-0.4315
0.865,0.86,0.87,0.8879,0.4239,-0.4239
0.875,0.87,0.88,0.8773,0.4158,-0.4158
0.885,0.88,0.89,0.8659,0.4072,-0.4072
0.895,0.89,0.9,0.8539,0.398,-0.398
0.905,0.9,0.91,0.8414,0.3884,-0.3884
0.915,0.91,0.92,0.8284,0.3783,-0.3783
0.925,0.92,0.93,0.815,0.3679,-0.3679
0.935,0.93,0.94,0.8012,0.357,-0.357
0.945,0.94,0.95,0.7872,0.3457,-0.3457
0.955,0.95,0.96,0.7729,0.3341,-0.3341
0.965,0.96,0.97,0.7586,0.3222,-0.3222
0.975,0.97,0.98,0.7441,0.31,-0.31
0.985,0.98,0.99,0.7297,0.2976,-0.2976
0.995,0.99,1.0,0.7155,0.285,-0.285
1.005,1.0,1.01,0.7015,0.2723,-0.2723
1.0150000000000001,1.01,1.02,0.6877,0.2594,-0.2594
1.025,1.02,1.03,0.6744,0.2466,-0.2466
1.0350000000000001,1.03,1.04,0.6615,0.2338,-0.2338
1.045,1.04,1.05,0.6492,0.2211,-0.2211
1.0550000000000002,1.05,1.06,0.6377,0.2087,-0.2087
1.065,1.06,1.07,0.6269,0.1966,-0.1966
1.0750000000000002,1.07,1.08,0.617,0.1851,-0.1851
1.085,1.08,1.09,0.6081,0.1743,-0.1743
1.0950000000000002,1.09,1.1,0.6004,0.1645,-0.1645
1.105,1.1,1.11,0.5939,0.156,-0.156
1.1150000000000002,1.11,1.12,0.5887,0.149,-0.149
1.125,1.12,1.13,0.585,0.144,-0.144
1.1349999999999998,1.13,1.14,0.5829,0.1412,-0.1412
1.145,1.14,1.15,0.5825,0.141,-0.141
1.1549999999999998,1.15,1.16,0.584,0.1435,-0.1435
1.165,1.16,1.17,0.5874,0.1487,-0.1487
1.1749999999999998,1.17,1.18,0.593,0.1565,-0.1565
1.185,1.18,1.19,0.6008,0.1667,-0.1667
1.1949999999999998,1.19,1.2,0.611,0.1792,-0.1792
1.205,1.2,1.21,0.6237,0.1936,-0.1936
1.2149999999999999,1.21,1.22,0.6391,0.2098,-0.2098
1.225,1.22,1.23,0.6573,0.2277,-0.2277
1.2349999999999999,1.23,1.24,0.6785,0.247,-0.247
1.245,1.24,1.25,0.7028,0.2678,-0.2678
1.255,1.25,1.26,0.7304,0.29,-0.29
1.2650000000000001,1.26,1.27,0.7615,0.3135,-0.3135
1.275,1.27,1.28,0.7962,0.3384,-0.3384
1.2850000000000001,1.28,1.29,0.8347,0.3647,-0.3647
1.295,1.29,1.3,0.8771,0.3925,-0.3925
1.3050000000000002,1.3,1.31,0.9237,0.4218,-0.4218
1.315,1.31,1.32,0.9745,0.4527,-0.4527
1.3250000000000002,1.32,1.33,1.0299,0.4852,-0.4852
1.335,1.33,1.34,1.0899,0.5195,-0.5195
1.3450000000000002,1.34,1.35,1.1548,0.5556,-0.5556
1.355,1.35,1.36,1.2247,0.5936,-0.5936
1.3650000000000002,1.36,1.37,1.2999,0.6337,-0.6337
1.375,1.37,1.38,1.3805,0.6759,-0.6759
1.3849999999999998,1.38,1.39,1.4667,0.7203,-0.7203
1.395,1.39,1.4,1.5588,0.7671,-0.7671

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.2044,0.1111,-0.1111
0.415,0.41,0.42,0.2356,0.1277,-0.1277
0.425,0.42,0.43,0.2679,0.1447,-0.1447
0.435,0.43,0.44,0.3009,0.1621,-0.1621
0.445,0.44,0.45,0.3346,0.1796,-0.1796
0.455,0.45,0.46,0.3686,0.1971,-0.1971
0.46499999999999997,0.46,0.47,0.4029,0.2146,-0.2146
0.475,0.47,0.48,0.4371,0.232,-0.232
0.485,0.48,0.49,0.4713,0.2491,-0.2491
0.495,0.49,0.5,0.5051,0.2658,-0.2658
0.505,0.5,0.51,0.5385,0.2822,-0.2822
0.515,0.51,0.52,0.5714,0.2981,-0.2981
0.525,0.52,0.53,0.6037,0.3135,-0.3135
0.535,0.53,0.54,0.6353,0.3283,-0.3283
0.545,0.54,0.55,0.6661,0.3424,-0.3424
0.555,0.55,0.56,0.6959,0.3559,-0.3559
0.565,0.56,0.57,0.7249,0.3687,-0.3687
0.575,0.57,0.58,0.7528,0.3807,-0.3807
0.585,0.58,0.59,0.7797,0.392,-0.392
0.595,0.59,0.6,0.8055,0.4025,-0.4025
0.605,0.6,0.61,0.8302,0.4121,-0.4121
0.615,0.61,0.62,0.8536,0.421,-0.421
0.625,0.62,0.63,0.8759,0.429,-0.429
0.635,0.63,0.64,0.897,0.4361,-0.4361
0.645,0.64,0.65,0.9168,0.4425,-0.4425
0.655,0.65,0.66,0.9354,0.4479,-0.4479
0.665,0.66,0.67,0.9527,0.4525,-0.4525
0.675,0.67,0.68,0.9687,0.4562,-0.4562
0.685,0.68,0.69,0.9835,0.459,-0.459
0.695,0.69,0.7,0.997,0.4611,-0.4611
0.705,0.7,0.71,1.0092,0.4622,-0.4622
0.715,0.71,0.72,1.0201,0.4625,-0.4625
0.725,0.72,0.73,1.0298,0.462,-0.462
0.735,0.73,0.74,1.0382,0.4607,-0.4607
0.745,0.74,0.75,1.0454,0.4586,-0.4586
0.755,0.75,0.76,1.0514,0.4557,-0.4557
0.765,0.76,0.77,1.0561,0.4521,-0.4521
0.775,0.77,0.78,1.0597,0.4477,-0.4477
0.785,0.78,0.79,1.0621,0.4426,-0.4426
0.795,0.79,0.8,1.0633,0.4368,-0.4368
0.805,0.8,0.81,1.0635,0.4304,-0.4304
0.815,0.81,0.82,1.0626,0.4233,-0.4233
0.825,0.82,0.83,1.0606,0.4156,-0.4156
0.835,0.83,0.84,1.0576,0.4073,-0.4073
0.845,0.84,0.85,1.0536,0.3985,-0.3985
0.855,0.85,0.86,1.0486,0.3893,-0.3893
0.865,0.86,0.87,1.0427,0.3795,-0.3795
0.875,0.87,0.88,1.036,0.3694,-0.3694
0.885,0.88,0.89,1.0284,0.3588,-0.3588
0.895,0.89,0.9,1.02,0.348,-0.348
0.905,0.9,0.91,1.0109,0.3369,-0.3369
0.915,0.91,0.92,1.0011,0.3256,-0.3256
0.925,0.92,0.93,0.9907,0.3141,-0.3141
0.935,0.93,0.94,0.9796,0.3026,-0.3026
0.945,0.94,0.95,0.9681,0.2911,-0.2911
0.955,0.95,0.96,0.956,0.2796,-0.2796
0.965,0.96,0.97,0.9435,0.2682,-0.2682
0.975,0.97,0.98,0.9306,0.2571,-0.2571
0.985,0.98,0.99,0.9174,0.2463,-0.2463
0.995,0.99,1.0,0.904,0.2359,-0.2359
1.005,1.0,1.01,0.8904,0.226,-0.226
1.0150000000000001,1.01,1.02,0.8767,0.2168,-0.2168
1.025,1.02,1.03,0.8629,0.2082,-0.2082
1.0350000000000001,1.03,1.04,0.8492,0.2005,-0.2005
1.045,1.04,1.05,0.8355,0.1936,-0.1936
1.0550000000000002,1.05,1.06,0.8221,0.1878,-0.1878
1.065,1.06,1.07,0.8088,0.1829,-0.1829
1.0750000000000002,1.07,1.08,0.796,0.1791,-0.1791
1.085,1.08,1.09,0.7835,0.1764,-0.1764
1.0950000000000002,1.09,1.1,0.7715,0.1746,-0.1746
1.105,1.1,1.11,0.7601,0.1739,-0.1739
1.1150000000000002,1.11,1.12,0.7493,0.174,-0.174
1.125,1.12,1.13,0.7393,0.1748,-0.1748
1.1349999999999998,1.13,1.14,0.7302,0.1762,-0.1762
1.145,1.14,1.15,0.722,0.1781,-0.1781
1.1549999999999998,1.15,1.16,0.7148,0.1804,-0.1804
1.165,1.16,1.17,0.7088,0.1829,-0.1829
1.1749999999999998,1.17,1.18,0.704,0.1856,-0.1856
1.185,1.18,1.19,0.7006,0.1883,-0.1883
1.1949999999999998,1.19,1.2,0.6985,0.191,-0.191
1.205,1.2,1.21,0.6981,0.1936,-0.1936
1.2149999999999999,1.21,1.22,0.6993,0.1961,-0.1961
1.225,1.22,1.23,0.7022,0.1986,-0.1986
1.2349999999999999,1.23,1.24,0.7071,0.2011,-0.2011
1.245,1.24,1.25,0.7139,0.2038,-0.2038
1.255,1.25,1.26,0.7229,0.2068,-0.2068
1.2650000000000001,1.26,1.27,0.7341,0.2102,-0.2102
1.275,1.27,1.28,0.7477,0.2145,-0.2145
1.2850000000000001,1.28,1.29,0.7638,0.2198,-0.2198
1.295,1.29,1.3,0.7825,0.2266,-0.2266
1.3050000000000002,1.3,1.31,0.8039,0.2352,-0.2352
1.315,1.31,1.32,0.8283,0.246,-0.246
1.3250000000000002,1.32,1.33,0.8556,0.2594,-0.2594
1.335,1.33,1.34,0.8861,0.2758,-0.2758
1.3450000000000002,1.34,1.35,0.92,0.2954,-0.2954
1.355,1.35,1.36,0.9572,0.3185,-0.3185
1.3650000000000002,1.36,1.37,0.9981,0.3453,-0.3453
1.375,1.37,1.38,1.0427,0.3759,-0.3759
1.3849999999999998,1.38,1.39,1.0912,0.4104,-0.4104
1.395,1.39,1.4,1.1437,0.449,-0.449

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1955,0.1288,-0.1288
0.415,0.41,0.42,0.2255,0.1484,-0.1484
0.425,0.42,0.43,0.2565,0.1687,-0.1687
0.435,0.43,0.44,0.2884,0.1894,-0.1894
0.445,0.44,0.45,0.3208,0.2105,-0.2105
