#: table_doi: 10.17182/hepdata.74824.v1/t137
#: name: Table 137
#: description: D0 wave cross section for -T.

#: data_file: Table137.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=d0wave) [MUB/GEV**3]",error +,error -
0.695,0.69,0.7,0.0466,0.0311,-0.0311
0.705,0.7,0.71,0.048,0.0315,-0.0315
0.715,0.71,0.72,0.0494,0.0318,-0.0318
0.725,0.72,0.73,0.0509,0.0321,-0.0321
0.735,0.73,0.74,0.0523,0.0324,-0.0324
0.745,0.74,0.75,0.0538,0.0327,-0.0327
0.755,0.75,0.76,0.0553,0.033,-0.033
0.765,0.76,0.77,0.0568,0.0334,-0.0334
0.775,0.77,0.78,0.0584,0.0338,-0.0338
0.785,0.78,0.79,0.0601,0.0344,-0.0344
0.795,0.79,0.8,0.0618,0.035,-0.035
0.805,0.8,0.81,0.0635,0.0358,-0.0358
0.815,0.81,0.82,0.0654,0.0367,-0.0367
0.825,0.82,0.83,0.0673,0.0379,-0.0379
0.835,0.83,0.84,0.0693,0.0392,-0.0392
0.845,0.84,0.85,0.0714,0.0407,-0.0407
0.855,0.85,0.86,0.0736,0.0425,-0.0425
0.865,0.86,0.87,0.0759,0.0445,-0.0445
0.875,0.87,0.88,0.0784,0.0468,-0.0468
0.885,0.88,0.89,0.0809,0.0492,-0.0492
0.895,0.89,0.9,0.0835,0.0519,-0.0519
0.905,0.9,0.91,0.0862,0.0549,-0.0549
0.915,0.91,0.92,0.0891,0.058,-0.058
0.925,0.92,0.93,0.092,0.0612,-0.0612
0.935,0.93,0.94,0.095,0.0646,-0.0646
0.945,0.94,0.95,0.0981,0.0682,-0.0682
0.955,0.95,0.96,0.1013,0.0718,-0.0718
0.965,0.96,0.97,0.1046,0.0755,-0.0755
0.975,0.97,0.98,0.1079,0.0793,-0.0793
0.985,0.98,0.99,0.1113,0.083,-0.083
0.995,0.99,1.0,0.1148,0.0867,-0.0867
1.005,1.0,1.01,0.1182,0.0904,-0.0904
