#: table_doi: 10.17182/hepdata.74824.v1/t195
#: name: Table 195
#: description: Spin density matrix elements for the interference between the S- and P-waves for -T.

#: data_file: Table195.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: RHO
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Photoproduction
#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10,SP-Interference)",error +,error -
0.845,0.84,0.85,-0.0466,0.0094,-0.0094
0.855,0.85,0.86,-0.0462,0.0104,-0.0104
0.865,0.86,0.87,-0.0457,0.0113,-0.0113
0.875,0.87,0.88,-0.0452,0.0123,-0.0123
0.885,0.88,0.89,-0.0446,0.0131,-0.0131
0.895,0.89,0.9,-0.0442,0.014,-0.014
0.905,0.9,0.91,-0.0439,0.0147,-0.0147
0.915,0.91,0.92,-0.0438,0.0155,-0.0155
0.925,0.92,0.93,-0.0441,0.0162,-0.0162
0.935,0.93,0.94,-0.0449,0.0168,-0.0168
0.945,0.94,0.95,-0.0463,0.0175,-0.0175
0.955,0.95,0.96,-0.0485,0.0182,-0.0182
0.965,0.96,0.97,-0.0516,0.0191,-0.0191
0.975,0.97,0.98,-0.055,0.0206,-0.0206
0.985,0.98,0.99,-0.0474,0.0254,-0.0254
0.995,0.99,1.0,-0.0213,0.0198,-0.0198
1.005,1.0,1.01,-0.0281,0.0172,-0.0172
1.0150000000000001,1.01,1.02,-0.0281,0.0169,-0.0169
1.025,1.02,1.03,-0.0263,0.017,-0.017
1.0350000000000001,1.03,1.04,-0.0238,0.0172,-0.0172
1.045,1.04,1.05,-0.021,0.0175,-0.0175
1.0550000000000002,1.05,1.06,-0.0181,0.0178,-0.0178
1.065,1.06,1.07,-0.0151,0.0182,-0.0182
1.0750000000000002,1.07,1.08,-0.0121,0.0185,-0.0185
1.085,1.08,1.09,-0.0092,0.019,-0.019
1.0950000000000002,1.09,1.1,-0.0064,0.0194,-0.0194
1.105,1.1,1.11,-0.0037,0.0199,-0.0199
1.1150000000000002,1.11,1.12,-0.0011,0.0204,-0.0204
1.125,1.12,1.13,0.0015,0.021,-0.021
1.1349999999999998,1.13,1.14,0.004,0.0216,-0.0216
1.145,1.14,1.15,0.0065,0.0222,-0.0222
1.1549999999999998,1.15,1.16,0.009,0.0229,-0.0229
1.165,1.16,1.17,0.0115,0.0236,-0.0236
1.1749999999999998,1.17,1.18,0.014,0.0243,-0.0243
1.185,1.18,1.19,0.0166,0.025,-0.025
1.1949999999999998,1.19,1.2,0.0192,0.0257,-0.0257
1.205,1.2,1.21,0.0218,0.0262,-0.0262
1.2149999999999999,1.21,1.22,0.0245,0.0266,-0.0266
1.225,1.22,1.23,0.027,0.0267,-0.0267
1.2349999999999999,1.23,1.24,0.0295,0.0266,-0.0266
1.245,1.24,1.25,0.0316,0.0261,-0.0261
1.255,1.25,1.26,0.0335,0.0252,-0.0252
1.2650000000000001,1.26,1.27,0.0349,0.0243,-0.0243
1.275,1.27,1.28,0.0359,0.0233,-0.0233
1.2850000000000001,1.28,1.29,0.0365,0.0225,-0.0225
1.295,1.29,1.3,0.0368,0.0222,-0.0222
1.3050000000000002,1.3,1.31,0.037,0.0223,-0.0223
1.315,1.31,1.32,0.0371,0.0226,-0.0226
1.3250000000000002,1.32,1.33,0.0372,0.0231,-0.0231
1.335,1.33,1.34,0.0376,0.0236,-0.0236
1.3450000000000002,1.34,1.35,0.0381,0.0241,-0.0241
1.355,1.35,1.36,0.0387,0.0246,-0.0246
1.3650000000000002,1.36,1.37,0.0395,0.0252,-0.0252
1.375,1.37,1.38,0.0404,0.026,-0.026
1.3849999999999998,1.38,1.39,0.0411,0.0271,-0.0271
1.395,1.39,1.4,0.0415,0.0287,-0.0287

#: -T [GeV^2],,,0.6-0.7
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"RHO(P=3_4,C=JJ=0,MM=10,SP-Interference)",error +,error -
0.405,0.4,0.41,0.0419,0.0163,-0.0163
0.415,0.41,0.42,0.0448,0.0197,-0.0197
0.425,0.42,0.43,0.0474,0.0235,-0.0235
0.435,0.43,0.44,0.0496,0.0269,-0.0269
0.445,0.44,0.45,0.0515,0.0299,-0.0299
0.455,0.45,0.46,0.0531,0.0323,-0.0323
0.46499999999999997,0.46,0.47,0.0544,0.0339,-0.0339
0.475,0.47,0.48,0.0554,0.0347,-0.0347
0.485,0.48,0.49,0.0561,0.0347,-0.0347
0.495,0.49,0.5,0.0566,0.0341,-0.0341
0.505,0.5,0.51,0.0568,0.0327,-0.0327
0.515,0.51,0.52,0.0566,0.0308,-0.0308
0.525,0.52,0.53,0.0562,0.0284,-0.0284
0.535,0.53,0.54,0.0553,0.0257,-0.0257
0.545,0.54,0.55,0.0541,0.0227,-0.0227
0.555,0.55,0.56,0.0524,0.0197,-0.0197
0.565,0.56,0.57,0.0502,0.0167,-0.0167
0.575,0.57,0.58,0.0476,0.0142,-0.0142
0.585,0.58,0.59,0.0446,0.0122,-0.0122
0.595,0.59,0.6,0.0411,0.0112,-0.0112
0.605,0.6,0.61,0.0373,0.0111,-0.0111
0.615,0.61,0.62,0.0332,0.0118,-0.0118
0.625,0.62,0.63,0.0289,0.0129,-0.0129
0.635,0.63,0.64,0.0243,0.014,-0.014
0.645,0.64,0.65,0.0196,0.015,-0.015
0.655,0.65,0.66,0.0148,0.0156,-0.0156
0.665,0.66,0.67,0.01,0.0158,-0.0158
0.675,0.67,0.68,0.0051,0.0155,-0.0155
0.685,0.68,0.69,0.0001,0.0148,-0.0148
0.695,0.69,0.7,-0.0049,0.0137,-0.0137
0.705,0.7,0.71,-0.0099,0.0122,-0.0122
0.715,0.71,0.72,-0.0148,0.0104,-0.0104
0.725,0.72,0.73,-0.0198,0.0085,-0.0085
0.735,0.73,0.74,-0.0247,0.0066,-0.0066
0.745,0.74,0.75,-0.0296,0.0053,-0.0053
0.755,0.75,0.76,-0.0343,0.0051,-0.0051
0.765,0.76,0.77,-0.0389,0.0061,-0.0061
0.775,0.77,0.78,-0.0432,0.0078,-0.0078
0.785,0.78,0.79,-0.0472,0.0098,-0.0098
0.795,0.79,0.8,-0.0508,0.0119,-0.0119
0.805,0.8,0.81,-0.0541,0.0139,-0.0139
0.815,0.81,0.82,-0.0569,0.016,-0.016
0.825,0.82,0.83,-0.0593,0.0181,-0.0181
0.835,0.83,0.84,-0.0611,0.0202,-0.0202
0.845,0.84,0.85,-0.0625,0.0224,-0.0224
0.855,0.85,0.86,-0.0633,0.0246,-0.0246
0.865,0.86,0.87,-0.0637,0.0267,-0.0267
0.875,0.87,0.88,-0.0637,0.0287,-0.0287
0.885,0.88,0.89,-0.0633,0.0304,-0.0304
0.895,0.89,0.9,-0.0625,0.0319,-0.0319
0.905,0.9,0.91,-0.0615,0.0331,-0.0331
0.915,0.91,0.92,-0.0602,0.0338,-0.0338
0.925,0.92,0.93,-0.0588,0.0342,-0.0342
0.935,0.93,0.94,-0.0574,0.034,-0.034
0.945,0.94,0.95,-0.056,0.0334,-0.0334
0.955,0.95,0.96,-0.0546,0.0321,-0.0321
0.965,0.96,0.97,-0.0532,0.0301,-0.0301
0.975,0.97,0.98,-0.051,0.0276,-0.0276
0.985,0.98,0.99,-0.042,0.0326,-0.0326
0.995,0.99,1.0,-0.0261,0.0217,-0.0217
1.005,1.0,1.01,-0.0271,0.0175,-0.0175
1.0150000000000001,1.01,1.02,-0.0255,0.0171,-0.0171
1.025,1.02,1.03,-0.0234,0.0176,-0.0176
1.0350000000000001,1.03,1.04,-0.0212,0.0183,-0.0183
1.045,1.04,1.05,-0.0191,0.019,-0.019
1.0550000000000002,1.05,1.06,-0.0169,0.0195,-0.0195
1.065,1.06,1.07,-0.0148,0.0198,-0.0198
1.0750000000000002,1.07,1.08,-0.0127,0.02,-0.02
1.085,1.08,1.09,-0.0107,0.02,-0.02
1.0950000000000002,1.09,1.1,-0.0087,0.0199,-0.0199
1.105,1.1,1.11,-0.0068,0.0199,-0.0199
1.1150000000000002,1.11,1.12,-0.0048,0.0199,-0.0199
1.125,1.12,1.13,-0.0029,0.0201,-0.0201
1.1349999999999998,1.13,1.14,-0.0009,0.0204,-0.0204
1.145,1.14,1.15,0.0011,0.0208,-0.0208
1.1549999999999998,1.15,1.16,0.0032,0.0214,-0.0214
1.165,1.16,1.17,0.0054,0.0222,-0.0222
1.1749999999999998,1.17,1.18,0.0076,0.023,-0.023
