#: table_doi: 10.17182/hepdata.74824.v1/t95
#: name: Table 95
#: description: S wave cross section for -T.

#: data_file: Table95.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.8-0.9
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=swave) [MUB/GEV**3]",error +,error -
0.695,0.69,0.7,0.1165,0.0969,-0.0969
0.705,0.7,0.71,0.1232,0.1049,-0.1049
0.715,0.71,0.72,0.1307,0.113,-0.113
0.725,0.72,0.73,0.1391,0.1211,-0.1211
0.735,0.73,0.74,0.1483,0.1289,-0.1289
0.745,0.74,0.75,0.1581,0.1363,-0.1363
0.755,0.75,0.76,0.1684,0.143,-0.143
0.765,0.76,0.77,0.1792,0.1491,-0.1491
0.775,0.77,0.78,0.1903,0.1544,-0.1544
0.785,0.78,0.79,0.2016,0.159,-0.159
0.795,0.79,0.8,0.2129,0.1627,-0.1627
0.805,0.8,0.81,0.2241,0.1655,-0.1655
0.815,0.81,0.82,0.2351,0.1675,-0.1675
0.825,0.82,0.83,0.2457,0.1687,-0.1687
0.835,0.83,0.84,0.2556,0.1691,-0.1691
0.845,0.84,0.85,0.2648,0.1688,-0.1688
0.855,0.85,0.86,0.273,0.1679,-0.1679
0.865,0.86,0.87,0.28,0.1664,-0.1664
0.875,0.87,0.88,0.2855,0.1646,-0.1646
0.885,0.88,0.89,0.2892,0.1625,-0.1625
0.895,0.89,0.9,0.2909,0.1604,-0.1604
0.905,0.9,0.91,0.2901,0.1585,-0.1585
0.915,0.91,0.92,0.2863,0.1572,-0.1572
0.925,0.92,0.93,0.279,0.1569,-0.1569
0.935,0.93,0.94,0.2671,0.158,-0.158
0.945,0.94,0.95,0.2496,0.1614,-0.1614
0.955,0.95,0.96,0.2247,0.1676,-0.1676
0.965,0.96,0.97,0.19,0.1775,-0.1775
0.975,0.97,0.98,0.1454,0.1932,-0.1932
0.985,0.98,0.99,0.1375,0.2771,-0.2771
0.995,0.99,1.0,0.159,0.2246,-0.2246
1.005,1.0,1.01,0.0853,0.1272,-0.1272
1.0150000000000001,1.01,1.02,0.0609,0.0984,-0.0984
1.025,1.02,1.03,0.049,0.0852,-0.0852
1.0350000000000001,1.03,1.04,0.0445,0.0804,-0.0804
1.045,1.04,1.05,0.0454,0.0807,-0.0807
1.0550000000000002,1.05,1.06,0.0506,0.0839,-0.0839
1.065,1.06,1.07,0.0592,0.0888,-0.0888
1.0750000000000002,1.07,1.08,0.0705,0.0947,-0.0947
1.085,1.08,1.09,0.0838,0.1012,-0.1012
1.0950000000000002,1.09,1.1,0.0986,0.1083,-0.1083
1.105,1.1,1.11,0.1145,0.1158,-0.1158
1.1150000000000002,1.11,1.12,0.131,0.1235,-0.1235
1.125,1.12,1.13,0.1477,0.1315,-0.1315
1.1349999999999998,1.13,1.14,0.1642,0.1396,-0.1396
1.145,1.14,1.15,0.1802,0.1476,-0.1476
1.1549999999999998,1.15,1.16,0.1954,0.1556,-0.1556
1.165,1.16,1.17,0.2095,0.1633,-0.1633
1.1749999999999998,1.17,1.18,0.2223,0.1708,-0.1708
1.185,1.18,1.19,0.2335,0.1778,-0.1778
1.1949999999999998,1.19,1.2,0.243,0.1843,-0.1843
1.205,1.2,1.21,0.2507,0.1902,-0.1902
1.2149999999999999,1.21,1.22,0.2563,0.1954,-0.1954
1.225,1.22,1.23,0.2598,0.1999,-0.1999
1.2349999999999999,1.23,1.24,0.2612,0.2036,-0.2036
1.245,1.24,1.25,0.2604,0.2064,-0.2064
1.255,1.25,1.26,0.2575,0.2083,-0.2083
1.2650000000000001,1.26,1.27,0.2525,0.2093,-0.2093
1.275,1.27,1.28,0.2455,0.2092,-0.2092
1.2850000000000001,1.28,1.29,0.2367,0.2082,-0.2082
1.295,1.29,1.3,0.2263,0.2061,-0.2061
1.3050000000000002,1.3,1.31,0.2145,0.2031,-0.2031
1.315,1.31,1.32,0.2017,0.1991,-0.1991
1.3250000000000002,1.32,1.33,0.1881,0.1942,-0.1942
1.335,1.33,1.34,0.1743,0.1887,-0.1887
1.3450000000000002,1.34,1.35,0.1607,0.1827,-0.1827
1.355,1.35,1.36,0.1478,0.1767,-0.1767
1.3650000000000002,1.36,1.37,0.1363,0.1712,-0.1712
1.375,1.37,1.38,0.1269,0.1668,-0.1668
1.3849999999999998,1.38,1.39,0.1204,0.1646,-0.1646
1.395,1.39,1.4,0.1177,0.1658,-0.1658

