#: table_doi: 10.17182/hepdata.74824.v1/t164
#: name: Table 164
#: description: Fp wave cross section for -T.

#: data_file: Table164.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fpwave) [MUB/GEV**3]",error +,error -
0.635,0.63,0.64,0.0899,0.0512,-0.0512
0.645,0.64,0.65,0.0926,0.0526,-0.0526
0.655,0.65,0.66,0.0952,0.0539,-0.0539
0.665,0.66,0.67,0.0977,0.0551,-0.0551
0.675,0.67,0.68,0.1002,0.0563,-0.0563
0.685,0.68,0.69,0.1026,0.0575,-0.0575
0.695,0.69,0.7,0.105,0.0586,-0.0586
0.705,0.7,0.71,0.1072,0.0596,-0.0596
0.715,0.71,0.72,0.1094,0.0605,-0.0605
0.725,0.72,0.73,0.1116,0.0614,-0.0614
0.735,0.73,0.74,0.1137,0.0622,-0.0622
0.745,0.74,0.75,0.1157,0.063,-0.063
0.755,0.75,0.76,0.1176,0.0637,-0.0637
0.765,0.76,0.77,0.1195,0.0643,-0.0643
0.775,0.77,0.78,0.1213,0.0649,-0.0649
0.785,0.78,0.79,0.1231,0.0654,-0.0654
0.795,0.79,0.8,0.1248,0.0658,-0.0658
0.805,0.8,0.81,0.1264,0.0662,-0.0662
0.815,0.81,0.82,0.128,0.0665,-0.0665
0.825,0.82,0.83,0.1296,0.0668,-0.0668
0.835,0.83,0.84,0.1311,0.067,-0.067
0.845,0.84,0.85,0.1325,0.0671,-0.0671
0.855,0.85,0.86,0.134,0.0672,-0.0672
0.865,0.86,0.87,0.1353,0.0672,-0.0672
0.875,0.87,0.88,0.1367,0.0672,-0.0672
0.885,0.88,0.89,0.138,0.0671,-0.0671
0.895,0.89,0.9,0.1393,0.067,-0.067
0.905,0.9,0.91,0.1405,0.0668,-0.0668
0.915,0.91,0.92,0.1417,0.0665,-0.0665
0.925,0.92,0.93,0.143,0.0662,-0.0662
0.935,0.93,0.94,0.1442,0.0659,-0.0659
0.945,0.94,0.95,0.1453,0.0656,-0.0656
0.955,0.95,0.96,0.1465,0.0652,-0.0652
0.965,0.96,0.97,0.1477,0.0648,-0.0648
0.975,0.97,0.98,0.1489,0.0643,-0.0643
0.985,0.98,0.99,0.1501,0.0639,-0.0639
0.995,0.99,1.0,0.1513,0.0634,-0.0634
1.005,1.0,1.01,0.1525,0.063,-0.063
1.0150000000000001,1.01,1.02,0.1537,0.0625,-0.0625
1.025,1.02,1.03,0.155,0.0621,-0.0621
1.0350000000000001,1.03,1.04,0.1563,0.0617,-0.0617
1.045,1.04,1.05,0.1577,0.0613,-0.0613
1.0550000000000002,1.05,1.06,0.159,0.061,-0.061
1.065,1.06,1.07,0.1605,0.0608,-0.0608
1.0750000000000002,1.07,1.08,0.162,0.0606,-0.0606
1.085,1.08,1.09,0.1635,0.0605,-0.0605
1.0950000000000002,1.09,1.1,0.1651,0.0606,-0.0606
1.105,1.1,1.11,0.1668,0.0607,-0.0607
1.1150000000000002,1.11,1.12,0.1686,0.061,-0.061
1.125,1.12,1.13,0.1704,0.0614,-0.0614
1.1349999999999998,1.13,1.14,0.1724,0.062,-0.062
1.145,1.14,1.15,0.1744,0.0628,-0.0628
1.1549999999999998,1.15,1.16,0.1766,0.0638,-0.0638
1.165,1.16,1.17,0.1789,0.0649,-0.0649
1.1749999999999998,1.17,1.18,0.1812,0.0663,-0.0663
1.185,1.18,1.19,0.1838,0.0679,-0.0679
1.1949999999999998,1.19,1.2,0.1864,0.0697,-0.0697
1.205,1.2,1.21,0.1892,0.0717,-0.0717
1.2149999999999999,1.21,1.22,0.1922,0.074,-0.074
1.225,1.22,1.23,0.1953,0.0765,-0.0765
1.2349999999999999,1.23,1.24,0.1986,0.0792,-0.0792
1.245,1.24,1.25,0.2021,0.0821,-0.0821
1.255,1.25,1.26,0.2057,0.0853,-0.0853
1.2650000000000001,1.26,1.27,0.2096,0.0887,-0.0887
1.275,1.27,1.28,0.2136,0.0923,-0.0923
1.2850000000000001,1.28,1.29,0.2179,0.0962,-0.0962
1.295,1.29,1.3,0.2224,0.1002,-0.1002
1.3050000000000002,1.3,1.31,0.2271,0.1045,-0.1045
1.315,1.31,1.32,0.2321,0.109,-0.109
1.3250000000000002,1.32,1.33,0.2373,0.1137,-0.1137
1.335,1.33,1.34,0.2428,0.1186,-0.1186
1.3450000000000002,1.34,1.35,0.2485,0.1238,-0.1238
1.355,1.35,1.36,0.2546,0.1291,-0.1291
1.3650000000000002,1.36,1.37,0.2609,0.1346,-0.1346
1.375,1.37,1.38,0.2675,0.1404,-0.1404
1.3849999999999998,1.38,1.39,0.2745,0.1464,-0.1464
1.395,1.39,1.4,0.2818,0.1525,-0.1525

#: -T [GeV^2],,,0.5-0.6
#: E(P=1) [GeV],,,3.6-3.8
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=fpwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.0305,0.0221,-0.0221
0.415,0.41,0.42,0.0352,0.0257,-0.0257
0.425,0.42,0.43,0.0401,0.0294,-0.0294
0.435,0.43,0.44,0.0452,0.0332,-0.0332
0.445,0.44,0.45,0.0503,0.0371,-0.0371
0.455,0.45,0.46,0.0556,0.0412,-0.0412
0.46499999999999997,0.46,0.47,0.0609,0.0453,-0.0453
0.475,0.47,0.48,0.0662,0.0495,-0.0495
0.485,0.48,0.49,0.0716,0.0538,-0.0538
0.495,0.49,0.5,0.0769,0.0581,-0.0581
0.505,0.5,0.51,0.0822,0.0624,-0.0624
0.515,0.51,0.52,0.0875,0.0667,-0.0667
0.525,0.52,0.53,0.0927,0.071,-0.071
0.535,0.53,0.54,0.0979,0.0754,-0.0754
0.545,0.54,0.55,0.1029,0.0797,-0.0797
0.555,0.55,0.56,0.1079,0.084,-0.084
0.565,0.56,0.57,0.1127,0.0882,-0.0882
0.575,0.57,0.58,0.1175,0.0925,-0.0925
0.585,0.58,0.59,0.1221,0.0967,-0.0967
0.595,0.59,0.6,0.1266,0.1008,-0.1008
0.605,0.6,0.61,0.131,0.1049,-0.1049
0.615,0.61,0.62,0.1352,0.109,-0.109
0.625,0.62,0.63,0.1392,0.113,-0.113
