#: table_doi: 10.17182/hepdata.74824.v1/t103
#: name: Table 103
#: description: Pm wave cross section for -T.

#: data_file: Table103.yaml
#: keyword reactions: GAMMA P --> PI+ PI- P
#: keyword observables: DSIG/DT/DM
#: keyword plabs: 3.0,3.8
#: keyword phrases: Exclusive | Single Differential Cross Section | Photoproduction
#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.0-3.2
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
1.085,1.08,1.09,0.3251,0.2449,-0.2449
1.0950000000000002,1.09,1.1,0.3095,0.2308,-0.2308
1.105,1.1,1.11,0.2965,0.2173,-0.2173
1.1150000000000002,1.11,1.12,0.2858,0.2048,-0.2048
1.125,1.12,1.13,0.2771,0.1935,-0.1935
1.1349999999999998,1.13,1.14,0.2699,0.1834,-0.1834
1.145,1.14,1.15,0.2642,0.1748,-0.1748
1.1549999999999998,1.15,1.16,0.2595,0.1679,-0.1679
1.165,1.16,1.17,0.2556,0.1626,-0.1626
1.1749999999999998,1.17,1.18,0.2523,0.159,-0.159
1.185,1.18,1.19,0.2494,0.157,-0.157
1.1949999999999998,1.19,1.2,0.2467,0.1564,-0.1564
1.205,1.2,1.21,0.2441,0.157,-0.157
1.2149999999999999,1.21,1.22,0.2413,0.1584,-0.1584
1.225,1.22,1.23,0.2382,0.1605,-0.1605
1.2349999999999999,1.23,1.24,0.2348,0.1629,-0.1629
1.245,1.24,1.25,0.2311,0.1654,-0.1654
1.255,1.25,1.26,0.2269,0.1677,-0.1677
1.2650000000000001,1.26,1.27,0.2222,0.1697,-0.1697
1.275,1.27,1.28,0.2172,0.1712,-0.1712
1.2850000000000001,1.28,1.29,0.2118,0.1723,-0.1723
1.295,1.29,1.3,0.2063,0.1727,-0.1727
1.3050000000000002,1.3,1.31,0.2007,0.1728,-0.1728
1.315,1.31,1.32,0.1953,0.1724,-0.1724
1.3250000000000002,1.32,1.33,0.1904,0.1719,-0.1719
1.335,1.33,1.34,0.1862,0.1716,-0.1716
1.3450000000000002,1.34,1.35,0.1832,0.1717,-0.1717
1.355,1.35,1.36,0.1818,0.1725,-0.1725
1.3650000000000002,1.36,1.37,0.1826,0.1745,-0.1745
1.375,1.37,1.38,0.1861,0.1779,-0.1779
1.3849999999999998,1.38,1.39,0.1929,0.1834,-0.1834
1.395,1.39,1.4,0.204,0.1912,-0.1912

#: -T [GeV^2],,,0.4-0.5
#: E(P=1) [GeV],,,3.4-3.6
#: RE,,,GAMMA P --> PI+ PI- P
M(P=3_4) [GEV],M(P=3_4) [GEV] LOW,M(P=3_4) [GEV] HIGH,"D(SIG)/DT/DM(P=3_4,C=pmwave) [MUB/GEV**3]",error +,error -
0.405,0.4,0.41,0.1282,0.1181,-0.1181
0.415,0.41,0.42,0.1369,0.1245,-0.1245
0.425,0.42,0.43,0.1453,0.13,-0.13
0.435,0.43,0.44,0.1536,0.1345,-0.1345
